,,,,,,,,Touches,Touches,Touches,Touches,Touches,Touches,Touches,Dribbles,Dribbles,Dribbles,Dribbles,Dribbles,Carries,Carries,Carries,Receiving,Receiving,Receiving,,,
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Succ,Att,Succ%,#Pl,Megs,Carries,TotDist,PrgDist,Targ,Rec,Rec%,Miscon,Dispos,Matches
1,Patrick van Aanholt\Patrick-van-Aanholt,nl NED,DF,Crystal Palace,28,1990,27.9,1839,95,529,883,532,51,1458,18,36,50.0,18,2,1000,5651,3129,1079,994,92.1,21,16,Matches
2,Max Aarons\Max-Aarons,eng ENG,DF,Norwich City,19,2000,35.0,2100,171,784,891,591,52,1793,47,92,51.1,53,2,1305,9398,5392,1382,1232,89.1,38,48,Matches
3,Tammy Abraham\Tammy-Abraham,eng ENG,FW,Chelsea,21,1997,24.1,725,31,59,345,346,163,675,20,35,57.1,21,0,416,2203,1077,1042,483,46.4,69,45,Matches
4,Che Adams\Che-Adams,eng ENG,FW,Southampton,23,1996,11.4,411,10,35,193,215,60,404,14,25,56.0,14,1,283,1733,793,624,290,46.5,39,27,Matches
5,Adrián\Adrian,es ESP,GK,Liverpool,32,1987,9.7,338,300,338,0,0,0,244,0,0,,0,0,163,638,356,155,154,99.4,0,0,Matches
6,Sergio Agüero\Sergio-Aguero,ar ARG,FW,Manchester City,31,1988,16.1,572,2,21,207,386,154,551,27,45,60.0,28,2,428,2539,1396,780,450,57.7,24,41,Matches
7,Albian Ajeti\Albian-Ajeti,ch SUI,MFFW,West Ham,22,1997,1.5,33,0,1,9,24,9,32,0,0,,0,0,16,75,16,64,24,37.5,5,3,Matches
8,Nathan Aké\Nathan-Ake,nl NED,DF,Bournemouth,24,1995,27.8,1508,278,920,596,86,34,1455,5,5,100.0,5,0,845,5266,2910,948,900,94.9,7,5,Matches
9,Marc Albrighton\Marc-Albrighton,eng ENG,MFDF,Leicester City,29,1989,8.8,567,11,95,231,278,20,536,10,27,37.0,12,2,386,2305,1059,453,390,86.1,8,12,Matches
10,Toby Alderweireld\Toby-Alderweireld,be BEL,DF,Tottenham,30,1989,31.9,2202,346,1196,1004,113,21,2122,0,2,0.0,0,0,1323,6418,2999,1492,1457,97.7,3,2,Matches
11,Trent Alexander-Arnold\Trent-Alexander-Arnold,eng ENG,DF,Liverpool,20,1998,34.2,3429,101,816,1593,1229,63,2792,25,55,45.5,29,4,2056,9152,5620,2308,2177,94.3,36,22,Matches
12,Alisson\Alisson,br BRA,GK,Liverpool,26,1992,26.3,912,743,905,8,0,0,705,0,0,,0,0,507,1967,1017,455,451,99.1,1,0,Matches
13,Dele Alli\Dele-Alli,eng ENG,MFFW,Tottenham,23,1996,20.4,1121,36,168,569,469,96,1065,32,63,50.8,36,7,741,4577,2502,1095,767,70.0,44,56,Matches
14,Miguel Almirón\Miguel-Almiron,py PAR,MFFW,Newcastle Utd,25,1994,32.8,1281,42,302,542,594,90,1269,45,92,48.9,53,4,958,9027,5102,1261,880,69.8,57,54,Matches
15,Marcos Alonso\Marcos-Alonso,es ESP,DF,Chelsea,28,1990,13.9,1154,25,285,479,463,66,1004,10,16,62.5,10,0,746,4177,2349,823,732,88.9,15,19,Matches
16,Steven Alzate\Steven-Alzate,co COL,MFDF,Brighton,20,1998,13.2,838,31,215,406,272,44,787,33,50,66.0,35,4,618,3821,2140,638,557,87.3,20,28,Matches
17,Ibrahim Amadou\Ibrahim-Amadou,fr FRA,DFMF,Norwich City,26,1993,8.4,470,107,329,143,14,4,464,2,3,66.7,2,0,253,1003,474,297,289,97.3,1,1,Matches
18,Felipe Anderson\Felipe-Anderson,br BRA,MFFW,West Ham,26,1993,16.6,1163,26,166,616,517,68,1138,66,97,68.0,70,5,932,7366,4575,1041,889,85.4,33,35,Matches
19,Florin Andone\Florin-Andone,ro ROU,MFFW,Brighton,26,1993,0.8,29,3,4,12,16,7,28,2,4,50.0,2,0,17,218,151,33,16,48.5,5,2,Matches
20,Angeliño\Angelino,es ESP,DF,Manchester City,22,1997,4.7,477,16,98,199,214,10,429,5,8,62.5,5,2,321,1545,942,361,343,95.0,3,4,Matches
21,Faustino Anjorin\Faustino-Anjorin,eng ENG,FW,Chelsea,17,2001,0.2,12,0,1,5,6,2,12,1,1,100.0,1,0,10,67,40,11,8,72.7,0,1,Matches
22,Michail Antonio\Michail-Antonio,eng ENG,FW,West Ham,29,1990,18.3,793,12,43,282,521,120,756,72,108,66.7,75,3,560,4300,2574,1056,581,55.0,69,47,Matches
23,Stuart Armstrong\Stuart-Armstrong,sco SCO,MF,Southampton,27,1992,18.7,864,47,163,399,365,49,846,31,53,58.5,33,2,579,4159,2252,719,549,76.4,37,28,Matches
24,Kepa Arrizabalaga\Kepa-Arrizabalaga,es ESP,GK,Chelsea,24,1994,32.0,1095,966,1090,5,0,0,848,0,0,,0,0,657,2525,1450,620,620,100.0,0,0,Matches
25,Christian Atsu\Christian-Atsu,gh GHA,FWMF,Newcastle Utd,27,1992,8.3,332,12,82,133,158,20,323,19,40,47.5,21,1,255,1974,1173,321,215,67.0,21,20,Matches
26,Pierre-Emerick Aubameyang\Pierre-Emerick-Aubameyang,ga GAB,FW,Arsenal,30,1989,33.8,1206,27,148,485,654,163,1172,24,47,51.1,28,0,839,6031,3742,1482,911,61.5,57,38,Matches
27,Serge Aurier\Serge-Aurier,ci CIV,DF,Tottenham,26,1992,29.0,1981,118,561,853,660,54,1724,46,71,64.8,46,7,1147,5430,3027,1251,1101,88.0,35,29,Matches
28,Jordan Ayew\Jordan-Ayew,gh GHA,FWMF,Crystal Palace,27,1991,34.0,1330,29,175,661,611,131,1296,73,114,64.0,76,4,979,7484,3702,1629,930,57.1,96,104,Matches
29,César Azpilicueta\Cesar-Azpilicueta,es ESP,DF,Chelsea,29,1989,33.9,3076,115,903,1454,852,96,2703,15,24,62.5,17,1,1829,6803,3886,2104,1971,93.7,23,13,Matches
30,Eric Bailly\Eric-Bailly,ci CIV,DF,Manchester Utd,25,1994,1.7,87,15,39,50,0,0,87,1,1,100.0,1,0,58,249,145,52,52,100.0,0,2,Matches
31,Leighton Baines\Leighton-Baines,eng ENG,DF,Everton,34,1984,4.3,234,22,58,86,96,1,186,1,2,50.0,2,0,120,459,263,135,122,90.4,3,3,Matches
32,Fabián Balbuena\Fabian-Balbuena,py PAR,DF,West Ham,27,1991,13.1,653,96,350,311,27,16,635,0,0,,0,0,308,1777,977,344,329,95.6,2,0,Matches
33,George Baldock\George-Baldock,eng ENG,DF,Sheffield Utd,26,1993,37.0,1901,101,402,676,924,64,1607,42,66,63.6,45,0,1135,7334,3781,1230,1037,84.3,33,31,Matches
34,Phil Bardsley\Phil-Bardsley,sco SCO,DF,Burnley,34,1985,20.0,1057,93,319,552,228,11,841,5,8,62.5,5,0,421,2183,1098,479,447,93.3,6,7,Matches
35,Ross Barkley\Ross-Barkley,eng ENG,MF,Chelsea,25,1993,12.2,776,15,92,403,339,43,766,33,42,78.6,34,1,647,3904,1859,693,616,88.9,20,37,Matches
36,Ashley Barnes\Ashley-Barnes,at AUT,FW,Burnley,29,1989,15.0,435,15,45,195,213,55,426,11,17,64.7,13,0,257,1055,452,706,298,42.2,41,20,Matches
37,Harvey Barnes\Harvey-Barnes,eng ENG,MFFW,Leicester City,21,1997,22.9,1014,14,102,413,590,133,1011,37,78,47.4,43,4,777,6313,4324,1110,820,73.9,49,40,Matches
38,Chris Basham\Chris-Basham,eng ENG,DF,Sheffield Utd,31,1988,35.1,1911,239,772,871,365,42,1751,27,32,84.4,27,0,951,5283,2906,977,894,91.5,19,15,Matches
39,Borja Bastón\Borja-Baston,es ESP,MFFW,Aston Villa,26,1992,0.2,7,1,1,5,3,1,7,0,0,,0,0,5,30,19,7,4,57.1,1,0,Matches
40,Michy Batshuayi\Michy-Batshuayi,be BEL,FW,Chelsea,25,1993,2.7,120,2,13,54,61,32,114,4,8,50.0,6,0,84,522,300,181,87,48.1,10,4,Matches
41,Jan Bednarek\Jan-Bednarek,pl POL,DF,Southampton,23,1996,34.0,1939,260,947,1009,45,17,1878,2,2,100.0,2,0,896,3872,1855,966,953,98.7,5,1,Matches
42,Héctor Bellerín\Hector-Bellerin,es ESP,DF,Arsenal,24,1995,12.9,837,34,254,430,212,28,710,16,35,45.7,21,2,489,2887,1810,548,500,91.2,11,16,Matches
43,Ryan Bennett\Ryan-Bennett,eng ENG,DF,Wolves,29,1990,6.7,315,50,166,134,27,7,300,0,0,,0,0,144,477,235,162,157,96.9,0,3,Matches
44,Ryan Bennett\Ryan-Bennett,eng ENG,DF,Leicester City,29,1990,3.7,248,12,105,138,22,0,228,0,0,,0,0,132,728,372,162,155,95.7,0,0,Matches
45,Nabil Bentaleb\Nabil-Bentaleb,dz ALG,MF,Newcastle Utd,24,1994,7.8,460,24,132,290,53,2,449,6,8,75.0,6,1,261,1029,413,289,278,96.2,1,4,Matches
46,Christian Benteke\Christian-Benteke,be BEL,FW,Crystal Palace,28,1990,14.0,540,36,52,236,277,93,527,15,25,60.0,17,0,271,1886,968,724,402,55.5,44,30,Matches
47,Jóhann Berg Guðmundsson\Johann-Berg-Gudmundsson,is ISL,MF,Burnley,28,1990,6.1,224,9,33,75,131,23,215,6,8,75.0,6,1,163,1089,505,194,141,72.7,4,6,Matches
48,Sander Berge\Sander-Berge,no NOR,MF,Sheffield Utd,21,1998,9.5,451,19,73,198,204,21,446,13,16,81.3,14,0,287,1767,847,339,291,85.8,10,14,Matches
49,Steven Bergwijn\Steven-Bergwijn,nl NED,FWMF,Tottenham,21,1997,7.5,333,3,49,162,153,27,322,9,25,36.0,12,0,221,1803,1137,332,225,67.8,12,15,Matches
50,Bernard\Bernard,br BRA,MFFW,Everton,26,1992,14.0,747,10,92,375,346,49,732,36,61,59.0,41,1,596,3756,2073,676,533,78.8,35,32,Matches
51,Bernardo\Bernardo,br BRA,DF,Brighton,24,1995,7.3,465,29,158,202,135,14,415,9,12,75.0,10,0,270,1663,972,315,273,86.7,12,9,Matches
52,Ryan Bertrand\Ryan-Bertrand,eng ENG,DF,Southampton,29,1989,29.5,1907,68,409,879,718,51,1512,9,26,34.6,10,1,943,5409,2996,1140,1000,87.7,29,32,Matches
53,Muhamed Bešić\Muhamed-Besic,ba BIH,MF,Sheffield Utd,26,1992,2.8,137,9,36,59,49,3,136,9,10,90.0,9,0,96,489,174,96,84,87.5,2,2,Matches
54,Philip Billing\Philip-Billing,dk DEN,MF,Bournemouth,23,1996,27.8,1613,134,472,793,428,57,1557,20,38,52.6,22,0,846,4532,2093,1052,881,83.7,36,29,Matches
55,Yves Bissouma\Yves-Bissouma,ml MLI,MF,Brighton,22,1996,13.2,807,31,216,452,200,12,797,26,43,60.5,29,2,556,4016,1959,568,524,92.3,30,26,Matches
56,Willy Boly\Willy-Boly,fr FRA,DF,Wolves,28,1991,21.0,1179,142,626,575,45,18,1163,10,12,83.3,10,0,658,3106,1411,729,700,96.0,4,7,Matches
57,Gaëtan Bong\Gaetan-Bong,cm CMR,MFDF,Brighton,31,1988,0.7,44,0,4,18,23,4,41,0,1,0.0,0,0,34,149,83,44,35,79.5,2,2,Matches
58,Sofiane Boufal\Sofiane-Boufal,ma MAR,MFFW,Southampton,25,1993,8.5,515,6,53,199,323,53,507,54,96,56.3,61,3,447,3838,2488,468,382,81.6,21,41,Matches
59,Jarrod Bowen\Jarrod-Bowen,eng ENG,FWMF,West Ham,22,1996,8.7,351,7,64,126,199,46,326,14,30,46.7,15,3,261,2564,1382,288,207,71.9,15,17,Matches
60,Robbie Brady\Robbie-Brady,ie IRL,MF,Burnley,27,1992,4.9,232,12,44,94,110,14,222,4,10,40.0,5,0,137,772,361,175,138,78.9,10,9,Matches
61,Jarrad Branthwaite\Jarrad-Branthwaite,eng ENG,DF,Everton,17,2002,2.3,139,31,90,54,0,0,135,0,0,,0,0,93,535,265,102,102,100.0,0,0,Matches
62,Claudio Bravo\Claudio-Bravo,cl CHI,GK,Manchester City,36,1983,3.9,137,116,136,1,0,0,101,1,1,100.0,1,0,76,283,146,77,76,98.7,0,0,Matches
63,Armando Broja\Armando-Broja,al ALB,FW,Chelsea,17,2001,0.1,5,0,0,1,4,0,5,0,0,,0,0,5,15,1,7,5,71.4,1,1,Matches
64,David Brooks\David-Brooks,wal WAL,MF,Bournemouth,22,1997,4.9,205,3,23,76,119,9,185,12,23,52.2,13,3,147,907,440,197,149,75.6,8,6,Matches
65,Josh Brownhill\Josh-Brownhill,eng ENG,MF,Burnley,23,1995,7.9,358,31,94,186,91,8,351,6,6,100.0,6,0,183,766,296,238,207,87.0,7,4,Matches
66,Emi Buendía\Emi-Buendia,ar ARG,FWMF,Norwich City,22,1996,27.4,1983,59,395,949,787,57,1798,106,139,76.3,111,3,1457,8210,4948,1561,1329,85.1,67,90,Matches
67,Dan Burn\Dan-Burn,eng ENG,DF,Brighton,27,1992,31.0,2189,164,751,1098,471,32,1925,25,43,58.1,27,2,1222,6636,3529,1409,1308,92.8,25,36,Matches
68,Sam Byram\Sam-Byram,eng ENG,DF,Norwich City,25,1993,14.4,1013,91,384,405,264,41,875,5,14,35.7,7,2,466,2240,1128,585,518,88.5,19,7,Matches
69,Willy Caballero\Willy-Caballero,ar ARG,GK,Chelsea,37,1981,4.0,136,126,136,0,0,0,112,0,0,,0,0,87,303,161,82,82,100.0,0,0,Matches
70,Gary Cahill\Gary-Cahill,eng ENG,DF,Crystal Palace,33,1985,24.1,1207,198,731,486,57,42,1170,8,10,80.0,8,0,657,3750,1571,758,728,96.0,7,4,Matches
71,Dominic Calvert-Lewin\Dominic-Calvert-Lewin,eng ENG,FW,Everton,22,1997,28.9,963,37,80,417,515,142,941,15,34,44.1,18,1,499,3345,1310,1387,734,52.9,105,39,Matches
72,Víctor Camarasa\Victor-Camarasa,es ESP,MF,Crystal Palace,25,1994,0.1,3,0,0,3,0,0,3,0,0,,0,0,3,28,9,3,3,100.0,0,0,Matches
73,João Cancelo\Joao-Cancelo,pt POR,DF,Manchester City,25,1994,12.4,1198,28,241,675,366,26,1108,37,53,69.8,40,4,881,4492,2521,898,860,95.8,10,12,Matches
74,Todd Cantwell\Todd-Cantwell,eng ENG,FWMF,Norwich City,21,1998,26.7,1479,40,264,741,598,91,1447,57,94,60.6,61,1,1080,6810,3623,1372,1091,79.5,58,50,Matches
75,Étienne Capoue\Etienne-Capoue,fr FRA,MF,Watford,31,1988,29.2,1748,97,455,1131,225,12,1671,32,44,72.7,33,2,1046,4341,1966,1053,995,94.5,10,28,Matches
76,Andy Carroll\Andy-Carroll,eng ENG,FW,Newcastle Utd,30,1989,6.8,315,25,43,144,137,31,310,5,7,71.4,5,1,154,664,215,395,229,58.0,27,18,Matches
77,Jonny Castro\Jonny-Castro,es ESP,DF,Wolves,25,1994,31.4,1831,75,461,801,673,71,1540,29,75,38.7,39,2,1071,6675,4289,1184,1029,86.9,39,46,Matches
78,Craig Cathcart\Craig-Cathcart,nir NIR,DF,Watford,30,1989,27.6,1157,160,633,539,24,11,1135,4,6,66.7,4,0,607,2639,1066,600,584,97.3,3,5,Matches
79,Dani Ceballos\Dani-Ceballos,es ESP,MF,Arsenal,22,1996,18.0,1432,43,317,853,397,21,1340,26,38,68.4,28,4,1036,7164,3884,1092,1033,94.6,11,25,Matches
80,Nathaniel Chalobah\Nathaniel-Chalobah,eng ENG,MF,Watford,24,1994,10.2,472,27,109,268,114,9,450,6,13,46.2,6,3,254,1026,460,284,234,82.4,6,12,Matches
81,Calum Chambers\Calum-Chambers,eng ENG,DF,Arsenal,24,1995,12.2,1028,130,457,429,188,27,936,13,18,72.2,13,1,681,2959,1638,715,678,94.8,7,11,Matches
82,Ben Chilwell\Ben-Chilwell,eng ENG,DF,Leicester City,22,1996,26.4,2310,77,627,1154,729,58,2015,23,46,50.0,25,0,1500,10242,6221,1634,1524,93.3,35,37,Matches
83,Tahith Chong\Tahith-Chong,nl NED,FWMF,Manchester Utd,19,1999,0.4,20,1,1,9,11,2,20,1,3,33.3,1,0,20,112,58,23,17,73.9,2,0,Matches
84,Hamza Choudhury\Hamza-Choudhury,eng ENG,MF,Leicester City,21,1997,9.1,577,30,153,344,106,11,568,7,12,58.3,7,0,379,1479,625,398,375,94.2,4,9,Matches
85,Andreas Christensen\Andreas-Christensen,dk DEN,DF,Chelsea,23,1996,19.5,1449,168,741,750,47,12,1417,2,2,100.0,2,0,1024,6114,3327,1068,1056,98.9,3,2,Matches
86,Ciaran Clark\Ciaran-Clark,ie IRL,DF,Newcastle Utd,29,1989,13.2,495,107,296,185,33,9,471,5,7,71.4,5,1,215,1071,392,223,207,92.8,4,2,Matches
87,Leon Clarke\Leon-Clarke,eng ENG,MF,Sheffield Utd,34,1985,0.2,5,0,2,1,2,1,5,0,0,,0,0,1,5,4,6,4,66.7,0,0,Matches
88,Tom Cleverley\Tom-Cleverley,eng ENG,MF,Watford,29,1989,10.7,573,21,104,282,212,25,545,4,6,66.7,4,0,368,1345,578,442,367,83.0,8,6,Matches
89,Conor Coady\Conor-Coady,eng ENG,DF,Wolves,26,1993,37.0,2000,346,1329,776,1,0,1968,6,6,100.0,6,0,1302,6825,3120,1336,1331,99.6,3,2,Matches
90,Séamus Coleman\Seamus-Coleman,ie IRL,DF,Everton,30,1988,19.8,1262,82,416,613,320,28,1046,37,61,60.7,43,6,749,4839,2666,751,663,88.3,23,17,Matches
91,Aaron Connolly\Aaron-Connolly,ie IRL,FW,Brighton,19,2000,13.0,323,2,20,137,186,55,309,5,15,33.3,5,1,214,1648,903,508,220,43.3,39,32,Matches
92,Lewis Cook\Lewis-Cook,eng ENG,MF,Bournemouth,22,1997,15.0,862,41,217,462,236,13,844,35,43,81.4,36,5,635,3349,1481,654,590,90.2,19,28,Matches
93,Steve Cook\Steve-Cook,eng ENG,DF,Bournemouth,28,1991,26.0,1535,253,927,610,69,26,1477,4,4,100.0,4,0,819,4473,2104,916,884,96.5,6,4,Matches
94,Jack Cork\Jack-Cork,eng ENG,MF,Burnley,30,1989,29.0,1229,64,219,793,286,31,1222,26,35,74.3,26,1,746,3860,1597,788,670,85.0,25,44,Matches
95,Aaron Cresswell\Aaron-Cresswell,eng ENG,DF,West Ham,29,1989,29.5,1924,106,535,914,553,26,1542,15,37,40.5,18,2,1042,4499,2221,1104,1014,91.8,9,13,Matches
96,Patrick Cutrone\Patrick-Cutrone,it ITA,FW,Wolves,21,1998,3.3,105,1,10,51,49,17,98,5,9,55.6,6,0,70,478,231,173,60,34.7,10,9,Matches
97,Diogo Dalot\Diogo-Dalot,pt POR,DF,Manchester Utd,20,1999,0.7,78,4,12,31,35,4,64,0,0,,0,0,46,230,124,49,46,93.9,0,5,Matches
98,Charlie Daniels\Charlie-Daniels,eng ENG,DF,Bournemouth,32,1986,1.4,62,8,22,26,14,1,52,0,0,,0,0,37,169,67,30,29,96.7,1,0,Matches
99,Scott Dann\Scott-Dann,eng ENG,DF,Crystal Palace,32,1987,13.1,631,113,401,250,21,17,604,5,6,83.3,5,0,322,1602,937,358,346,96.6,0,0,Matches
100,Kevin Danso\Kevin-Danso,at AUT,DF,Southampton,20,1998,3.1,206,12,65,104,49,2,173,3,6,50.0,3,0,115,683,322,123,109,88.6,8,1,Matches
101,Ben Davies\Ben-Davies,wal WAL,DF,Tottenham,26,1993,14.9,1072,51,365,540,213,22,916,8,13,61.5,8,0,554,2611,1499,634,609,96.1,3,9,Matches
102,Tom Davies\Tom-Davies,eng ENG,MF,Everton,21,1998,21.8,1048,47,260,654,195,23,1027,21,33,63.6,24,0,637,3572,1836,716,638,89.1,22,29,Matches
103,Keinan Davis\Keinan-Davis,eng ENG,FW,Aston Villa,21,1998,5.8,214,5,17,94,120,32,210,9,14,64.3,9,1,163,1152,566,301,171,56.8,18,19,Matches
104,Craig Dawson\Craig-Dawson,eng ENG,DF,Watford,29,1990,25.2,1168,162,617,530,70,39,1140,2,2,100.0,2,0,596,2734,1312,647,615,95.1,8,5,Matches
105,Kevin De Bruyne\Kevin-De-Bruyne,be BEL,MF,Manchester City,28,1991,30.0,2497,29,218,1114,1343,152,2234,60,93,64.5,62,0,1757,9601,6304,2107,1885,89.5,42,42,Matches
106,Troy Deeney\Troy-Deeney,eng ENG,FW,Watford,31,1988,23.7,899,25,72,425,425,101,874,9,20,45.0,9,0,399,1511,606,1313,666,50.7,61,25,Matches
107,Fabian Delph\Fabian-Delph,eng ENG,MF,Everton,29,1989,13.2,895,32,230,582,150,1,882,20,24,83.3,20,0,620,3263,1515,635,613,96.5,10,9,Matches
108,Leander Dendoncker\Leander-Dendoncker,be BEL,MFDF,Wolves,24,1995,30.1,1550,113,566,870,189,38,1535,17,21,81.0,17,1,938,4305,2153,1161,987,85.0,22,15,Matches
109,Gerard Deulofeu\Gerard-Deulofeu,es ESP,FW,Watford,25,1994,23.3,1126,13,145,428,669,157,1036,63,108,58.3,69,2,895,8042,5493,1107,769,69.5,53,50,Matches
110,Eric Dier\Eric-Dier,eng ENG,DFMF,Tottenham,25,1994,13.9,961,107,431,511,60,11,943,2,3,66.7,2,0,555,2620,1292,664,639,96.2,6,4,Matches
111,Lucas Digne\Lucas-Digne,fr FRA,DF,Everton,26,1993,32.9,2300,105,600,940,861,61,1775,24,42,57.1,26,2,1030,5530,3173,1249,1076,86.1,19,30,Matches
112,Virgil van Dijk\Virgil-van-Dijk,nl NED,DF,Liverpool,28,1991,36.0,3273,329,1370,1951,99,45,3192,3,5,60.0,4,0,2188,8845,4666,2416,2362,97.8,2,2,Matches
113,Issa Diop\Issa-Diop,fr FRA,DF,West Ham,22,1997,28.7,1176,223,637,566,31,22,1136,4,5,80.0,4,0,550,3640,1813,568,546,96.1,3,5,Matches
114,Moussa Djenepo\Moussa-Djenepo,ml MLI,MFDF,Southampton,21,1998,10.3,468,15,85,196,228,48,458,48,70,68.6,49,1,359,3030,2045,440,318,72.3,34,24,Matches
115,Matt Doherty\Matt-Doherty,ie IRL,DF,Wolves,27,1992,30.9,2117,82,500,1077,649,94,1789,27,50,54.0,28,5,1162,6182,4006,1509,1292,85.6,44,23,Matches
116,Abdoulaye Doucouré\Abdoulaye-Doucoure,fr FRA,MF,Watford,26,1993,34.2,2000,73,412,1074,647,94,1989,47,75,62.7,49,2,1384,6977,3776,1567,1322,84.4,44,49,Matches
117,Thomas Doyle\Thomas-Doyle,eng ENG,MFFW,Manchester City,17,2001,0.2,20,0,2,16,7,0,20,0,0,,0,0,19,100,20,19,19,100.0,0,0,Matches
118,Danny Drinkwater\Danny-Drinkwater,eng ENG,MF,Burnley,29,1990,0.6,26,2,6,19,1,0,25,0,1,0.0,0,0,11,43,5,16,11,68.8,0,1,Matches
119,Danny Drinkwater\Danny-Drinkwater,eng ENG,MF,Aston Villa,29,1990,2.9,199,6,62,110,33,2,195,2,3,66.7,2,0,117,489,173,136,126,92.6,2,6,Matches
120,Josip Drmić\Josip-Drmic,ch SUI,FWMF,Norwich City,26,1992,7.2,240,6,20,134,96,24,228,6,14,42.9,6,1,155,682,260,300,159,53.0,24,13,Matches
121,Martin Dúbravka\Martin-Dubravka,sk SVK,GK,Newcastle Utd,30,1989,37.0,1167,1000,1161,7,0,0,695,0,0,,0,0,418,2532,1358,326,326,100.0,3,0,Matches
122,Ondrej Duda\Ondrej-Duda,sk SVK,MF,Norwich City,24,1994,8.0,467,16,79,250,156,9,429,5,12,41.7,5,3,278,1230,526,401,307,76.6,14,3,Matches
123,Shane Duffy\Shane-Duffy,ie IRL,DF,Brighton,27,1992,13.8,800,124,503,304,35,16,766,2,5,40.0,3,0,420,2022,1047,465,455,97.8,6,2,Matches
124,Paul Dummett\Paul-Dummett,wal WAL,DF,Newcastle Utd,27,1991,13.6,663,92,337,264,86,6,613,1,3,33.3,1,0,327,1291,647,358,335,93.6,3,1,Matches
125,Lewis Dunk\Lewis-Dunk,eng ENG,DF,Brighton,27,1991,34.9,2498,422,1523,1014,107,43,2404,3,7,42.9,3,0,1578,8684,4691,1712,1687,98.5,7,11,Matches
126,Ederson\Ederson,br BRA,GK,Manchester City,25,1993,33.1,1101,925,1090,24,0,0,922,0,0,,0,0,682,3118,2081,652,649,99.5,2,0,Matches
127,John Egan\John-Egan,ie IRL,DF,Sheffield Utd,26,1992,34.4,1640,238,870,787,65,47,1608,3,3,100.0,3,1,793,4650,2562,852,822,96.5,8,1,Matches
128,Harvey Elliot\Harvey-Elliot,eng ENG,DF,Liverpool,16,2003,0.1,16,0,0,5,11,0,12,1,1,100.0,1,0,10,44,13,14,11,78.6,0,1,Matches
129,Ahmed Elmohamady\Ahmed-Elmohamady,eg EGY,DF,Aston Villa,31,1987,11.5,718,48,211,327,240,17,622,6,9,66.7,7,0,429,2352,1408,462,424,91.8,4,5,Matches
130,Björn Engels\Bjorn-Engels,be BEL,DF,Aston Villa,24,1994,16.1,776,154,489,310,34,13,757,2,2,100.0,2,0,435,2540,1449,469,461,98.3,0,2,Matches
131,Christian Eriksen\Christian-Eriksen,dk DEN,MFFW,Tottenham,27,1992,12.2,868,17,136,430,350,21,779,3,12,25.0,3,0,554,2673,1495,679,573,84.4,17,14,Matches
132,Jonny Evans\Jonny-Evans,nir NIR,DF,Leicester City,31,1988,36.6,2744,392,1450,1341,102,39,2671,9,10,90.0,9,0,1737,9303,5191,1862,1830,98.3,6,7,Matches
133,Łukasz Fabiański\Lukasz-Fabianski,pl POL,GK,West Ham,34,1985,21.5,666,600,666,0,0,0,423,1,1,100.0,1,0,277,1788,907,205,202,98.5,1,0,Matches
134,Fabinho\Fabinho,br BRA,MF,Liverpool,25,1993,22.1,1671,42,365,1069,318,13,1651,10,12,83.3,11,1,1099,5019,2300,1215,1163,95.7,11,9,Matches
135,Ralf Fährmann\Ralf-Fahrmann,de GER,GK,Norwich City,30,1988,0.2,12,11,11,1,0,0,9,0,0,,0,0,4,18,13,4,4,100.0,0,0,Matches
136,Kiko Femenía\Kiko-Femenia,es ESP,DF,Watford,28,1991,24.4,1480,64,420,694,447,20,1210,24,35,68.6,24,1,817,4430,2276,793,737,92.9,16,11,Matches
137,Bruno Fernandes\Bruno-Fernandes,pt POR,MF,Manchester Utd,24,1994,11.2,853,17,86,409,402,35,756,15,21,71.4,15,1,562,2838,1697,718,622,86.6,15,14,Matches
138,Gedson Fernandes\Gedson-Fernandes,pt POR,MFDF,Tottenham,20,1999,0.8,66,1,6,28,39,6,59,2,5,40.0,3,0,49,359,219,62,47,75.8,3,4,Matches
