,,,,,,,,Touches,Touches,Touches,Touches,Touches,Touches,Touches,Dribbles,Dribbles,Dribbles,Dribbles,Dribbles,Carries,Carries,Carries,Receiving,Receiving,Receiving,,,
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Succ,Att,Succ%,#Pl,Megs,Carries,TotDist,PrgDist,Targ,Rec,Rec%,Miscon,Dispos,Matches
456,Neil Taylor\Neil-Taylor,wal WAL,DF,Aston Villa,30,1989,12.1,631,64,230,296,124,5,532,2,3,66.7,2,0,303,1126,574,363,322,88.7,4,2,Matches
457,Nathan Tella\Nathan-Tella,eng ENG,FW,Southampton,20,1999,0.0,3,0,0,1,2,1,3,0,0,,0,0,2,6,4,3,2,66.7,0,0,Matches
458,Alexander Tettey\Alexander-Tettey,no NOR,MFDF,Norwich City,33,1986,26.0,1494,127,564,839,177,12,1482,16,24,66.7,19,0,951,4912,2235,983,948,96.4,22,12,Matches
459,Luke Thomas\Luke-Thomas,eng ENG,DF,Leicester City,,,2.0,161,2,25,69,73,4,145,2,3,66.7,2,0,111,441,230,118,111,94.1,4,1,Matches
460,Max Thompson\Max-Thompson,eng ENG,FW,Burnley,17,2002,0.0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,1,0,0.0,0,0,Matches
461,Youri Tielemans\Youri-Tielemans,be BEL,MF,Leicester City,22,1997,30.6,2089,31,321,1136,745,57,2001,30,44,68.2,31,2,1431,6077,3318,1731,1549,89.5,33,50,Matches
462,Kieran Tierney\Kieran-Tierney,sco SCO,DF,Arsenal,22,1997,10.0,618,38,199,264,183,14,537,11,14,78.6,11,1,355,1994,1012,387,358,92.5,11,6,Matches
463,James Tomkins\James-Tomkins,eng ENG,DF,Crystal Palace,30,1989,17.6,857,156,563,294,34,21,829,1,1,100.0,1,0,399,1793,891,456,442,96.9,1,3,Matches
464,Fikayo Tomori\Fikayo-Tomori,eng ENG,DF,Chelsea,21,1997,14.3,1277,148,699,605,50,8,1261,7,11,63.6,9,0,936,4464,2162,959,944,98.4,4,5,Matches
465,Lucas Torreira\Lucas-Torreira,uy URU,MF,Arsenal,23,1996,16.6,1082,58,303,658,186,31,1053,13,15,86.7,13,1,721,3394,1542,760,702,92.4,11,16,Matches
466,Cenk Tosun\Cenk-Tosun,tr TUR,FW,Crystal Palace,28,1991,2.0,69,1,10,34,28,10,69,7,8,87.5,7,0,56,343,178,124,54,43.5,5,4,Matches
467,Cenk Tosun\Cenk-Tosun,tr TUR,FW,Everton,28,1991,3.2,96,1,6,29,65,25,95,1,5,20.0,1,0,53,268,81,133,73,54.9,3,2,Matches
468,Andros Townsend\Andros-Townsend,eng ENG,MF,Crystal Palace,28,1991,13.4,589,15,109,285,275,26,566,33,48,68.8,35,1,468,4218,2102,502,385,76.7,25,33,Matches
469,Adama Traoré\Adama-Traore,es ESP,FWMF,Wolves,23,1996,28.4,1371,28,145,647,758,118,1321,153,208,73.6,158,3,1230,12937,8486,1370,1026,74.9,79,85,Matches
470,Mark Travers\Mark-Travers,ie IRL,GK,Bournemouth,20,1999,1.0,33,33,33,0,0,0,24,0,0,,0,0,14,62,30,17,17,100.0,0,0,Matches
471,Trézéguet\Trezeguet,eg EGY,FWMF,Aston Villa,24,1994,20.7,755,23,132,287,408,81,732,40,74,54.1,44,7,529,4335,2711,832,506,60.8,64,28,Matches
472,Leandro Trossard\Leandro-Trossard,be BEL,FWMF,Brighton,24,1994,22.3,1039,21,131,419,573,117,1000,34,60,56.7,36,1,818,5551,2809,1030,768,74.6,41,47,Matches
473,Tom Trybull\Tom-Trybull,de GER,MF,Norwich City,26,1993,12.6,756,59,253,459,86,13,742,7,9,77.8,7,0,497,2281,851,513,475,92.6,11,10,Matches
474,Axel Tuanzebe\Axel-Tuanzebe,eng ENG,DF,Manchester Utd,21,1997,2.1,166,8,59,95,26,0,154,0,3,0.0,0,0,111,774,408,113,109,96.5,1,2,Matches
475,Yan Valery\Yan-Valery,fr FRA,DF,Southampton,20,1999,8.7,455,28,139,189,151,10,361,12,25,48.0,13,0,207,1566,805,243,180,74.1,13,19,Matches
476,Jesús Vallejo\Jesus-Vallejo,es ESP,DF,Wolves,22,1997,1.8,124,20,61,64,6,1,124,1,1,100.0,1,0,85,322,170,90,83,92.2,1,1,Matches
