,,,,,,,,,Tackles,Tackles,Tackles,Tackles,Tackles,Vs Dribbles,Vs Dribbles,Vs Dribbles,Vs Dribbles,Pressures,Pressures,Pressures,Pressures,Pressures,Pressures,Blocks,Blocks,Blocks,Blocks,,,,,
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Past,Press,Succ,%,Def 3rd,Mid 3rd,Att 3rd,Blocks,Sh,ShSv,Pass,Int,Tkl+Int,Clr,Err,Matches
766,Nico Elvedi\Nico-Elvedi,ch SUI,DF,M'gladbach,de Bundesliga,22,1996,29.1,56,37,44,12,0,15,33,45.5,18,272,115,42.3,178,90,4,49,15,1,34,65,121,136,0,Matches
767,Rodrigo Ely\Rodrigo-Ely,br BRA,DF,Alavés,es La Liga,25,1993,23.6,27,16,18,9,0,10,27,37.0,17,160,49,30.6,112,47,1,38,20,0,18,39,66,178,1,Matches
768,Adri Embarba\Adri-Embarba,es ESP,MFFW,Espanyol,es La Liga,27,1992,15.2,29,18,17,8,4,13,35,37.1,22,322,96,29.8,85,144,93,37,4,0,33,16,45,6,0,Matches
769,Breel Embolo\Breel-Embolo,ch SUI,FWMF,M'gladbach,de Bundesliga,22,1997,17.2,23,15,3,14,6,6,17,35.3,11,394,95,24.1,31,185,178,15,1,0,14,8,31,5,0,Matches
770,Emerson\Emerson,br BRA,DF,Betis,es La Liga,20,1999,31.5,83,45,54,23,6,25,73,34.2,48,470,118,25.1,223,164,83,57,9,0,48,33,116,80,0,Matches
771,Renaud Emond\Renaud-Emond,be BEL,FWMF,Nantes,fr Ligue 1,27,1991,3.2,5,4,0,4,1,0,1,0.0,1,79,25,31.6,9,39,31,5,1,0,4,0,5,5,0,Matches
772,Alan Empereur\Alan-Empereur,br BRA,DF,Hellas Verona,it Serie A,25,1994,9.5,20,13,16,4,0,8,12,66.7,4,100,38,38.0,59,32,9,23,12,0,11,25,45,44,0,Matches
773,Youssef En-Nesyri\Youssef-En-Nesyri,ma MAR,FW,Leganés,es La Liga,22,1997,15.4,8,5,2,0,6,2,17,11.8,15,295,50,16.9,25,155,115,17,2,0,15,4,12,19,0,Matches
774,Youssef En-Nesyri\Youssef-En-Nesyri,ma MAR,FW,Sevilla,es La Liga,22,1997,8.8,8,6,1,7,0,1,9,11.1,8,191,52,27.2,28,91,72,8,2,0,6,5,13,7,0,Matches
775,Björn Engels\Bjorn-Engels,be BEL,DF,Aston Villa,eng Premier League,24,1994,16.1,9,4,7,2,0,5,11,45.5,6,81,29,35.8,54,26,1,26,19,0,7,29,38,111,2,Matches
776,Sergi Enrich\Sergi-Enrich,es ESP,FW,Eibar,es La Liga,29,1990,20.7,21,17,5,8,8,0,13,0.0,13,445,137,30.8,25,174,246,30,4,0,26,10,31,13,0,Matches
777,Javier Eraso\Javier-Eraso,es ESP,MFFW,Leganés,es La Liga,29,1990,9.1,9,8,3,4,2,4,16,25.0,12,200,51,25.5,48,98,54,15,0,0,15,8,17,10,0,Matches
778,Christian Eriksen\Christian-Eriksen,dk DEN,MFFW,Tottenham,eng Premier League,27,1992,12.2,19,12,12,6,1,5,23,21.7,18,260,55,21.2,83,126,51,19,1,0,18,11,30,11,0,Matches
779,Christian Eriksen\Christian-Eriksen,dk DEN,MF,Inter,it Serie A,27,1992,7.8,9,6,1,7,1,2,19,10.5,17,109,24,22.0,9,61,39,4,0,0,4,0,9,0,0,Matches
780,Gonzalo Escalante\Gonzalo-Escalante,ar ARG,MF,Eibar,es La Liga,26,1993,18.6,41,29,13,24,4,17,38,44.7,21,323,101,31.3,79,189,55,35,5,0,30,31,72,31,0,Matches
781,Aarón Escandell\Aaron-Escandell,es ESP,GK,Granada,es La Liga,23,1995,3.0,0,0,0,0,0,0,0,,0,1,0,0.0,1,0,0,0,0,0,0,0,0,0,0,Matches
782,Sergio Escudero\Sergio-Escudero,es ESP,DF,Sevilla,es La Liga,29,1989,8.6,26,13,15,10,1,13,22,59.1,9,124,38,30.6,51,56,17,19,1,0,18,16,42,36,0,Matches
783,Espeto\Espeto,br BRA,DFMF,SPAL,it Serie A,22,1997,23.1,66,38,27,28,11,24,55,43.6,31,536,135,25.2,160,244,132,40,3,0,37,22,88,21,1,Matches
784,Bernardo Espinosa\Bernardo-Espinosa,co COL,DF,Espanyol,es La Liga,30,1989,25.1,27,19,19,6,2,11,29,37.9,18,172,70,40.7,104,59,9,31,11,0,20,24,51,174,1,Matches
785,Sebastiano Esposito\Sebastiano-Esposito,it ITA,FW,Inter,it Serie A,17,2002,2.2,3,3,0,2,1,0,4,0.0,4,79,24,30.4,6,33,40,5,1,0,4,3,6,0,0,Matches
786,Esquerdo\Esquerdo,es ESP,MF,Valencia,es La Liga,20,1999,0.2,0,0,0,0,0,0,0,,0,4,1,25.0,1,3,0,1,0,0,1,0,0,0,0,Matches
787,Alexander Esswein\Alexander-Esswein,de GER,FWMF,Hertha BSC,de Bundesliga,29,1990,2.4,8,3,5,3,0,1,8,12.5,7,66,12,18.2,26,25,15,9,1,0,8,6,14,8,2,Matches
788,Pervis Estupiñán\Pervis-Estupinan,ec ECU,DF,Osasuna,es La Liga,21,1998,33.1,87,57,58,24,5,37,72,51.4,35,497,167,33.6,236,197,64,58,8,1,50,63,150,86,2,Matches
789,Oghenekaro Etebo\Oghenekaro-Etebo,ng NGA,MF,Getafe,es La Liga,23,1995,6.4,19,13,9,7,3,6,12,50.0,6,117,36,30.8,42,60,15,10,1,0,9,12,31,15,1,Matches
790,Beñat Etxebarria\Benat-Etxebarria,es ESP,MF,Athletic Club,es La Liga,32,1987,4.4,7,4,2,3,2,1,10,10.0,9,82,19,23.2,21,52,9,8,1,0,7,2,9,8,0,Matches
791,Xabier Etxeita\Xabier-Etxeita,es ESP,DF,Getafe,es La Liga,31,1987,16.1,22,11,8,13,1,9,20,45.0,11,140,46,32.9,55,71,14,21,6,0,15,16,38,158,0,Matches
792,Antony Evans\Antony-Evans,eng ENG,MFDF,Paderborn 07,de Bundesliga,20,1998,1.7,7,4,2,4,1,1,5,20.0,4,43,11,25.6,17,14,12,3,0,0,3,2,9,3,0,Matches
793,Jonny Evans\Jonny-Evans,nir NIR,DF,Leicester City,eng Premier League,31,1988,37.6,48,31,31,16,1,27,42,64.3,15,278,111,39.9,178,80,20,53,21,0,32,58,106,271,4,Matches
794,Edu Expósito\Edu-Exposito,es ESP,MF,Eibar,es La Liga,22,1996,25.7,56,41,11,29,16,16,58,27.6,42,480,148,30.8,103,290,87,28,6,0,22,38,94,36,0,Matches
795,Valentin Eysseric\Valentin-Eysseric,fr FRA,FW,Hellas Verona,it Serie A,27,1992,2.9,3,1,1,1,1,0,2,0.0,2,30,8,26.7,5,12,13,2,0,0,2,2,5,3,0,Matches
796,Valentin Eysseric\Valentin-Eysseric,fr FRA,MF,Fiorentina,it Serie A,27,1992,0.5,0,0,0,0,0,0,0,,0,16,2,12.5,3,11,2,1,0,0,1,0,0,1,0,Matches
797,Łukasz Fabiański\Lukasz-Fabianski,pl POL,GK,West Ham,eng Premier League,34,1985,23.5,0,0,0,0,0,0,3,0.0,3,10,2,20.0,10,0,0,0,0,0,0,1,1,2,2,Matches
798,Fabinho\Fabinho,br BRA,MF,Liverpool,eng Premier League,25,1993,23.1,77,53,27,37,13,26,65,40.0,39,428,139,32.5,149,219,60,36,2,0,34,35,112,34,0,Matches
799,Fábio\Fabio,br BRA,DF,Nantes,fr Ligue 1,29,1990,9.3,37,24,21,16,0,30,48,62.5,18,139,49,35.3,67,57,15,15,4,0,11,16,53,43,0,Matches
800,Cesc Fàbregas\Cesc-Fabregas,es ESP,MF,Monaco,fr Ligue 1,32,1987,10.3,13,9,6,4,3,4,22,18.2,18,217,60,27.6,48,101,68,11,1,0,10,8,21,6,0,Matches
801,Fabricio\Fabricio,es ESP,GK,Mallorca,es La Liga,31,1987,1.0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,Matches
802,Ralf Fährmann\Ralf-Fahrmann,de GER,GK,Norwich City,eng Premier League,30,1988,0.2,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,Matches
803,Fayçal Fajr\Faycal-Fajr,ma MAR,MF,Getafe,es La Liga,30,1988,4.5,1,1,0,1,0,0,6,0.0,6,75,24,32.0,13,41,21,7,0,0,7,3,4,8,0,Matches
804,Luca Falbo\Luca-Falbo,it ITA,DF,Lazio,it Serie A,19,2000,0.0,0,0,0,0,0,0,0,,0,1,1,100.0,1,0,0,0,0,0,0,0,0,0,0,Matches
805,Filippo Falco\Filippo-Falco,it ITA,FWMF,Lecce,it Serie A,27,1992,21.7,17,15,3,7,7,4,14,28.6,10,222,50,22.5,54,109,59,13,1,0,12,5,22,1,0,Matches
806,Eliseo Falcon\Eliseo-Falcon,es ESP,DFMF,Levante,es La Liga,22,1997,0.8,1,0,1,0,0,0,1,0.0,1,7,1,14.3,1,6,0,0,0,0,0,0,1,3,0,Matches
807,Wladimiro Falcone\Wladimiro-Falcone,it ITA,GK,Sampdoria,it Serie A,24,1995,1.0,,0,,,,,,,,,,,,,,,,,,0,0,,,Matches
808,Simon Falette\Simon-Falette,gn GUI,DF,Eint Frankfurt,de Bundesliga,27,1992,1.0,1,1,1,0,0,1,2,50.0,1,14,5,35.7,8,6,0,5,3,0,2,5,6,11,0,Matches
809,Iago Falque\Iago-Falque,es ESP,MFFW,Torino,it Serie A,29,1990,1.1,0,0,0,0,0,0,2,0.0,2,17,5,29.4,5,6,6,4,1,0,3,0,0,0,0,Matches
810,Iago Falque\Iago-Falque,es ESP,MF,Genoa,it Serie A,29,1990,5.8,3,2,0,1,2,2,10,20.0,8,58,14,24.1,16,28,14,8,0,0,8,1,4,2,0,Matches
811,Akin Famewo\Akin-Famewo,eng ENG,MF,Norwich City,eng Premier League,20,1998,0.0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,Matches
812,Andri Fannar Baldursson\Andri-Fannar-Baldursson,is ISL,MF,Bologna,it Serie A,17,2002,1.4,1,1,0,1,0,1,3,33.3,2,38,9,23.7,5,19,14,0,0,0,0,1,2,2,0,Matches
813,Paolo Faragò\Paolo-Farago,it ITA,DF,Cagliari,it Serie A,26,1993,13.9,40,24,21,14,5,16,41,39.0,25,214,67,31.3,90,90,34,34,9,0,25,9,49,62,2,Matches
814,Davide Faraoni\Davide-Faraoni,it ITA,DF,Hellas Verona,it Serie A,27,1991,34.9,60,35,39,16,5,22,80,27.5,58,484,152,31.4,227,169,88,90,18,1,72,36,96,124,1,Matches
815,Mohamed Fares\Mohamed-Fares,dz ALG,MFDF,SPAL,it Serie A,23,1996,3.8,4,2,1,2,1,1,8,12.5,7,60,13,21.7,21,24,15,7,3,0,4,4,8,7,0,Matches
816,Diego Farias\Diego-Farias,br BRA,FWMF,Lecce,it Serie A,29,1990,9.2,10,5,4,5,1,5,21,23.8,16,183,27,14.8,64,88,31,9,0,0,9,4,14,4,0,Matches
817,Ansu Fati\Ansu-Fati,es ESP,FWDF,Barcelona,es La Liga,16,2002,11.4,19,10,4,7,8,6,16,37.5,10,224,68,30.4,39,95,90,16,1,0,15,5,24,3,0,Matches
818,Julien Faussurier\Julien-Faussurier,fr FRA,DF,Brest,fr Ligue 1,32,1987,22.0,40,28,25,12,3,18,62,29.0,44,254,85,33.5,118,81,55,46,8,1,38,32,72,62,0,Matches
819,Andrea Favilli\Andrea-Favilli,it ITA,FW,Genoa,it Serie A,22,1997,7.3,7,5,2,3,2,0,5,0.0,5,108,22,20.4,8,42,58,4,0,0,4,0,7,5,0,Matches
820,Federico Fazio\Federico-Fazio,ar ARG,DF,Roma,it Serie A,32,1987,12.5,15,9,9,4,2,3,9,33.3,6,96,36,37.5,57,35,4,15,7,0,8,22,37,61,0,Matches
821,Aleix Febas\Aleix-Febas,es ESP,MF,Mallorca,es La Liga,23,1996,18.8,40,25,19,18,3,10,29,34.5,19,366,95,26.0,108,196,62,16,1,0,15,18,58,3,0,Matches
822,Zouhair Feddal\Zouhair-Feddal,ma MAR,DF,Betis,es La Liga,30,1989,15.9,17,11,9,7,1,4,10,40.0,6,124,41,33.1,60,59,5,19,10,0,9,24,41,113,0,Matches
823,Ljubomir Fejsa\Ljubomir-Fejsa,rs SRB,MF,Alavés,es La Liga,30,1988,8.7,27,17,13,14,0,7,27,25.9,20,213,55,25.8,76,125,12,9,1,0,8,6,33,15,0,Matches
824,Nabil Fekir\Nabil-Fekir,fr FRA,MFFW,Betis,es La Liga,26,1993,29.3,43,26,18,16,9,7,31,22.6,24,593,144,24.3,100,301,192,36,5,0,31,13,56,6,0,Matches
825,Felipe\Felipe,br BRA,DF,Atlético Madrid,es La Liga,30,1989,23.4,33,18,26,7,0,14,25,56.0,11,160,58,36.3,100,52,8,29,16,1,13,45,78,186,1,Matches
826,Luiz Felipe\Luiz-Felipe,br BRA,DF,Lazio,it Serie A,22,1997,21.5,43,20,27,13,3,23,38,60.5,15,200,53,26.5,109,79,12,58,31,0,27,41,84,69,3,Matches
827,Lucas Felippe\Lucas-Felippe,br BRA,MFDF,Hellas Verona,it Serie A,19,2000,0.3,1,0,1,0,0,1,1,100.0,0,3,1,33.3,2,0,1,0,0,0,0,0,1,0,0,Matches
828,Ohis Felix Uduokhai\Ohis-Felix-Uduokhai,de GER,DF,Augsburg,de Bundesliga,21,1997,21.8,50,24,33,16,1,19,29,65.5,10,176,56,31.8,103,66,7,54,28,1,26,35,85,168,2,Matches
829,João Félix\Joao-Felix,pt POR,FWMF,Atlético Madrid,es La Liga,19,1999,19.4,9,4,2,4,3,0,13,0.0,13,211,47,22.3,23,122,66,11,1,0,10,11,20,9,0,Matches
830,Kiko Femenía\Kiko-Femenia,es ESP,DF,Watford,eng Premier League,28,1991,24.9,62,32,44,15,3,26,71,36.6,45,384,97,25.3,209,138,37,36,2,0,34,37,99,62,1,Matches
831,Zinedine Ferhat\Zinedine-Ferhat,dz ALG,FWMF,Nîmes,fr Ligue 1,26,1993,25.0,27,16,12,10,5,14,52,26.9,38,266,77,28.9,55,131,80,24,2,0,22,16,43,18,0,Matches
832,Bruno Fernandes\Bruno-Fernandes,pt POR,MF,Manchester Utd,eng Premier League,24,1994,13.2,19,14,7,8,4,5,34,14.7,29,257,65,25.3,58,122,77,14,0,0,14,9,28,12,0,Matches
833,Edimilson Fernandes\Edimilson-Fernandes,ch SUI,MFDF,Mainz 05,de Bundesliga,23,1996,16.5,39,26,16,17,6,18,37,48.6,19,264,75,28.4,99,130,35,34,13,0,21,32,71,46,0,Matches
834,Gedson Fernandes\Gedson-Fernandes,pt POR,MFDF,Tottenham,eng Premier League,20,1999,0.8,1,1,1,0,0,0,1,0.0,1,18,5,27.8,7,7,4,1,0,0,1,1,2,0,0,Matches
835,Gelson Fernandes\Gelson-Fernandes,ch SUI,MF,Eint Frankfurt,de Bundesliga,32,1986,8.6,35,20,15,20,0,6,23,26.1,17,228,65,28.5,88,129,11,15,3,1,12,20,55,21,1,Matches
836,Matheus Fernandes\Matheus-Fernandes,br BRA,MF,Valladolid,es La Liga,21,1998,1.8,,1,,,,,,,,,,,,,,,,,,3,0,,,Matches
837,Aitor Fernández\Aitor-Fernandez,es ESP,GK,Levante,es La Liga,28,1991,36.0,0,0,0,0,0,0,0,,0,7,3,42.9,7,0,0,0,0,0,0,3,3,5,0,Matches
838,Andrés Fernández\Andres-Fernandez,es ESP,GK,Villarreal,es La Liga,32,1986,4.3,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,Matches
839,Carlos Fernández\Carlos-Fernandez,es ESP,FWMF,Granada,es La Liga,23,1996,24.5,24,13,6,11,7,4,30,13.3,26,539,121,22.4,31,297,211,24,3,0,21,11,35,32,0,Matches
840,Federico Fernández\Federico-Fernandez,ar ARG,DF,Newcastle Utd,eng Premier League,30,1989,29.1,50,32,41,8,1,27,51,52.9,24,231,73,31.6,170,48,13,61,31,0,30,22,72,214,1,Matches
841,Gabriel Fernández\Gabriel-Fernandez,uy URU,FWMF,Celta Vigo,es La Liga,25,1994,6.2,3,2,0,2,1,0,1,0.0,1,76,20,26.3,4,38,34,6,1,0,5,2,5,2,0,Matches
842,Joaquín Fernández\Joaquin-Fernandez,es ESP,MFDF,Valladolid,es La Liga,23,1996,18.4,37,23,23,14,0,9,33,27.3,24,272,74,27.2,121,135,16,33,10,1,23,31,68,92,2,Matches
843,Fernandinho\Fernandinho,br BRA,DF,Manchester City,eng Premier League,34,1985,26.6,44,25,29,15,0,18,47,38.3,29,217,89,41.0,106,90,21,40,17,1,23,25,69,106,1,Matches
844,Fernando\Fernando,br BRA,MF,Sevilla,es La Liga,32,1987,29.5,66,44,42,22,2,28,64,43.8,36,506,186,36.8,216,249,41,58,15,0,43,66,132,129,0,Matches
845,Juan Ferney Otero\Juan-Ferney-Otero,co COL,FWMF,Amiens,fr Ligue 1,24,1995,13.4,15,11,4,10,1,10,30,33.3,20,270,61,22.6,61,127,82,25,2,0,23,19,34,17,0,Matches
846,Alex Ferrari\Alex-Ferrari,it ITA,DF,Sampdoria,it Serie A,25,1994,11.2,17,12,13,4,0,4,11,36.4,7,133,34,25.6,86,42,5,22,11,0,11,11,28,52,0,Matches
847,Facundo Ferreyra\Facundo-Ferreyra,ar ARG,FW,Espanyol,es La Liga,28,1991,6.4,6,5,3,2,1,2,9,22.2,7,97,18,18.6,12,43,42,4,0,0,4,2,8,4,0,Matches
848,Jordan Ferri\Jordan-Ferri,fr FRA,MF,Montpellier,fr Ligue 1,27,1992,12.8,28,17,9,15,4,18,58,31.0,40,322,87,27.0,99,174,49,13,0,0,13,10,38,13,0,Matches
849,Oliver Fink\Oliver-Fink,de GER,MFFW,Düsseldorf,de Bundesliga,37,1982,7.5,25,20,7,14,4,4,22,18.2,18,223,55,24.7,57,127,39,15,1,0,14,13,38,8,0,Matches
850,Alfreð Finnbogason\Alfred-Finnbogason,is ISL,FW,Augsburg,de Bundesliga,30,1989,10.7,10,5,2,6,2,0,4,0.0,4,261,72,27.6,19,122,120,12,3,0,9,3,13,6,0,Matches
851,Roberto Firmino\Roberto-Firmino,br BRA,FW,Liverpool,eng Premier League,27,1991,33.2,37,26,7,17,13,10,34,29.4,24,694,216,31.1,57,307,330,47,5,0,42,8,45,16,0,Matches
852,Junior Firpo\Junior-Firpo,es ESP,DF,Barcelona,es La Liga,22,1996,11.3,24,14,14,9,1,13,21,61.9,8,124,30,24.2,42,57,25,26,2,0,24,14,38,14,0,Matches
853,John Fleck\John-Fleck,sco SCO,MF,Sheffield Utd,eng Premier League,27,1991,28.0,38,24,17,15,6,18,74,24.3,56,551,146,26.5,150,289,112,44,3,0,41,24,62,24,0,Matches
854,Mark Flekken\Mark-Flekken,nl NED,GK,Freiburg,de Bundesliga,26,1993,10.0,0,0,0,0,0,0,1,0.0,1,1,0,0.0,1,0,0,0,0,0,0,1,1,0,1,Matches
855,Sergio Floccari\Sergio-Floccari,it ITA,FW,SPAL,it Serie A,37,1981,10.5,9,6,1,4,4,0,14,0.0,14,247,55,22.3,33,114,100,11,1,0,10,5,14,1,0,Matches
856,Alessandro Florenzi\Alessandro-Florenzi,it ITA,DFFW,Roma,it Serie A,28,1991,11.1,16,13,9,4,3,5,22,22.7,17,131,43,32.8,48,57,26,22,2,0,20,16,32,29,0,Matches
857,Alessandro Florenzi\Alessandro-Florenzi,it ITA,DF,Valencia,es La Liga,28,1991,8.4,12,10,8,4,0,9,25,36.0,16,105,21,20.0,51,39,15,17,1,0,16,15,27,17,0,Matches
858,Phil Foden\Phil-Foden,eng ENG,FWMF,Manchester City,eng Premier League,19,2000,10.0,16,9,5,8,3,7,17,41.2,10,253,74,29.2,43,105,105,9,0,0,9,7,23,3,0,Matches
859,Mamadou Fofana\Mamadou-Fofana,ml MLI,DFMF,Metz,fr Ligue 1,21,1998,17.6,56,36,36,18,2,16,38,42.1,22,292,95,32.5,141,134,17,34,11,0,23,27,83,84,1,Matches
860,Seko Fofana\Seko-Fofana,ci CIV,MF,Udinese,it Serie A,24,1995,24.7,20,13,10,9,1,5,31,16.1,26,371,88,23.7,135,172,64,27,1,0,26,14,34,21,0,Matches
861,Wesley Fofana\Wesley-Fofana,fr FRA,DF,Saint-Étienne,fr Ligue 1,18,2000,13.5,28,14,16,12,0,8,18,44.4,10,139,58,41.7,91,42,6,22,7,0,15,39,67,92,2,Matches
862,Youssouf Fofana\Youssouf-Fofana,fr FRA,MF,Strasbourg,fr Ligue 1,20,1999,11.2,23,14,11,9,3,7,30,23.3,23,235,78,33.2,67,133,35,15,0,0,15,15,38,15,0,Matches
863,Youssouf Fofana\Youssouf-Fofana,fr FRA,MF,Monaco,fr Ligue 1,20,1999,6.8,18,15,4,14,0,6,19,31.6,13,152,53,34.9,45,81,26,16,3,0,13,8,26,11,0,Matches
864,Thomas Foket\Thomas-Foket,be BEL,DF,Reims,fr Ligue 1,24,1994,27.0,55,36,31,17,7,24,45,53.3,21,300,103,34.3,138,117,45,37,5,0,32,42,97,84,1,Matches
865,Lamine Fomba\Lamine-Fomba,fr FRA,MF,Nîmes,fr Ligue 1,21,1998,15.3,54,31,11,34,9,14,42,33.3,28,437,121,27.7,112,243,82,38,3,0,35,25,79,20,0,Matches
866,José Fonte\Jose-Fonte,pt POR,DF,Lille,fr Ligue 1,35,1983,24.5,28,15,15,13,0,13,27,48.1,14,124,45,36.3,86,32,6,22,11,0,11,26,54,147,0,Matches
867,Pablo Fornals\Pablo-Fornals,es ESP,MFFW,West Ham,eng Premier League,23,1996,24.1,42,29,17,18,7,16,70,22.9,54,597,156,26.1,153,275,169,51,1,0,50,24,66,10,0,Matches
868,Emil Forsberg\Emil-Forsberg,se SWE,MFFW,RB Leipzig,de Bundesliga,27,1991,12.7,19,12,5,10,4,7,26,26.9,19,262,79,30.2,40,151,71,19,0,0,19,5,24,4,0,Matches
869,Hernâni Fortes\Hernani-Fortes,pt POR,MFFW,Levante,es La Liga,27,1991,7.3,4,3,3,0,1,0,3,0.0,3,70,14,20.0,25,30,15,12,0,0,12,5,9,6,0,Matches
870,Ben Foster\Ben-Foster,eng ENG,GK,Watford,eng Premier League,36,1983,38.0,0,0,0,0,0,0,3,0.0,3,9,0,0.0,9,0,0,1,0,0,1,1,1,1,2,Matches
871,Lyle Foster\Lyle-Foster,za RSA,FW,Monaco,fr Ligue 1,18,2000,0.7,0,0,0,0,0,0,1,0.0,1,16,4,25.0,5,7,4,0,0,0,0,0,0,1,0,Matches
872,Timothy Fosu-Mensah\Timothy-Fosu-Mensah,nl NED,DF,Manchester Utd,eng Premier League,21,1998,1.5,1,1,1,0,0,1,4,25.0,3,20,6,30.0,10,9,1,0,0,0,0,5,6,2,0,Matches
873,Dimitri Foulquier\Dimitri-Foulquier,fr FRA,MFDF,Watford,eng Premier League,26,1993,0.7,1,1,1,0,0,0,1,0.0,1,18,6,33.3,6,9,3,2,0,0,2,2,3,1,0,Matches
874,Dimitri Foulquier\Dimitri-Foulquier,fr FRA,DF,Granada,es La Liga,26,1993,12.4,23,8,12,9,2,13,19,68.4,6,198,58,29.3,91,83,24,24,2,0,22,15,38,39,0,Matches
875,Juan Foyth\Juan-Foyth,ar ARG,DF,Tottenham,eng Premier League,21,1998,0.8,7,4,5,1,1,2,3,66.7,1,14,5,35.7,10,4,0,2,0,0,2,2,9,4,0,Matches
876,Raphael Framberger\Raphael-Framberger,de GER,DF,Augsburg,de Bundesliga,23,1995,13.1,46,24,26,16,4,21,36,58.3,15,192,57,29.7,91,83,18,35,11,2,24,22,68,38,0,Matches
877,Simon Francis\Simon-Francis,eng ENG,DF,Bournemouth,eng Premier League,34,1985,10.8,17,12,13,4,0,11,25,44.0,14,107,29,27.1,71,24,12,29,14,0,15,20,37,91,2,Matches
878,Mike Frantz\Mike-Frantz,de GER,MFDF,Freiburg,de Bundesliga,32,1986,3.9,5,4,2,3,0,1,7,14.3,6,79,19,24.1,27,39,13,6,4,0,2,1,6,9,0,Matches
879,Ryan Fraser\Ryan-Fraser,sco SCO,MFFW,Bournemouth,eng Premier League,25,1994,23.0,9,8,3,3,3,4,17,23.5,13,298,65,21.8,79,122,97,28,3,2,25,16,25,18,0,Matches
880,Fred\Fred,br BRA,MF,Manchester Utd,eng Premier League,26,1993,24.0,79,51,41,33,5,29,98,29.6,69,707,194,27.4,289,328,90,64,8,0,56,38,117,26,0,Matches
881,Ryan Fredericks\Ryan-Fredericks,eng ENG,DF,West Ham,eng Premier League,26,1992,24.9,86,48,63,15,8,33,65,50.8,32,325,97,29.8,196,85,44,42,9,1,33,26,112,91,0,Matches
882,Kieron Freeman\Kieron-Freeman,wal WAL,FW,Sheffield Utd,eng Premier League,27,1992,0.1,0,0,0,0,0,0,0,,0,2,0,0.0,0,1,1,0,0,0,0,0,0,0,0,Matches
883,Luke Freeman\Luke-Freeman,eng ENG,MF,Sheffield Utd,eng Premier League,27,1992,4.1,5,4,1,2,2,2,9,22.2,7,96,24,25.0,31,42,23,9,0,0,9,9,14,6,0,Matches
884,Remo Freuler\Remo-Freuler,ch SUI,MF,Atalanta,it Serie A,27,1992,25.3,62,47,29,26,7,20,75,26.7,55,558,178,31.9,156,298,104,57,6,0,51,24,86,35,0,Matches
885,Marco Friedl\Marco-Friedl,at AUT,DF,Werder Bremen,de Bundesliga,21,1998,24.3,69,44,45,20,4,28,60,46.7,32,370,107,28.9,219,111,40,56,7,0,49,36,105,94,0,Matches
886,Marvin Friedrich\Marvin-Friedrich,de GER,DF,Union Berlin,de Bundesliga,23,1995,31.0,52,35,34,16,2,17,45,37.8,28,409,154,37.7,231,163,15,63,25,0,38,45,97,161,0,Matches
887,Samúel Friðjónsson\Samuel-Fridjonsson,is ISL,MF,Paderborn 07,de Bundesliga,23,1996,2.1,3,2,2,1,0,2,4,50.0,2,30,8,26.7,14,13,3,4,1,0,3,4,7,7,1,Matches
888,Jorge de Frutos\Jorge-de-Frutos,es ESP,MFFW,Valladolid,es La Liga,22,1997,0.7,2,0,2,0,0,1,2,50.0,1,17,2,11.8,7,8,2,1,0,0,1,0,2,1,0,Matches
889,Christian Fuchs\Christian-Fuchs,at AUT,DF,Leicester City,eng Premier League,33,1986,8.6,15,9,8,7,0,8,23,34.8,15,144,45,31.3,88,51,5,29,3,0,26,16,31,39,1,Matches
890,Angelo Fulgini\Angelo-Fulgini,fr FRA,MF,Angers,fr Ligue 1,22,1996,17.5,33,23,11,18,4,12,31,38.7,19,297,85,28.6,56,177,64,22,0,0,22,21,54,10,0,Matches
891,Niclas Füllkrug\Niclas-Fullkrug,de GER,FW,Werder Bremen,de Bundesliga,26,1993,4.5,2,1,1,0,1,1,2,50.0,1,67,14,20.9,5,21,41,5,0,0,5,2,4,5,0,Matches
892,Ramiro Funes Mori\Ramiro-Funes-Mori,ar ARG,DF,Villarreal,es La Liga,28,1991,5.0,4,1,1,3,0,0,2,0.0,2,34,11,32.4,18,14,2,8,3,0,5,3,7,20,1,Matches
893,Matteo Gabbia\Matteo-Gabbia,it ITA,DF,Milan,it Serie A,19,1999,6.6,5,3,4,1,0,1,6,16.7,5,60,17,28.3,30,26,4,9,5,0,4,7,12,27,0,Matches
894,Manolo Gabbiadini\Manolo-Gabbiadini,it ITA,FW,Sampdoria,it Serie A,27,1991,21.6,16,11,3,5,8,4,14,28.6,10,241,61,25.3,15,106,120,10,3,0,7,11,27,12,0,Matches
895,Gabriel\Gabriel,br BRA,GK,Lecce,it Serie A,26,1992,32.3,0,0,0,0,0,0,1,0.0,1,6,1,16.7,6,0,0,0,0,0,0,0,0,2,2,Matches
