,,,,,,,,,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Corner Kicks,Corner Kicks,Corner Kicks,Height,Height,Height,Body Parts,Body Parts,Body Parts,Body Parts,Body Parts,Outcomes,Outcomes,Outcomes,Outcomes,Outcomes,
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Att,Live,Dead,FK,TB,Press,Sw,Crs,CK,In,Out,Str,Ground,Low,High,Left,Right,Head,TI,Other,Cmp,Off,Out,Int,Blocks,Matches
71,Dominic Calvert-Lewin\Dominic-Calvert-Lewin,eng ENG,FW,Everton,22,1997,28.9,588,564,24,2,3,213,7,19,0,0,0,0,267,180,141,59,320,60,1,23,388,3,9,7,25,Matches
72,Víctor Camarasa\Victor-Camarasa,es ESP,MF,Crystal Palace,25,1994,0.1,3,3,0,0,0,1,0,0,0,0,0,0,3,0,0,0,3,0,0,0,3,0,0,0,0,Matches
73,João Cancelo\Joao-Cancelo,pt POR,DF,Manchester City,25,1994,12.4,1057,964,93,6,4,137,24,41,1,0,1,0,762,172,123,127,805,27,86,3,927,4,13,16,20,Matches
74,Todd Cantwell\Todd-Cantwell,eng ENG,FWMF,Norwich City,21,1998,26.7,1083,1046,37,13,1,257,27,24,4,0,1,0,796,183,104,90,930,30,15,9,865,6,33,22,37,Matches
75,Étienne Capoue\Etienne-Capoue,fr FRA,MF,Watford,31,1988,29.2,1430,1348,82,38,4,185,76,23,7,4,3,0,838,246,346,212,1069,104,3,9,1158,3,17,15,20,Matches
76,Andy Carroll\Andy-Carroll,eng ENG,FW,Newcastle Utd,30,1989,6.8,206,201,5,0,1,102,7,5,0,0,0,0,78,63,65,81,45,12,0,11,133,1,7,2,4,Matches
77,Jonny Castro\Jonny-Castro,es ESP,DF,Wolves,25,1994,31.4,1418,1118,300,7,0,265,17,52,2,1,0,0,813,388,217,333,712,52,291,5,1155,3,22,23,47,Matches
78,Craig Cathcart\Craig-Cathcart,nir NIR,DF,Watford,30,1989,27.6,864,841,23,18,0,138,32,1,0,0,0,0,521,120,223,196,549,75,5,3,719,2,14,7,5,Matches
79,Dani Ceballos\Dani-Ceballos,es ESP,MF,Arsenal,22,1996,18.0,1248,1149,99,33,4,193,51,71,62,11,19,9,911,142,195,70,1148,16,4,3,1050,3,17,18,35,Matches
80,Nathaniel Chalobah\Nathaniel-Chalobah,eng ENG,MF,Watford,24,1994,10.2,344,322,22,6,2,85,15,20,13,2,2,5,204,74,66,59,249,22,2,0,252,1,7,6,17,Matches
81,Calum Chambers\Calum-Chambers,eng ENG,DF,Arsenal,24,1995,12.2,865,773,92,8,0,159,15,34,0,0,0,0,594,144,127,54,684,27,83,1,702,1,10,9,31,Matches
82,Ben Chilwell\Ben-Chilwell,eng ENG,DF,Leicester City,22,1996,26.4,1956,1653,303,32,3,327,40,104,7,0,3,0,1165,381,410,1414,183,53,264,4,1528,3,42,32,63,Matches
83,Tahith Chong\Tahith-Chong,nl NED,FWMF,Manchester Utd,19,1999,0.4,14,14,0,0,0,2,0,0,0,0,0,0,13,1,0,14,0,0,0,0,9,0,1,2,1,Matches
84,Hamza Choudhury\Hamza-Choudhury,eng ENG,MF,Leicester City,21,1997,9.1,465,453,12,12,0,63,4,4,0,0,0,0,364,43,58,32,392,34,0,1,402,0,4,8,7,Matches
85,Andreas Christensen\Andreas-Christensen,dk DEN,DF,Chelsea,23,1996,19.5,1258,1224,34,29,1,170,33,0,0,0,0,0,1047,83,128,80,1108,31,5,3,1166,3,16,7,6,Matches
86,Ciaran Clark\Ciaran-Clark,ie IRL,DF,Newcastle Utd,29,1989,13.2,322,297,25,10,0,58,7,0,0,0,0,0,182,43,97,227,42,24,15,1,253,0,9,2,4,Matches
87,Leon Clarke\Leon-Clarke,eng ENG,MF,Sheffield Utd,34,1985,0.2,3,3,0,0,0,0,0,0,0,0,0,0,2,1,0,2,1,0,0,0,3,0,0,0,0,Matches
88,Tom Cleverley\Tom-Cleverley,eng ENG,MF,Watford,29,1989,10.7,462,434,28,14,1,72,14,27,6,1,2,2,275,79,108,53,370,27,5,2,361,3,9,4,10,Matches
89,Conor Coady\Conor-Coady,eng ENG,DF,Wolves,26,1993,37.0,1747,1715,32,31,3,214,98,0,0,0,0,0,1045,202,500,66,1553,104,1,4,1509,3,24,15,14,Matches
90,Séamus Coleman\Seamus-Coleman,ie IRL,DF,Everton,30,1988,19.8,1022,801,221,13,1,167,13,41,0,0,0,0,515,232,275,113,643,43,208,1,784,3,16,21,45,Matches
91,Aaron Connolly\Aaron-Connolly,ie IRL,FW,Brighton,19,2000,13.0,152,138,14,0,1,46,0,9,0,0,0,0,83,48,21,27,98,12,1,6,117,0,1,4,9,Matches
92,Lewis Cook\Lewis-Cook,eng ENG,MF,Bournemouth,22,1997,15.0,719,698,21,12,5,131,18,9,1,0,0,0,434,161,124,41,633,24,7,1,560,5,11,14,24,Matches
93,Steve Cook\Steve-Cook,eng ENG,DF,Bournemouth,28,1991,26.0,1209,1151,58,40,2,175,19,2,0,0,0,0,750,153,306,42,1007,94,18,1,986,4,21,7,12,Matches
94,Jack Cork\Jack-Cork,eng ENG,MF,Burnley,30,1989,29.0,933,926,7,3,3,243,26,6,0,0,0,0,589,148,196,101,723,59,4,3,743,6,13,9,16,Matches
95,Aaron Cresswell\Aaron-Cresswell,eng ENG,DF,West Ham,29,1989,29.5,1633,1253,380,42,3,237,35,125,19,11,5,0,771,350,512,1165,78,39,319,1,1203,6,39,18,75,Matches
96,Patrick Cutrone\Patrick-Cutrone,it ITA,FW,Wolves,21,1998,3.3,56,49,7,0,0,21,2,6,0,0,0,0,33,11,12,9,40,1,0,3,38,0,4,1,0,Matches
97,Diogo Dalot\Diogo-Dalot,pt POR,DF,Manchester Utd,20,1999,0.7,64,50,14,0,0,8,0,3,1,0,0,0,34,20,10,7,40,2,13,1,51,0,1,2,1,Matches
98,Charlie Daniels\Charlie-Daniels,eng ENG,DF,Bournemouth,32,1986,1.4,49,39,10,4,0,7,4,5,0,0,0,0,25,9,15,42,1,0,6,0,35,2,4,0,0,Matches
99,Scott Dann\Scott-Dann,eng ENG,DF,Crystal Palace,32,1987,13.1,511,483,28,27,0,62,14,2,0,0,0,0,323,82,106,61,383,46,1,3,426,0,5,6,8,Matches
100,Kevin Danso\Kevin-Danso,at AUT,DF,Southampton,20,1998,3.1,159,125,34,1,0,32,4,4,0,0,0,0,93,24,42,10,105,6,33,0,115,0,4,5,3,Matches
101,Ben Davies\Ben-Davies,wal WAL,DF,Tottenham,26,1993,14.9,905,749,156,15,1,121,11,29,0,0,0,0,518,190,197,620,77,41,141,2,696,2,14,22,28,Matches
102,Tom Davies\Tom-Davies,eng ENG,MF,Everton,21,1998,21.8,812,783,29,16,6,154,26,8,0,0,0,0,514,144,154,96,626,58,5,4,631,3,15,12,24,Matches
103,Keinan Davis\Keinan-Davis,eng ENG,FW,Aston Villa,21,1998,5.8,134,129,5,0,0,50,0,1,0,0,0,0,97,21,16,95,19,6,1,2,102,0,3,1,5,Matches
104,Craig Dawson\Craig-Dawson,eng ENG,DF,Watford,29,1990,25.2,861,831,30,13,1,144,48,4,0,0,0,0,495,141,225,49,683,60,17,9,687,5,24,6,12,Matches
105,Kevin De Bruyne\Kevin-De-Bruyne,be BEL,MF,Manchester City,28,1991,30.0,2175,1917,258,49,29,358,132,294,170,58,50,17,1428,299,448,250,1835,39,35,3,1622,13,35,59,95,Matches
106,Troy Deeney\Troy-Deeney,eng ENG,FW,Watford,31,1988,23.7,668,647,21,0,3,245,5,8,1,0,0,0,221,250,197,23,369,120,1,12,381,6,24,15,27,Matches
107,Fabian Delph\Fabian-Delph,eng ENG,MF,Everton,29,1989,13.2,778,763,15,11,2,122,28,8,0,0,0,0,550,113,115,483,250,28,2,3,676,2,13,6,7,Matches
108,Leander Dendoncker\Leander-Dendoncker,be BEL,MFDF,Wolves,24,1995,30.1,1246,1230,16,13,1,184,41,8,0,0,0,0,889,164,193,202,884,98,2,2,1060,4,8,19,21,Matches
109,Gerard Deulofeu\Gerard-Deulofeu,es ESP,FW,Watford,25,1994,23.3,823,731,92,30,3,178,25,91,33,14,11,4,544,151,128,66,732,9,8,6,603,4,9,20,48,Matches
110,Eric Dier\Eric-Dier,eng ENG,DFMF,Tottenham,25,1994,13.9,810,793,17,16,0,137,20,3,0,0,0,0,548,98,164,108,600,53,1,2,652,4,13,16,7,Matches
111,Lucas Digne\Lucas-Digne,fr FRA,DF,Everton,26,1993,32.9,1888,1363,525,62,3,286,70,263,107,52,39,8,782,418,688,1242,99,111,356,7,1307,6,33,32,86,Matches
112,Virgil van Dijk\Virgil-van-Dijk,nl NED,DF,Liverpool,28,1991,36.0,2904,2821,83,72,8,307,126,0,0,0,0,0,2189,252,463,333,2322,143,11,6,2630,1,41,13,10,Matches
113,Issa Diop\Issa-Diop,fr FRA,DF,West Ham,22,1997,28.7,867,827,40,39,0,129,15,1,0,0,0,0,563,94,210,122,620,83,1,2,691,2,25,10,13,Matches
114,Moussa Djenepo\Moussa-Djenepo,ml MLI,MFDF,Southampton,21,1998,10.3,264,254,10,0,3,56,5,23,0,0,0,0,169,62,33,60,176,11,9,5,191,1,7,8,8,Matches
115,Matt Doherty\Matt-Doherty,ie IRL,DF,Wolves,27,1992,30.9,1759,1427,332,5,1,288,23,43,0,0,0,0,872,465,422,73,1159,114,327,12,1345,3,26,33,58,Matches
116,Abdoulaye Doucouré\Abdoulaye-Doucoure,fr FRA,MF,Watford,26,1993,34.2,1601,1589,12,8,1,339,23,23,1,0,0,0,1128,287,186,257,1232,68,0,5,1260,3,18,29,59,Matches
117,Thomas Doyle\Thomas-Doyle,eng ENG,MFFW,Manchester City,17,2001,0.2,19,18,1,1,0,1,0,0,0,0,0,0,19,0,0,4,15,0,0,0,19,0,0,0,0,Matches
118,Danny Drinkwater\Danny-Drinkwater,eng ENG,MF,Burnley,29,1990,0.6,20,19,1,1,0,3,1,0,0,0,0,0,9,2,9,3,14,3,0,0,11,0,2,0,1,Matches
