,,,,,,,,,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Corner Kicks,Corner Kicks,Corner Kicks,Height,Height,Height,Body Parts,Body Parts,Body Parts,Body Parts,Body Parts,Outcomes,Outcomes,Outcomes,Outcomes,Outcomes,
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Att,Live,Dead,FK,TB,Press,Sw,Crs,CK,In,Out,Str,Ground,Low,High,Left,Right,Head,TI,Other,Cmp,Off,Out,Int,Blocks,Matches
268,Matthew Longstaff\Matthew-Longstaff,eng ENG,MF,Newcastle Utd,19,2000,6.4,237,232,5,3,0,34,5,2,0,0,0,0,161,30,46,21,200,13,0,0,193,0,4,6,4,Matches
269,Sean Longstaff\Sean-Longstaff,eng ENG,MF,Newcastle Utd,21,1997,14.8,643,591,52,39,1,114,33,30,11,5,3,0,417,92,134,110,468,51,1,3,503,1,15,7,13,Matches
270,Dejan Lovren\Dejan-Lovren,hr CRO,DF,Liverpool,30,1989,8.6,603,587,16,15,1,64,16,1,0,0,0,0,411,80,112,114,433,41,1,1,530,0,12,3,5,Matches
271,Matthew Lowton\Matthew-Lowton,eng ENG,DF,Burnley,30,1989,17.0,726,562,164,12,2,144,20,43,0,0,0,0,294,162,270,51,477,35,152,2,497,5,20,17,19,Matches
272,David Luiz\David-Luiz,br BRA,DF,Arsenal,32,1987,30.2,1681,1584,97,93,5,249,72,5,0,0,0,0,1213,160,308,404,1203,47,4,10,1455,7,31,9,14,Matches
273,Douglas Luiz\Douglas-Luiz,br BRA,MF,Aston Villa,21,1998,28.0,1183,1122,61,40,2,173,57,24,3,0,1,0,677,241,265,119,953,68,6,13,958,2,27,14,12,Matches
274,John Lundstram\John-Lundstram,eng ENG,MF,Sheffield Utd,25,1994,26.3,1172,1150,22,8,4,261,48,54,3,2,0,1,744,224,204,312,783,50,3,6,946,9,27,20,31,Matches
275,Alexis Mac Allister\Alexis-Mac-Allister,ar ARG,MFFW,Brighton,20,1998,3.1,109,84,25,10,0,23,2,17,11,4,5,1,60,23,26,13,91,3,0,0,72,0,3,2,4,Matches
276,James Maddison\James-Maddison,eng ENG,MF,Leicester City,22,1996,29.2,1674,1422,252,82,16,267,93,220,157,43,76,15,1051,247,376,158,1462,31,7,11,1282,8,30,36,38,Matches
277,Harry Maguire\Harry-Maguire,eng ENG,DF,Manchester Utd,26,1993,36.0,2286,2213,73,63,1,344,84,2,0,0,0,0,1701,256,329,304,1775,111,10,10,2022,5,42,20,11,Matches
278,Riyad Mahrez\Riyad-Mahrez,dz ALG,FWMF,Manchester City,28,1991,21.1,1160,1085,75,11,21,196,49,88,55,25,3,6,865,136,159,1014,113,14,9,2,984,5,16,19,27,Matches
279,Ainsley Maitland-Niles\Ainsley-Maitland-Niles,eng ENG,DF,Arsenal,21,1997,14.4,931,755,176,16,0,153,12,17,0,0,0,0,580,221,130,120,621,19,160,5,768,1,21,24,29,Matches
280,Sadio Mané\Sadio-Mane,sn SEN,FW,Liverpool,27,1992,29.3,1108,1088,20,7,10,234,26,49,0,0,0,0,732,227,149,228,796,39,10,13,886,3,16,28,49,Matches
281,Javier Manquillo\Javier-Manquillo,es ESP,DF,Newcastle Utd,25,1994,16.8,610,480,130,4,0,101,13,45,0,0,0,0,297,124,189,49,385,37,126,2,431,2,14,9,24,Matches
282,Solly March\Solly-March,eng ENG,DFFW,Brighton,25,1994,11.9,573,495,78,8,0,126,28,61,14,7,3,2,317,103,153,440,45,24,53,3,420,1,12,10,27,Matches
283,Pablo Marí\Pablo-Mari,es ESP,DF,Arsenal,25,1993,1.3,91,90,1,1,0,4,3,0,0,0,0,0,61,15,15,80,9,2,0,0,81,0,2,0,1,Matches
284,Adrian Mariappa\Adrian-Mariappa,jm JAM,DF,Watford,32,1986,16.3,552,427,125,7,1,72,12,20,0,0,0,0,241,113,198,44,340,35,118,0,400,2,15,6,8,Matches
285,Anthony Martial\Anthony-Martial,fr FRA,FW,Manchester Utd,23,1995,27.2,669,642,27,3,5,189,3,10,0,0,0,0,545,88,36,111,524,11,3,5,539,1,7,13,39,Matches
286,David Martin\David-Martin,eng ENG,GK,West Ham,33,1986,4.8,124,61,63,19,0,14,1,0,0,0,0,0,14,5,105,1,98,0,0,10,55,0,0,1,0,Matches
287,Josh Martin\Josh-Martin,eng ENG,FW,Norwich City,17,2001,0.4,16,16,0,0,0,7,0,0,0,0,0,0,13,1,2,5,11,0,0,0,12,0,0,1,1,Matches
288,Martinelli\Martinelli,br BRA,FW,Arsenal,18,2001,7.4,138,136,2,1,1,41,1,22,0,0,0,0,78,32,28,23,102,7,1,1,86,0,0,5,13,Matches
289,Emiliano Martínez\Emiliano-Martinez,ar ARG,GK,Arsenal,26,1992,7.6,259,185,74,20,1,25,7,0,0,0,0,0,150,8,101,30,168,1,0,39,185,0,14,0,1,Matches
290,Adam Masina\Adam-Masina,it ITA,DF,Watford,25,1994,19.2,895,686,209,16,0,160,37,66,8,5,1,1,307,163,425,544,60,65,185,4,549,5,23,8,32,Matches
291,Arthur Masuaku\Arthur-Masuaku,cd COD,DF,West Ham,25,1993,10.2,578,490,88,8,1,139,17,25,0,0,0,0,375,111,92,438,33,23,80,0,463,2,7,10,26,Matches
292,Juan Mata\Juan-Mata,es ESP,MFFW,Manchester Utd,31,1988,8.4,523,494,29,8,2,116,11,23,10,5,1,2,377,67,79,444,64,4,6,2,442,2,3,6,15,Matches
293,Nemanja Matić\Nemanja-Matic,rs SRB,MF,Manchester Utd,30,1988,15.6,1077,1050,27,23,1,202,27,3,0,0,0,0,842,116,119,888,131,35,4,4,950,1,11,14,19,Matches
294,Joël Matip\Joel-Matip,cm CMR,DF,Liverpool,27,1991,7.8,514,498,16,12,0,74,13,1,0,0,0,0,384,62,68,56,417,23,4,1,448,0,14,7,3,Matches
295,Neal Maupay\Neal-Maupay,fr FRA,FW,Brighton,22,1996,29.7,661,598,63,4,3,178,11,11,0,0,0,0,476,136,49,118,489,21,10,13,518,6,8,19,30,Matches
296,James McArthur\James-McArthur,sco SCO,MF,Crystal Palace,31,1987,33.6,1422,1352,70,5,4,363,21,41,1,0,0,0,953,216,253,345,948,59,30,11,1109,3,34,22,59,Matches
297,Oliver McBurnie\Oliver-McBurnie,sco SCO,FW,Sheffield Utd,23,1996,22.9,614,598,16,0,0,260,3,10,0,0,0,0,268,177,169,23,334,92,3,18,399,3,6,14,28,Matches
298,Alex McCarthy\Alex-McCarthy,eng ENG,GK,Southampton,29,1989,27.0,779,505,274,101,0,89,34,0,0,0,0,0,190,44,545,80,545,0,0,71,410,5,32,4,2,Matches
299,James McCarthy\James-McCarthy,ie IRL,MF,Crystal Palace,28,1990,17.7,758,693,65,39,0,129,45,30,17,9,6,2,427,127,204,207,483,44,6,10,586,3,25,11,21,Matches
300,John McGinn\John-McGinn,sco SCO,MF,Aston Villa,24,1994,24.7,747,677,70,29,3,161,72,62,24,15,4,2,432,106,209,532,168,24,4,4,566,7,16,10,22,Matches
301,David McGoldrick\David-McGoldrick,ie IRL,FW,Sheffield Utd,31,1987,20.2,623,609,14,1,4,167,18,8,0,0,0,0,406,117,100,57,462,37,1,8,475,10,16,10,20,Matches
302,Michael McGovern\Michael-McGovern,nir NIR,GK,Norwich City,35,1984,1.8,51,32,19,5,0,5,2,0,0,0,0,0,24,1,26,4,36,0,0,10,31,0,1,0,0,Matches
303,Kenny McLean\Kenny-McLean,sco SCO,MF,Norwich City,27,1992,32.0,1666,1579,87,46,4,375,57,53,20,8,12,0,1065,321,280,1185,309,74,18,8,1308,7,35,36,36,Matches
304,Dwight McNeil\Dwight-McNeil,eng ENG,MF,Burnley,19,1999,36.1,1228,1108,120,55,4,293,101,242,56,48,4,2,711,155,362,1099,52,43,8,4,837,9,26,23,70,Matches
305,Scott McTominay\Scott-McTominay,sco SCO,MF,Manchester Utd,22,1996,19.6,995,966,29,28,2,158,47,14,0,0,0,0,745,111,139,44,878,45,1,5,816,2,18,21,25,Matches
306,Ben Mee\Ben-Mee,eng ENG,DF,Burnley,29,1989,32.0,1172,1114,58,53,0,225,37,2,0,0,0,0,642,149,381,901,135,73,5,4,875,5,36,8,12,Matches
307,Benjamin Mendy\Benjamin-Mendy,fr FRA,DF,Manchester City,25,1994,16.6,1285,1158,127,13,0,159,33,86,0,0,0,0,900,225,160,1036,103,21,114,1,1108,5,14,18,32,Matches
308,Nampalys Mendy\Nampalys-Mendy,fr FRA,MF,Leicester City,27,1992,3.2,212,211,1,1,0,29,4,2,0,0,0,0,172,21,19,20,187,4,0,0,194,1,3,2,1,Matches
309,Chris Mepham\Chris-Mepham,wal WAL,DF,Bournemouth,21,1997,10.1,483,475,8,8,0,86,13,3,0,0,0,0,363,37,83,55,377,29,0,4,414,1,12,4,4,Matches
310,Max Meyer\Max-Meyer,de GER,MFFW,Crystal Palace,23,1995,7.3,213,211,2,1,1,52,0,9,0,0,0,0,160,31,22,68,132,11,1,0,160,1,1,7,14,Matches
311,Luka Milivojević\Luka-Milivojevic,rs SRB,MF,Crystal Palace,28,1991,27.9,1503,1255,248,136,1,238,106,145,99,61,25,6,893,208,402,204,1198,62,6,12,1158,2,41,21,21,Matches
312,James Milner\James-Milner,eng ENG,MFDF,Liverpool,33,1986,9.1,662,604,58,11,4,103,27,17,7,3,1,1,439,123,100,73,534,13,30,3,562,3,11,10,10,Matches
313,Yerry Mina\Yerry-Mina,co COL,DF,Everton,24,1994,25.4,1251,1216,35,34,0,212,50,4,0,0,0,0,890,140,221,162,967,79,1,1,1070,3,17,13,10,Matches
314,Takumi Minamino\Takumi-Minamino,jp JPN,FWMF,Liverpool,24,1995,2.0,81,81,0,0,0,22,2,3,0,0,0,0,65,7,9,19,56,1,0,1,71,0,1,0,1,Matches
315,Tyrone Mings\Tyrone-Mings,eng ENG,DF,Aston Villa,26,1993,31.2,1304,1255,49,46,2,190,57,8,0,0,0,0,880,125,299,1053,152,64,3,3,1040,3,40,15,23,Matches
316,Tyrick Mitchell\Tyrick-Mitchell,eng ENG,DF,Crystal Palace,19,1999,1.2,67,55,12,0,0,9,0,1,0,0,0,0,42,12,13,54,0,1,12,0,54,0,0,1,3,Matches
317,Henrikh Mkhitaryan\Henrikh-Mkhitaryan,am ARM,FW,Arsenal,30,1989,1.2,77,73,4,1,2,13,3,4,2,0,2,0,62,6,9,20,52,2,1,0,58,2,3,0,5,Matches
318,Nacho Monreal\Nacho-Monreal,es ESP,DF,Arsenal,33,1986,3.0,201,175,26,1,0,41,1,4,0,0,0,0,145,38,18,162,11,1,25,1,182,1,0,1,5,Matches
319,Martín Montoya\Martin-Montoya,es ESP,DF,Brighton,28,1991,21.1,1255,1014,241,13,0,214,36,45,1,0,1,0,642,326,287,142,824,47,227,1,1006,2,7,30,44,Matches
320,Simon Moore\Simon-Moore,eng ENG,GK,Sheffield Utd,29,1990,2.0,48,25,23,12,0,1,3,0,0,0,0,0,8,1,39,3,33,0,0,4,19,0,3,1,0,Matches
321,Aaron Mooy\Aaron-Mooy,au AUS,MFFW,Brighton,28,1990,23.0,1064,983,81,22,4,228,47,106,52,22,21,7,665,179,220,183,840,24,6,3,815,7,14,19,43,Matches
322,Wesley Moraes\Wesley-Moraes,br BRA,FW,Aston Villa,22,1996,19.8,377,361,16,0,0,115,12,7,0,0,0,0,221,94,62,16,282,33,2,10,277,3,6,6,11,Matches
323,Wes Morgan\Wes-Morgan,jm JAM,DF,Leicester City,35,1984,3.8,201,197,4,4,0,19,0,0,0,0,0,0,173,12,16,25,162,8,0,2,187,2,1,0,1,Matches
324,Ravel Morrison\Ravel-Morrison,eng ENG,MF,Sheffield Utd,26,1993,0.1,6,6,0,0,0,2,0,0,0,0,0,0,5,1,0,1,5,0,0,0,4,0,0,1,1,Matches
325,Mason Mount\Mason-Mount,eng ENG,MFFW,Chelsea,20,1999,30.3,1317,1173,144,51,3,249,56,128,78,34,14,10,923,196,198,151,1116,25,9,5,1064,5,19,13,46,Matches
326,Lucas Moura\Lucas-Moura,br BRA,FWMF,Tottenham,26,1992,23.9,768,752,16,5,5,211,6,17,4,2,1,0,498,152,118,76,613,36,4,3,562,3,8,19,36,Matches
327,Lys Mousset\Lys-Mousset,fr FRA,FW,Sheffield Utd,23,1996,13.8,239,231,8,0,1,72,1,4,0,0,0,0,173,42,24,24,191,11,1,4,176,1,6,6,11,Matches
328,João Moutinho\Joao-Moutinho,pt POR,MF,Wolves,32,1986,34.2,2005,1683,322,145,7,335,134,216,166,35,73,12,997,407,601,121,1767,90,5,6,1599,4,33,27,37,Matches
329,Glenn Murray\Glenn-Murray,eng ENG,FW,Brighton,35,1983,8.8,177,170,7,1,1,52,3,4,0,0,0,0,85,51,41,17,118,15,2,7,116,0,5,1,11,Matches
330,Shkodran Mustafi\Shkodran-Mustafi,de GER,DF,Arsenal,27,1992,13.4,790,773,17,16,0,109,29,2,0,0,0,0,592,66,132,33,682,48,1,4,663,0,15,4,14,Matches
331,Yoshinori Mutō\Yoshinori-Muto,jp JPN,FWMF,Newcastle Utd,27,1992,2.4,31,29,2,1,0,11,0,1,0,0,0,0,23,6,2,10,19,0,0,1,26,0,0,0,1,Matches
332,Georges-Kévin N'Koudou\Georges-Kevin-NKoudou,fr FRA,FW,Tottenham,24,1995,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
333,Marvelous Nakamba\Marvelous-Nakamba,zw ZIM,MF,Aston Villa,25,1994,20.2,788,764,24,20,0,172,17,3,0,0,0,0,597,102,89,634,102,33,3,2,666,2,15,13,11,Matches
334,Wilfred Ndidi\Wilfred-Ndidi,ng NGA,MF,Leicester City,22,1996,28.7,1611,1588,23,23,1,306,50,3,0,0,0,0,1144,257,210,173,1312,74,0,4,1384,2,34,25,27,Matches
335,Tanguy Ndombele\Tanguy-Ndombele,fr FRA,MF,Tottenham,22,1996,11.2,629,608,21,15,0,137,13,12,6,1,1,2,507,65,57,59,555,10,0,1,532,4,8,10,19,Matches
336,Reiss Nelson\Reiss-Nelson,eng ENG,FW,Arsenal,19,1999,6.8,225,207,18,3,1,49,7,23,13,5,6,0,161,33,31,30,190,3,1,1,180,0,2,8,9,Matches
337,Pedro Neto\Pedro-Neto,pt POR,FWMF,Wolves,19,2000,9.9,382,356,26,7,0,90,12,42,10,0,4,0,253,78,51,289,66,16,2,4,292,1,7,7,20,Matches
338,Rúben Neves\Ruben-Neves,pt POR,MF,Wolves,22,1997,33.3,1939,1879,60,45,5,305,146,31,9,3,4,0,1116,335,488,151,1665,95,6,4,1560,4,45,20,24,Matches
339,Jeremy Ngakia\Jeremy-Ngakia,eng ENG,DF,West Ham,18,2000,4.9,161,116,45,0,0,40,3,12,0,0,0,0,54,34,73,18,84,8,45,1,89,0,4,8,9,Matches
340,Oumar Niasse\Oumar-Niasse,sn SEN,FW,Everton,29,1990,0.2,5,5,0,0,0,2,0,1,0,0,0,0,3,2,0,1,3,0,0,1,3,0,0,1,0,Matches
341,Eddie Nketiah\Eddie-Nketiah,eng ENG,FW,Arsenal,20,1999,6.7,126,116,10,0,0,19,0,1,0,0,0,0,98,17,11,20,97,6,0,1,97,0,2,3,7,Matches
342,Mark Noble\Mark-Noble,eng ENG,MF,West Ham,32,1987,27.8,1368,1266,102,55,5,245,63,35,13,9,2,1,800,266,302,99,1196,51,9,2,1103,8,26,25,42,Matches
343,Oliver Norwood\Oliver-Norwood,nir NIR,MF,Sheffield Utd,28,1991,34.2,2140,1921,219,91,2,351,204,197,121,85,17,8,1117,366,657,75,1907,112,7,4,1658,12,71,24,30,Matches
344,Ørjan Nyland\Orjan-Nyland,no NOR,GK,Aston Villa,28,1990,6.0,182,111,71,18,0,10,3,0,0,0,0,0,62,13,107,15,133,0,0,28,105,1,8,1,1,Matches
345,Jack O'Connell\Jack-OConnell,eng ENG,DF,Sheffield Utd,25,1994,32.4,1555,1467,88,30,2,248,71,51,0,0,0,0,875,212,468,1269,61,110,58,4,1156,5,42,9,39,Matches
346,Michael Obafemi\Michael-Obafemi,ie IRL,FW,Southampton,19,2000,7.4,144,142,2,0,1,50,1,2,0,0,0,0,92,37,15,14,112,7,0,5,112,0,3,6,9,Matches
347,Angelo Ogbonna\Angelo-Ogbonna,it ITA,DF,West Ham,31,1988,29.0,868,852,16,16,0,162,17,1,0,0,0,0,521,115,232,528,210,71,0,4,680,5,20,2,7,Matches
348,Divock Origi\Divock-Origi,be BEL,FW,Liverpool,24,1995,7.2,195,194,1,0,0,59,13,18,0,0,0,0,122,33,40,29,143,10,0,3,142,1,5,3,7,Matches
349,Ben Osborn\Ben-Osborn,eng ENG,MFDF,Sheffield Utd,24,1994,6.6,259,245,14,2,1,64,5,16,3,0,1,1,143,64,52,198,33,11,9,1,179,2,10,4,13,Matches
350,Nicolás Otamendi\Nicolas-Otamendi,ar ARG,DF,Manchester City,31,1988,19.1,1488,1474,14,10,0,142,35,0,0,0,0,0,1254,100,134,112,1299,38,4,4,1380,2,12,11,13,Matches
351,Alex Oxlade-Chamberlain\Alex-Oxlade-Chamberlain,eng ENG,MFFW,Liverpool,25,1993,15.7,723,708,15,1,4,131,32,42,0,0,0,0,451,119,153,85,588,26,6,7,573,3,22,16,22,Matches
352,Mesut Özil\Mesut-Ozil,de GER,MF,Arsenal,30,1988,16.0,891,801,90,30,0,181,17,71,57,15,22,13,644,116,131,778,94,10,0,7,754,5,5,12,22,Matches
353,Emerson Palmieri\Emerson-Palmieri,it ITA,DF,Chelsea,24,1994,11.3,850,718,132,11,2,146,15,54,21,8,3,2,556,150,144,662,43,31,100,1,704,2,9,9,20,Matches
354,Sokratis Papastathopoulos\Sokratis-Papastathopoulos,gr GRE,DF,Arsenal,31,1988,18.8,973,932,41,31,0,150,42,1,0,0,0,0,748,103,122,34,893,17,10,2,873,2,10,5,7,Matches
355,Troy Parrott\Troy-Parrott,ie IRL,MF,Tottenham,17,2002,0.1,5,4,1,0,0,2,0,0,0,0,0,0,3,2,0,2,2,0,1,0,5,0,0,0,0,Matches
356,Rui Patrício\Rui-Patricio,pt POR,GK,Wolves,31,1988,37.0,841,493,348,73,0,52,34,0,0,0,0,0,218,58,565,463,174,3,0,123,540,3,29,4,2,Matches
357,Pedro\Pedro,es ESP,FW,Chelsea,32,1987,7.3,329,326,3,1,3,89,9,21,1,0,1,0,221,61,47,101,210,13,1,3,257,0,5,6,12,Matches
358,João Pedro\Joao-Pedro,br BRA,FW,Watford,17,2001,0.2,11,11,0,0,0,4,0,1,0,0,0,0,9,1,1,2,8,0,0,0,8,0,0,0,1,Matches
359,Nicolas Pépé\Nicolas-Pepe,ci CIV,FW,Arsenal,24,1995,21.5,777,698,79,11,3,174,30,105,61,24,19,8,554,81,142,659,77,20,7,3,592,1,14,11,36,Matches
360,Andreas Pereira\Andreas-Pereira,br BRA,MFFW,Manchester Utd,23,1996,16.5,770,692,78,23,1,157,30,62,37,14,12,3,518,125,127,89,634,23,9,3,566,4,11,22,27,Matches
361,Ricardo Pereira\Ricardo-Pereira,pt POR,DF,Leicester City,25,1993,28.0,1875,1553,322,17,3,335,20,57,0,0,0,0,1095,399,381,195,1312,41,305,4,1513,3,18,46,67,Matches
362,Roberto Pereyra\Roberto-Pereyra,ar ARG,FWMF,Watford,28,1991,17.3,611,574,37,4,4,116,14,26,19,6,6,1,380,135,96,84,470,33,13,6,502,1,9,15,17,Matches
363,Ayoze Pérez\Ayoze-Perez,es ESP,MFFW,Leicester City,26,1993,21.9,765,745,20,5,8,198,9,29,0,0,0,0,531,155,79,70,642,18,6,13,609,2,12,13,41,Matches
364,Jordan Pickford\Jordan-Pickford,eng ENG,GK,Everton,25,1994,37.0,1337,925,412,144,1,131,67,0,0,0,0,0,514,72,751,844,232,0,0,170,862,5,59,5,1,Matches
365,Brandon Pierrick\Brandon-Pierrick,eng ENG,DFFW,Crystal Palace,17,2001,0.2,9,9,0,0,0,4,0,2,0,0,0,0,6,3,0,0,9,0,0,0,5,0,0,0,3,Matches
366,Erik Pieters\Erik-Pieters,nl NED,DFMF,Burnley,30,1988,19.9,871,694,177,10,1,179,19,36,1,1,0,0,427,182,262,586,54,41,166,4,643,4,15,14,33,Matches
367,Daniel Podence\Daniel-Podence,pt POR,FWMF,Wolves,23,1995,2.9,96,93,3,0,1,18,0,4,2,0,1,0,70,11,15,10,83,3,0,0,68,1,3,2,3,Matches
368,Paul Pogba\Paul-Pogba,fr FRA,MF,Manchester Utd,26,1993,11.4,887,863,24,23,6,199,52,6,0,0,0,0,632,123,132,99,745,20,1,5,756,2,10,12,21,Matches
369,Nick Pope\Nick-Pope,eng ENG,GK,Burnley,27,1992,37.0,1152,704,448,150,1,104,29,0,1,1,0,0,209,68,875,58,820,2,1,161,519,8,62,5,4,Matches
370,Dennis Praet\Dennis-Praet,be BEL,MF,Leicester City,25,1994,12.4,532,525,7,3,2,106,10,20,0,0,0,0,353,94,85,38,445,39,3,3,439,1,7,6,18,Matches
371,Sebastian Prödl\Sebastian-Prodl,at AUT,DF,Watford,32,1987,0.6,10,10,0,0,0,2,0,0,0,0,0,0,3,2,5,1,6,1,0,0,6,0,1,0,0,Matches
372,Davy Pröpper\Davy-Propper,nl NED,MF,Brighton,27,1991,31.2,1777,1752,25,18,6,322,34,37,0,0,0,0,1289,272,216,146,1542,64,4,7,1477,6,36,40,47,Matches
373,Teemu Pukki\Teemu-Pukki,fi FIN,FW,Norwich City,29,1990,31.2,512,448,64,0,3,137,3,9,0,0,0,0,373,99,40,94,371,26,2,16,415,0,4,8,24,Matches
374,Christian Pulisic\Christian-Pulisic,us USA,FW,Chelsea,20,1998,17.9,659,649,10,4,3,203,15,34,4,3,0,0,473,96,90,131,491,25,2,2,518,2,9,8,32,Matches
375,Ignacio Pussetto\Ignacio-Pussetto,ar ARG,FWDF,Watford,23,1995,0.8,31,27,4,1,0,5,1,4,0,0,0,0,9,9,13,4,18,5,3,0,18,0,1,1,0,Matches
376,Domingos Quina\Domingos-Quina,pt POR,MF,Watford,19,1999,0.2,9,9,0,0,0,0,0,0,0,0,0,0,8,1,0,0,9,0,0,0,9,0,0,0,0,Matches
377,Aaron Ramsdale\Aaron-Ramsdale,eng ENG,GK,Bournemouth,21,1998,36.0,1103,687,416,130,1,107,33,1,0,0,0,0,420,51,632,58,793,1,0,184,639,4,46,3,5,Matches
378,Darren Randolph\Darren-Randolph,ie IRL,GK,West Ham,32,1987,2.0,40,22,18,4,0,1,0,0,0,0,0,0,4,1,35,0,30,0,0,3,22,1,0,0,0,Matches
379,Marcus Rashford\Marcus-Rashford,eng ENG,FW,Manchester Utd,21,1997,27.4,920,893,27,2,7,159,23,32,9,5,1,2,691,114,115,84,773,26,8,13,706,3,17,26,41,Matches
380,Nathan Redmond\Nathan-Redmond,eng ENG,MFFW,Southampton,25,1994,29.7,1006,989,17,1,4,291,33,39,0,0,0,0,662,183,161,77,876,32,2,2,740,5,23,28,45,Matches
381,Pepe Reina\Pepe-Reina,es ESP,GK,Aston Villa,36,1982,11.0,367,238,129,44,0,47,14,0,0,0,0,0,127,27,213,31,266,0,0,45,251,3,11,1,0,Matches
382,Declan Rice\Declan-Rice,eng ENG,MF,West Ham,20,1999,36.0,1605,1573,32,28,2,312,77,26,0,0,0,0,1104,224,277,285,1196,83,4,2,1376,3,33,21,25,Matches
383,Richarlison\Richarlison,br BRA,FW,Everton,22,1997,33.1,786,763,23,2,4,253,11,55,2,0,1,0,473,191,122,180,512,42,7,6,513,2,28,22,74,Matches
384,Diego Rico\Diego-Rico,es ESP,DF,Bournemouth,26,1993,24.9,1427,1065,362,56,4,202,37,160,67,36,20,6,625,357,445,1016,68,83,239,2,972,5,39,35,62,Matches
385,Jaïro Riedewald\Jairo-Riedewald,nl NED,DFMF,Crystal Palace,22,1996,8.3,387,311,76,11,0,55,6,5,0,0,0,0,218,69,100,269,27,22,65,0,290,1,7,11,3,Matches
386,Matt Ritchie\Matt-Ritchie,sco SCO,DFMF,Newcastle Utd,29,1989,13.6,642,499,143,26,0,128,46,97,56,22,24,3,323,135,184,440,105,22,61,4,445,3,9,9,29,Matches
387,Roberto\Roberto,es ESP,GK,West Ham,33,1986,7.6,232,155,77,36,0,14,2,0,0,0,0,0,53,13,166,7,181,0,0,26,113,1,4,0,0,Matches
388,Patrick Roberts\Patrick-Roberts,eng ENG,MFFW,Norwich City,22,1997,0.3,10,9,1,0,0,1,1,0,0,0,0,0,7,2,1,9,1,0,0,0,7,0,0,1,0,Matches
389,Andrew Robertson\Andrew-Robertson,sco SCO,DF,Liverpool,25,1994,32.6,2708,2348,360,44,5,308,81,191,37,7,21,1,1688,491,529,2153,170,89,279,2,2189,4,41,35,74,Matches
390,Callum Robinson\Callum-Robinson,ie IRL,FW,Sheffield Utd,24,1995,7.5,155,146,9,0,1,38,9,15,0,0,0,0,105,26,24,31,114,4,1,2,117,0,5,3,7,Matches
391,Jack Robinson\Jack-Robinson,eng ENG,DF,Sheffield Utd,25,1993,4.6,228,203,25,7,1,18,9,5,0,0,0,0,148,18,62,162,29,13,18,1,176,0,8,1,5,Matches
392,Rodri\Rodri,es ESP,MF,Manchester City,23,1996,27.1,2490,2459,31,29,0,477,100,8,0,0,0,0,1942,269,279,331,2020,84,2,12,2319,1,21,17,19,Matches
393,Jay Rodriguez\Jay-Rodriguez,eng ENG,FW,Burnley,30,1989,21.5,484,471,13,2,1,148,9,12,0,0,0,0,239,151,94,20,347,44,0,18,342,0,6,10,24,Matches
394,Jack Rodwell\Jack-Rodwell,eng ENG,MF,Sheffield Utd,28,1991,0.2,2,2,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,2,0,0,0,0,Matches
395,Marcos Rojo\Marcos-Rojo,ar ARG,DF,Manchester Utd,29,1990,1.4,55,45,10,2,0,6,2,3,0,0,0,0,25,12,18,39,5,1,8,0,37,0,3,0,0,Matches
396,Oriol Romeu\Oriol-Romeu,es ESP,MF,Southampton,27,1991,19.7,938,921,17,16,3,203,18,6,0,0,0,0,600,153,185,180,652,71,1,7,775,1,11,13,11,Matches
397,Danny Rose\Danny-Rose,eng ENG,DF,Newcastle Utd,29,1990,8.8,399,340,59,13,0,43,8,7,0,0,0,0,237,80,82,286,47,15,46,0,310,2,6,5,13,Matches
398,Danny Rose\Danny-Rose,eng ENG,DF,Tottenham,29,1990,9.9,572,480,92,17,0,69,5,39,1,0,1,0,353,91,128,412,67,13,74,0,435,3,1,15,22,Matches
399,Antonio Rüdiger\Antonio-Rudiger,de GER,DF,Chelsea,26,1993,17.0,1317,1289,28,21,0,172,57,7,0,0,0,0,959,148,210,231,1002,44,7,5,1164,4,23,5,13,Matches
400,Lukas Rupp\Lukas-Rupp,de GER,FWMF,Norwich City,28,1991,6.7,231,224,7,2,2,54,2,2,0,0,0,0,138,55,38,43,173,8,3,0,171,0,3,8,13,Matches
401,Mathew Ryan\Mathew-Ryan,au AUS,GK,Brighton,27,1992,37.0,1425,1107,318,57,0,218,47,0,0,0,0,0,789,97,539,170,968,3,0,229,1145,7,47,5,5,Matches
402,Allan Saint-Maximin\Allan-Saint-Maximin,fr FRA,MFFW,Newcastle Utd,22,1997,20.2,484,476,8,1,3,120,19,43,0,0,0,0,334,84,66,59,403,8,6,2,351,3,8,12,28,Matches
403,Romain Saïss\Romain-Saiss,ma MAR,DF,Wolves,29,1990,29.1,1513,1466,47,37,1,186,61,9,0,0,0,0,937,220,356,1212,133,94,10,5,1230,4,30,18,30,Matches
404,Bukayo Saka\Bukayo-Saka,eng ENG,DFFW,Arsenal,17,2001,19.5,844,718,126,13,2,176,19,67,11,3,4,3,529,178,137,575,144,16,102,0,659,4,20,20,37,Matches
