,,,,,,,,SCA,SCA,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,GCA,GCA,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,
Rk,Player,Nation,Pos,Squad,Age,Born,90s,SCA,SCA90,PassLive,PassDead,Drib,Sh,Fld,GCA,GCA90,PassLive,PassDead,Drib,Sh,Fld,OG,Matches
58,Sofiane Boufal\Sofiane-Boufal,ma MAR,MFFW,Southampton,25,1993,8.5,37,4.36,22,0,8,1,6,3,0.35,2,0,1,0,0,0,Matches
59,Jarrod Bowen\Jarrod-Bowen,eng ENG,FWMF,West Ham,22,1996,8.7,21,2.41,10,5,2,2,2,5,0.57,3,2,0,0,0,0,Matches
60,Robbie Brady\Robbie-Brady,ie IRL,MF,Burnley,27,1992,4.9,13,2.67,9,2,0,1,1,3,0.62,3,0,0,0,0,0,Matches
61,Jarrad Branthwaite\Jarrad-Branthwaite,eng ENG,DF,Everton,17,2002,2.3,0,0.00,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
62,Claudio Bravo\Claudio-Bravo,cl CHI,GK,Manchester City,36,1983,3.9,0,0.00,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
63,Armando Broja\Armando-Broja,al ALB,FW,Chelsea,17,2001,0.1,0,0.00,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
64,David Brooks\David-Brooks,wal WAL,MF,Bournemouth,22,1997,4.9,6,1.22,5,1,0,0,0,0,0.00,0,0,0,0,0,0,Matches
65,Josh Brownhill\Josh-Brownhill,eng ENG,MF,Burnley,23,1995,7.9,11,1.38,10,0,1,0,0,1,0.13,1,0,0,0,0,0,Matches
66,Emi Buendía\Emi-Buendia,ar ARG,FWMF,Norwich City,22,1996,27.4,135,4.93,83,30,10,3,9,7,0.26,5,1,0,1,0,0,Matches
67,Dan Burn\Dan-Burn,eng ENG,DF,Brighton,27,1992,31.0,34,1.10,29,3,1,1,0,2,0.06,2,0,0,0,0,0,Matches
68,Sam Byram\Sam-Byram,eng ENG,DF,Norwich City,25,1993,14.4,19,1.32,14,0,1,3,1,0,0.00,0,0,0,0,0,0,Matches
69,Willy Caballero\Willy-Caballero,ar ARG,GK,Chelsea,37,1981,4.0,0,0.00,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
70,Gary Cahill\Gary-Cahill,eng ENG,DF,Crystal Palace,33,1985,24.1,8,0.33,5,1,0,2,0,1,0.04,1,0,0,0,0,0,Matches
71,Dominic Calvert-Lewin\Dominic-Calvert-Lewin,eng ENG,FW,Everton,22,1997,28.9,53,1.83,33,0,2,5,12,3,0.10,2,0,0,0,0,1,Matches
72,Víctor Camarasa\Victor-Camarasa,es ESP,MF,Crystal Palace,25,1994,0.1,1,15.00,1,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
73,João Cancelo\Joao-Cancelo,pt POR,DF,Manchester City,25,1994,12.4,40,3.22,30,1,5,2,2,2,0.16,1,0,0,0,1,0,Matches
