,,,,,,,,SCA,SCA,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,GCA,GCA,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,
Rk,Player,Nation,Pos,Squad,Age,Born,90s,SCA,SCA90,PassLive,PassDead,Drib,Sh,Fld,GCA,GCA90,PassLive,PassDead,Drib,Sh,Fld,OG,Matches
321,Aaron Mooy\Aaron-Mooy,au AUS,MFFW,Brighton,28,1990,23.0,69,3.00,50,12,3,2,2,7,0.30,4,1,2,0,0,0,Matches
322,Wesley Moraes\Wesley-Moraes,br BRA,FW,Aston Villa,22,1996,19.8,26,1.31,22,0,0,3,1,3,0.15,3,0,0,0,0,0,Matches
323,Wes Morgan\Wes-Morgan,jm JAM,DF,Leicester City,35,1984,3.8,6,1.56,4,0,1,1,0,0,0.00,0,0,0,0,0,0,Matches
324,Ravel Morrison\Ravel-Morrison,eng ENG,MF,Sheffield Utd,26,1993,0.1,1,6.92,1,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
325,Mason Mount\Mason-Mount,eng ENG,MFFW,Chelsea,20,1999,30.3,111,3.67,66,28,3,5,9,15,0.50,8,4,1,0,2,0,Matches
326,Lucas Moura\Lucas-Moura,br BRA,FWMF,Tottenham,26,1992,23.9,84,3.51,59,0,12,3,10,8,0.33,5,0,3,0,0,0,Matches
327,Lys Mousset\Lys-Mousset,fr FRA,FW,Sheffield Utd,23,1996,13.8,26,1.89,15,0,8,1,2,5,0.36,5,0,0,0,0,0,Matches
328,João Moutinho\Joao-Moutinho,pt POR,MF,Wolves,32,1986,34.2,113,3.31,60,52,1,0,0,11,0.32,6,5,0,0,0,0,Matches
329,Glenn Murray\Glenn-Murray,eng ENG,FW,Brighton,35,1983,8.8,12,1.36,7,0,1,3,1,1,0.11,1,0,0,0,0,0,Matches
330,Shkodran Mustafi\Shkodran-Mustafi,de GER,DF,Arsenal,27,1992,13.4,3,0.22,2,0,0,1,0,1,0.07,0,0,0,1,0,0,Matches
331,Yoshinori Mutō\Yoshinori-Muto,jp JPN,FWMF,Newcastle Utd,27,1992,2.4,3,1.27,3,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
332,Georges-Kévin N'Koudou\Georges-Kevin-NKoudou,fr FRA,FW,Tottenham,24,1995,0.0,0,0.00,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
333,Marvelous Nakamba\Marvelous-Nakamba,zw ZIM,MF,Aston Villa,25,1994,20.2,18,0.89,18,0,0,0,0,1,0.05,1,0,0,0,0,0,Matches
334,Wilfred Ndidi\Wilfred-Ndidi,ng NGA,MF,Leicester City,22,1996,28.7,35,1.22,32,0,1,1,1,4,0.14,4,0,0,0,0,0,Matches
335,Tanguy Ndombele\Tanguy-Ndombele,fr FRA,MF,Tottenham,22,1996,11.2,28,2.50,25,1,0,2,0,2,0.18,2,0,0,0,0,0,Matches
336,Reiss Nelson\Reiss-Nelson,eng ENG,FW,Arsenal,19,1999,6.8,18,2.65,11,4,1,2,0,1,0.15,0,0,0,1,0,0,Matches
337,Pedro Neto\Pedro-Neto,pt POR,FWMF,Wolves,19,2000,9.9,32,3.22,19,3,6,0,4,7,0.70,4,1,1,0,1,0,Matches
338,Rúben Neves\Ruben-Neves,pt POR,MF,Wolves,22,1997,33.3,58,1.74,49,1,3,4,1,3,0.09,2,0,0,1,0,0,Matches
339,Jeremy Ngakia\Jeremy-Ngakia,eng ENG,DF,West Ham,18,2000,4.9,2,0.41,1,0,1,0,0,0,0.00,0,0,0,0,0,0,Matches
340,Oumar Niasse\Oumar-Niasse,sn SEN,FW,Everton,29,1990,0.2,0,0.00,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
341,Eddie Nketiah\Eddie-Nketiah,eng ENG,FW,Arsenal,20,1999,6.7,7,1.05,4,0,1,0,2,0,0.00,0,0,0,0,0,0,Matches
342,Mark Noble\Mark-Noble,eng ENG,MF,West Ham,32,1987,27.8,62,2.23,46,8,2,0,6,8,0.29,4,1,0,0,3,0,Matches
343,Oliver Norwood\Oliver-Norwood,nir NIR,MF,Sheffield Utd,28,1991,34.2,79,2.31,43,30,0,3,1,6,0.18,2,2,0,0,0,2,Matches
344,Ørjan Nyland\Orjan-Nyland,no NOR,GK,Aston Villa,28,1990,6.0,1,0.17,1,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
345,Jack O'Connell\Jack-OConnell,eng ENG,DF,Sheffield Utd,25,1994,32.4,23,0.71,21,0,0,2,0,2,0.06,2,0,0,0,0,0,Matches
346,Michael Obafemi\Michael-Obafemi,ie IRL,FW,Southampton,19,2000,7.4,18,2.44,13,0,3,2,0,2,0.27,2,0,0,0,0,0,Matches
347,Angelo Ogbonna\Angelo-Ogbonna,it ITA,DF,West Ham,31,1988,29.0,9,0.31,9,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
348,Divock Origi\Divock-Origi,be BEL,FW,Liverpool,24,1995,7.2,21,2.91,10,0,6,2,2,4,0.55,0,0,1,1,1,1,Matches
349,Ben Osborn\Ben-Osborn,eng ENG,MFDF,Sheffield Utd,24,1994,6.6,13,1.97,11,0,0,1,1,4,0.61,3,0,0,1,0,0,Matches
350,Nicolás Otamendi\Nicolas-Otamendi,ar ARG,DF,Manchester City,31,1988,19.1,8,0.42,6,0,0,2,0,1,0.05,0,0,0,1,0,0,Matches
351,Alex Oxlade-Chamberlain\Alex-Oxlade-Chamberlain,eng ENG,MFFW,Liverpool,25,1993,15.7,39,2.49,30,0,2,3,4,2,0.13,0,0,1,0,1,0,Matches
352,Mesut Özil\Mesut-Ozil,de GER,MF,Arsenal,30,1988,16.0,63,3.94,42,17,2,0,2,7,0.44,6,1,0,0,0,0,Matches
353,Emerson Palmieri\Emerson-Palmieri,it ITA,DF,Chelsea,24,1994,11.3,28,2.47,20,7,1,0,0,0,0.00,0,0,0,0,0,0,Matches
354,Sokratis Papastathopoulos\Sokratis-Papastathopoulos,gr GRE,DF,Arsenal,31,1988,18.8,4,0.21,3,0,0,1,0,0,0.00,0,0,0,0,0,0,Matches
355,Troy Parrott\Troy-Parrott,ie IRL,MF,Tottenham,17,2002,0.1,0,0.00,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
356,Rui Patrício\Rui-Patricio,pt POR,GK,Wolves,31,1988,37.0,4,0.11,4,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
357,Pedro\Pedro,es ESP,FW,Chelsea,32,1987,7.3,34,4.67,23,1,4,4,2,4,0.55,2,0,1,1,0,0,Matches
358,João Pedro\Joao-Pedro,br BRA,FW,Watford,17,2001,0.2,0,0.00,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
359,Nicolas Pépé\Nicolas-Pepe,ci CIV,FW,Arsenal,24,1995,21.5,61,2.83,35,12,8,3,3,8,0.37,7,1,0,0,0,0,Matches
360,Andreas Pereira\Andreas-Pereira,br BRA,MFFW,Manchester Utd,23,1996,16.5,57,3.46,44,6,3,2,2,7,0.42,6,1,0,0,0,0,Matches
361,Ricardo Pereira\Ricardo-Pereira,pt POR,DF,Leicester City,25,1993,28.0,60,2.14,50,2,5,0,3,9,0.32,8,0,0,0,1,0,Matches
362,Roberto Pereyra\Roberto-Pereyra,ar ARG,FWMF,Watford,28,1991,17.3,40,2.31,26,5,4,1,4,1,0.06,0,0,0,0,1,0,Matches
363,Ayoze Pérez\Ayoze-Perez,es ESP,MFFW,Leicester City,26,1993,21.9,68,3.11,53,1,7,2,5,11,0.50,8,1,1,0,1,0,Matches
364,Jordan Pickford\Jordan-Pickford,eng ENG,GK,Everton,25,1994,37.0,6,0.16,3,3,0,0,0,0,0.00,0,0,0,0,0,0,Matches
365,Brandon Pierrick\Brandon-Pierrick,eng ENG,DFFW,Crystal Palace,17,2001,0.2,2,12.00,1,0,1,0,0,0,0.00,0,0,0,0,0,0,Matches
366,Erik Pieters\Erik-Pieters,nl NED,DFMF,Burnley,30,1988,19.9,21,1.06,20,0,0,1,0,3,0.15,3,0,0,0,0,0,Matches
367,Daniel Podence\Daniel-Podence,pt POR,FWMF,Wolves,23,1995,2.9,11,3.85,7,0,1,1,2,2,0.70,0,0,1,0,1,0,Matches
368,Paul Pogba\Paul-Pogba,fr FRA,MF,Manchester Utd,26,1993,11.4,53,4.66,45,0,4,0,4,7,0.62,5,0,1,0,1,0,Matches
369,Nick Pope\Nick-Pope,eng ENG,GK,Burnley,27,1992,37.0,8,0.22,5,3,0,0,0,0,0.00,0,0,0,0,0,0,Matches
370,Dennis Praet\Dennis-Praet,be BEL,MF,Leicester City,25,1994,12.4,20,1.61,13,1,1,3,1,4,0.32,3,0,0,0,0,1,Matches
371,Sebastian Prödl\Sebastian-Prodl,at AUT,DF,Watford,32,1987,0.6,0,0.00,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
372,Davy Pröpper\Davy-Propper,nl NED,MF,Brighton,27,1991,31.2,62,1.99,56,0,1,3,2,4,0.13,4,0,0,0,0,0,Matches
373,Teemu Pukki\Teemu-Pukki,fi FIN,FW,Norwich City,29,1990,31.2,52,1.67,41,0,5,3,2,5,0.16,3,0,1,0,0,1,Matches
374,Christian Pulisic\Christian-Pulisic,us USA,FW,Chelsea,20,1998,17.9,74,4.13,48,0,15,4,7,11,0.61,6,0,1,1,3,0,Matches
375,Ignacio Pussetto\Ignacio-Pussetto,ar ARG,FWDF,Watford,23,1995,0.8,0,0.00,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
376,Domingos Quina\Domingos-Quina,pt POR,MF,Watford,19,1999,0.2,0,0.00,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
377,Aaron Ramsdale\Aaron-Ramsdale,eng ENG,GK,Bournemouth,21,1998,36.0,2,0.06,0,2,0,0,0,0,0.00,0,0,0,0,0,0,Matches
378,Darren Randolph\Darren-Randolph,ie IRL,GK,West Ham,32,1987,2.0,0,0.00,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
379,Marcus Rashford\Marcus-Rashford,eng ENG,FW,Manchester Utd,21,1997,27.4,91,3.32,63,2,11,4,10,20,0.73,11,0,4,0,4,1,Matches
380,Nathan Redmond\Nathan-Redmond,eng ENG,MFFW,Southampton,25,1994,29.7,89,3.00,64,0,12,4,9,5,0.17,4,0,0,0,1,0,Matches
381,Pepe Reina\Pepe-Reina,es ESP,GK,Aston Villa,36,1982,11.0,2,0.18,2,0,0,0,0,1,0.09,1,0,0,0,0,0,Matches
382,Declan Rice\Declan-Rice,eng ENG,MF,West Ham,20,1999,36.0,41,1.14,38,0,2,1,0,5,0.14,4,0,0,1,0,0,Matches
383,Richarlison\Richarlison,br BRA,FW,Everton,22,1997,33.1,77,2.33,45,0,10,7,14,10,0.30,5,0,2,1,1,1,Matches
384,Diego Rico\Diego-Rico,es ESP,DF,Bournemouth,26,1993,24.9,48,1.93,21,26,0,0,0,6,0.24,4,1,0,0,0,1,Matches
385,Jaïro Riedewald\Jairo-Riedewald,nl NED,DFMF,Crystal Palace,22,1996,8.3,5,0.60,5,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
386,Matt Ritchie\Matt-Ritchie,sco SCO,DFMF,Newcastle Utd,29,1989,13.6,43,3.16,16,25,0,1,1,2,0.15,2,0,0,0,0,0,Matches
387,Roberto\Roberto,es ESP,GK,West Ham,33,1986,7.6,0,0.00,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
388,Patrick Roberts\Patrick-Roberts,eng ENG,MFFW,Norwich City,22,1997,0.3,1,3.46,0,0,0,0,1,0,0.00,0,0,0,0,0,0,Matches
389,Andrew Robertson\Andrew-Robertson,sco SCO,DF,Liverpool,25,1994,32.6,100,3.07,85,11,3,1,0,17,0.52,14,1,2,0,0,0,Matches
390,Callum Robinson\Callum-Robinson,ie IRL,FW,Sheffield Utd,24,1995,7.5,11,1.46,9,0,0,1,0,2,0.27,1,0,0,0,0,1,Matches
391,Jack Robinson\Jack-Robinson,eng ENG,DF,Sheffield Utd,25,1993,4.6,4,0.87,3,1,0,0,0,0,0.00,0,0,0,0,0,0,Matches
392,Rodri\Rodri,es ESP,MF,Manchester City,23,1996,27.1,61,2.25,54,0,2,2,3,3,0.11,2,0,0,1,0,0,Matches
393,Jay Rodriguez\Jay-Rodriguez,eng ENG,FW,Burnley,30,1989,21.5,31,1.44,21,0,3,4,3,5,0.23,4,0,0,1,0,0,Matches
394,Jack Rodwell\Jack-Rodwell,eng ENG,MF,Sheffield Utd,28,1991,0.2,0,0.00,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
395,Marcos Rojo\Marcos-Rojo,ar ARG,DF,Manchester Utd,29,1990,1.4,0,0.00,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
396,Oriol Romeu\Oriol-Romeu,es ESP,MF,Southampton,27,1991,19.7,29,1.47,25,1,1,1,1,0,0.00,0,0,0,0,0,0,Matches
397,Danny Rose\Danny-Rose,eng ENG,DF,Newcastle Utd,29,1990,8.8,7,0.80,6,1,0,0,0,1,0.11,0,1,0,0,0,0,Matches
398,Danny Rose\Danny-Rose,eng ENG,DF,Tottenham,29,1990,9.9,15,1.51,11,2,0,0,2,0,0.00,0,0,0,0,0,0,Matches
399,Antonio Rüdiger\Antonio-Rudiger,de GER,DF,Chelsea,26,1993,17.0,9,0.53,8,0,0,1,0,0,0.00,0,0,0,0,0,0,Matches
400,Lukas Rupp\Lukas-Rupp,de GER,FWMF,Norwich City,28,1991,6.7,12,1.79,10,1,0,1,0,0,0.00,0,0,0,0,0,0,Matches
401,Mathew Ryan\Mathew-Ryan,au AUS,GK,Brighton,27,1992,37.0,4,0.11,3,1,0,0,0,3,0.08,2,1,0,0,0,0,Matches
402,Allan Saint-Maximin\Allan-Saint-Maximin,fr FRA,MFFW,Newcastle Utd,22,1997,20.2,86,4.26,52,0,22,6,6,8,0.40,6,0,1,1,0,0,Matches
403,Romain Saïss\Romain-Saiss,ma MAR,DF,Wolves,29,1990,29.1,25,0.86,19,1,1,3,0,2,0.07,0,0,0,1,0,1,Matches
404,Bukayo Saka\Bukayo-Saka,eng ENG,DFFW,Arsenal,17,2001,19.5,45,2.31,32,2,7,2,2,7,0.36,6,0,1,0,0,0,Matches
405,Mamadou Sakho\Mamadou-Sakho,fr FRA,DF,Crystal Palace,29,1990,10.3,1,0.10,1,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
406,Mohamed Salah\Mohamed-Salah,eg EGY,FW,Liverpool,27,1992,30.8,115,3.74,74,4,22,10,5,15,0.49,7,2,4,1,1,0,Matches
407,Mbwana Samatta\Mbwana-Samatta,tz TAN,FW,Aston Villa,26,1992,9.7,19,1.95,13,0,1,0,4,1,0.10,0,0,0,0,0,1,Matches
408,Carlos Sánchez\Carlos-Sanchez,co COL,MFDF,West Ham,33,1986,1.3,1,0.77,1,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
409,Davinson Sánchez\Davinson-Sanchez,co COL,DF,Tottenham,23,1996,27.0,6,0.22,5,0,0,1,0,0,0.00,0,0,0,0,0,0,Matches
410,Leroy Sané\Leroy-Sane,de GER,FW,Manchester City,23,1996,0.1,1,7.50,1,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
411,Ismaila Sarr\Ismaila-Sarr,sn SEN,FWMF,Watford,21,1998,21.5,63,2.93,45,1,3,5,9,7,0.33,4,0,0,0,3,0,Matches
412,Fabian Schär\Fabian-Schar,ch SUI,DFMF,Newcastle Utd,27,1991,18.6,16,0.86,13,0,1,2,0,3,0.16,2,0,0,1,0,0,Matches
413,Ezequiel Schelotto\Ezequiel-Schelotto,it ITA,DF,Brighton,30,1989,4.0,3,0.75,1,0,0,1,1,1,0.25,0,0,0,0,1,0,Matches
414,Jeffrey Schlupp\Jeffrey-Schlupp,gh GHA,MFDF,Crystal Palace,26,1992,10.6,13,1.23,9,0,1,1,2,2,0.19,2,0,0,0,0,0,Matches
415,Kasper Schmeichel\Kasper-Schmeichel,dk DEN,GK,Leicester City,32,1986,37.0,4,0.11,1,3,0,0,0,0,0.00,0,0,0,0,0,0,Matches
416,Morgan Schneiderlin\Morgan-Schneiderlin,fr FRA,MF,Everton,29,1989,11.1,17,1.53,15,0,1,1,0,1,0.09,1,0,0,0,0,0,Matches
417,Ryan Sessegnon\Ryan-Sessegnon,eng ENG,DF,Tottenham,19,2000,3.8,4,1.05,4,0,0,0,0,1,0.26,1,0,0,0,0,0,Matches
418,Xherdan Shaqiri\Xherdan-Shaqiri,ch SUI,FW,Liverpool,27,1991,2.1,4,1.95,2,2,0,0,0,0,0.00,0,0,0,0,0,0,Matches
419,Billy Sharp\Billy-Sharp,eng ENG,FW,Sheffield Utd,33,1986,10.9,24,2.20,16,0,2,2,4,2,0.18,1,0,0,1,0,0,Matches
420,Luke Shaw\Luke-Shaw,eng ENG,DF,Manchester Utd,24,1995,19.3,42,2.18,34,4,1,1,2,1,0.05,1,0,0,0,0,0,Matches
421,Jonjo Shelvey\Jonjo-Shelvey,eng ENG,MF,Newcastle Utd,27,1992,22.5,57,2.53,41,12,3,1,0,5,0.22,3,1,1,0,0,0,Matches
422,Djibril Sidibé\Djibril-Sidibe,fr FRA,DF,Everton,27,1992,19.9,34,1.71,29,3,0,0,2,4,0.20,4,0,0,0,0,0,Matches
423,Gylfi Sigurðsson\Gylfi-Sigurdsson,is ISL,MF,Everton,29,1989,27.4,78,2.84,30,31,4,11,2,8,0.29,4,2,1,1,0,0,Matches
424,Bernardo Silva\Bernardo-Silva,pt POR,FWMF,Manchester City,24,1994,22.5,94,4.18,81,2,6,4,1,12,0.53,9,0,2,1,0,0,Matches
425,David Silva\David-Silva,es ESP,MF,Manchester City,33,1986,19.4,100,5.17,83,1,7,4,5,15,0.77,11,1,1,1,1,0,Matches
426,Jack Simpson\Jack-Simpson,eng ENG,DF,Bournemouth,22,1997,2.7,0,0.00,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
427,Moussa Sissoko\Moussa-Sissoko,fr FRA,MF,Tottenham,29,1989,26.4,27,1.02,26,0,1,0,0,2,0.08,2,0,0,0,0,0,Matches
428,Oliver Skipp\Oliver-Skipp,eng ENG,MFDF,Tottenham,18,2000,0.7,0,0.00,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
429,William Smallbone\William-Smallbone,ie IRL,MF,Southampton,19,2000,3.7,3,0.81,3,0,0,0,0,1,0.27,1,0,0,0,0,0,Matches
430,Adam Smith\Adam-Smith,eng ENG,DF,Bournemouth,28,1991,21.8,18,0.82,16,0,1,0,1,1,0.05,1,0,0,0,0,0,Matches
431,Emile Smith-Rowe\Emile-Smith-Rowe,eng ENG,MF,Arsenal,19,2000,1.1,0,0.00,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
432,Robert Snodgrass\Robert-Snodgrass,sco SCO,MFFW,West Ham,31,1987,16.8,51,3.04,19,24,3,1,4,7,0.42,3,4,0,0,0,0,Matches
433,Cédric Soares\Cedric-Soares,pt POR,DF,Southampton,27,1991,14.5,23,1.58,21,2,0,0,0,2,0.14,1,1,0,0,0,0,Matches
434,Cédric Soares\Cedric-Soares,pt POR,DF,Arsenal,27,1991,2.8,3,1.08,2,1,0,0,0,1,0.36,1,0,0,0,0,0,Matches
435,Dominic Solanke\Dominic-Solanke,eng ENG,FWMF,Bournemouth,21,1997,17.6,41,2.32,29,0,3,5,4,4,0.23,2,0,1,1,0,0,Matches
436,Tomáš Souček\Tomas-Soucek,cz CZE,MF,West Ham,24,1995,9.6,7,0.73,6,0,0,0,1,1,0.10,1,0,0,0,0,0,Matches
437,Çağlar Söyüncü\Caglar-Soyuncu,tr TUR,DF,Leicester City,23,1996,33.7,13,0.39,10,1,0,2,0,0,0.00,0,0,0,0,0,0,Matches
438,Dennis Srbeny\Dennis-Srbeny,de GER,MFFW,Norwich City,25,1994,0.5,0,0.00,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
439,Jack Stacey\Jack-Stacey,eng ENG,DF,Bournemouth,23,1996,17.2,16,0.93,14,0,2,0,0,2,0.12,2,0,0,0,0,0,Matches
440,Junior Stanislas\Junior-Stanislas,eng ENG,MFDF,Bournemouth,29,1989,7.6,22,2.89,11,7,2,2,0,3,0.39,0,0,1,2,0,0,Matches
441,Jed Steer\Jed-Steer,eng ENG,GK,Aston Villa,26,1992,0.1,0,0.00,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
442,Dale Stephens\Dale-Stephens,eng ENG,MF,Brighton,30,1989,27.1,38,1.40,36,0,0,2,0,3,0.11,3,0,0,0,0,0,Matches
443,Jack Stephens\Jack-Stephens,eng ENG,DF,Southampton,25,1994,26.2,15,0.57,13,1,1,0,0,3,0.11,3,0,0,0,0,0,Matches
444,Raheem Sterling\Raheem-Sterling,eng ENG,FW,Manchester City,24,1994,28.5,111,3.90,78,1,10,11,11,11,0.39,5,0,0,3,3,0,Matches
445,Enda Stevens\Enda-Stevens,ie IRL,DF,Sheffield Utd,29,1990,36.2,66,1.82,53,6,4,3,0,8,0.22,7,0,1,0,0,0,Matches
446,Marco Stiepermann\Marco-Stiepermann,de GER,MF,Norwich City,28,1991,12.3,33,2.69,27,0,5,1,0,2,0.16,2,0,0,0,0,0,Matches
447,John Stones\John-Stones,eng ENG,DF,Manchester City,25,1994,12.5,11,0.88,11,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
448,Isaac Success\Isaac-Success,ng NGA,FWMF,Watford,23,1996,0.8,4,5.14,2,0,0,1,1,0,0.00,0,0,0,0,0,0,Matches
449,Ki Sung-yueng\Ki-Sung-yueng,kr KOR,MF,Newcastle Utd,30,1989,1.5,2,1.31,1,1,0,0,0,0,0.00,0,0,0,0,0,0,Matches
450,Andrew Surman\Andrew-Surman,eng ENG,MF,Bournemouth,32,1986,2.6,1,0.38,1,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
451,Sam Surridge\Sam-Surridge,eng ENG,FW,Bournemouth,21,1998,0.3,0,0.00,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
452,Japhet Tanganga\Japhet-Tanganga,eng ENG,DF,Tottenham,20,1999,5.8,2,0.34,2,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
453,Matt Targett\Matt-Targett,eng ENG,DF,Aston Villa,23,1995,24.5,52,2.13,44,6,0,1,1,4,0.16,3,0,0,1,0,0,Matches
454,James Tarkowski\James-Tarkowski,eng ENG,DF,Burnley,26,1992,37.0,24,0.65,20,0,0,4,0,6,0.16,4,0,0,2,0,0,Matches
455,Charlie Taylor\Charlie-Taylor,eng ENG,DF,Burnley,25,1993,21.6,21,0.97,19,0,0,0,2,1,0.05,1,0,0,0,0,0,Matches
456,Neil Taylor\Neil-Taylor,wal WAL,DF,Aston Villa,30,1989,12.1,10,0.82,10,0,0,0,0,2,0.16,2,0,0,0,0,0,Matches
457,Nathan Tella\Nathan-Tella,eng ENG,FW,Southampton,20,1999,0.0,1,30.00,0,0,0,0,1,0,0.00,0,0,0,0,0,0,Matches
458,Alexander Tettey\Alexander-Tettey,no NOR,MFDF,Norwich City,33,1986,26.0,18,0.69,16,0,0,2,0,1,0.04,1,0,0,0,0,0,Matches
459,Luke Thomas\Luke-Thomas,eng ENG,DF,Leicester City,,,2.0,11,5.50,11,0,0,0,0,1,0.50,1,0,0,0,0,0,Matches
460,Max Thompson\Max-Thompson,eng ENG,FW,Burnley,17,2002,0.0,0,0.00,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
461,Youri Tielemans\Youri-Tielemans,be BEL,MF,Leicester City,22,1997,30.6,89,2.91,77,4,1,2,5,9,0.29,9,0,0,0,0,0,Matches
462,Kieran Tierney\Kieran-Tierney,sco SCO,DF,Arsenal,22,1997,10.0,9,0.90,7,0,2,0,0,1,0.10,1,0,0,0,0,0,Matches
463,James Tomkins\James-Tomkins,eng ENG,DF,Crystal Palace,30,1989,17.6,5,0.28,4,0,0,0,1,1,0.06,1,0,0,0,0,0,Matches
464,Fikayo Tomori\Fikayo-Tomori,eng ENG,DF,Chelsea,21,1997,14.3,14,0.98,14,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
465,Lucas Torreira\Lucas-Torreira,uy URU,MF,Arsenal,23,1996,16.6,28,1.69,19,3,2,2,2,2,0.12,2,0,0,0,0,0,Matches
466,Cenk Tosun\Cenk-Tosun,tr TUR,FW,Crystal Palace,28,1991,2.0,2,1.02,0,0,1,1,0,0,0.00,0,0,0,0,0,0,Matches
467,Cenk Tosun\Cenk-Tosun,tr TUR,FW,Everton,28,1991,3.2,7,2.16,6,0,1,0,0,0,0.00,0,0,0,0,0,0,Matches
468,Andros Townsend\Andros-Townsend,eng ENG,MF,Crystal Palace,28,1991,13.4,19,1.42,15,0,0,2,2,2,0.15,2,0,0,0,0,0,Matches
469,Adama Traoré\Adama-Traore,es ESP,FWMF,Wolves,23,1996,28.4,96,3.38,66,0,18,0,12,14,0.49,11,0,1,0,2,0,Matches
470,Mark Travers\Mark-Travers,ie IRL,GK,Bournemouth,20,1999,1.0,0,0.00,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
471,Trézéguet\Trezeguet,eg EGY,FWMF,Aston Villa,24,1994,20.7,44,2.13,29,2,5,4,4,2,0.10,1,0,0,0,1,0,Matches
472,Leandro Trossard\Leandro-Trossard,be BEL,FWMF,Brighton,24,1994,22.3,78,3.49,55,9,7,3,3,9,0.40,4,2,1,1,0,1,Matches
473,Tom Trybull\Tom-Trybull,de GER,MF,Norwich City,26,1993,12.6,9,0.72,7,0,1,1,0,1,0.08,1,0,0,0,0,0,Matches
474,Axel Tuanzebe\Axel-Tuanzebe,eng ENG,DF,Manchester Utd,21,1997,2.1,2,0.95,1,0,0,0,1,0,0.00,0,0,0,0,0,0,Matches
475,Yan Valery\Yan-Valery,fr FRA,DF,Southampton,20,1999,8.7,7,0.81,5,1,1,0,0,0,0.00,0,0,0,0,0,0,Matches
476,Jesús Vallejo\Jesus-Vallejo,es ESP,DF,Wolves,22,1997,1.8,0,0.00,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
477,Jamie Vardy\Jamie-Vardy,eng ENG,FW,Leicester City,32,1987,32.7,61,1.87,39,0,11,6,4,12,0.37,6,0,2,1,2,1,Matches
478,Indiana Vassilev\Indiana-Vassilev,us USA,FWMF,Aston Villa,18,2001,0.6,1,1.76,1,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
479,Jan Vertonghen\Jan-Vertonghen,be BEL,DF,Tottenham,32,1987,18.3,8,0.44,7,1,0,0,0,1,0.05,1,0,0,0,0,0,Matches
480,Jannik Vestergaard\Jannik-Vestergaard,dk DEN,DF,Southampton,26,1992,15.6,5,0.32,5,0,0,0,0,1,0.06,1,0,0,0,0,0,Matches
481,Rúben Vinagre\Ruben-Vinagre,pt POR,DF,Wolves,20,1999,6.9,9,1.31,6,1,2,0,0,0,0.00,0,0,0,0,0,0,Matches
482,Jake Vokins\Jake-Vokins,eng ENG,DF,Southampton,19,2000,1.0,1,1.00,1,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
483,Mario Vrančić\Mario-Vrancic,ba BIH,MF,Norwich City,30,1989,6.9,22,3.18,16,0,0,4,2,0,0.00,0,0,0,0,0,0,Matches
484,Matěj Vydra\Matej-Vydra,cz CZE,FW,Burnley,27,1992,9.0,21,2.34,13,0,4,1,3,3,0.33,1,0,2,0,0,0,Matches
485,Theo Walcott\Theo-Walcott,eng ENG,MFFW,Everton,30,1989,13.7,28,2.05,21,0,2,3,2,3,0.22,2,0,0,1,0,0,Matches
486,Kyle Walker\Kyle-Walker,eng ENG,DF,Manchester City,29,1990,25.6,45,1.76,42,0,2,0,1,5,0.20,5,0,0,0,0,0,Matches
