,,,,,,,,Total,Total,Total,Total,Total,Short,Short,Short,Medium,Medium,Medium,Long,Long,Long,,,,,,,,,
129,Ahmed Elmohamady\Ahmed-Elmohamady,eg EGY,DF,Aston Villa,31,1987,11.5,474,619,76.6,9100,3614,6,22,27.3,369,423,87.2,99,174,56.9,1,2.4,-1.4,18,41,21,16,75,Matches
130,Björn Engels\Bjorn-Engels,be BEL,DF,Aston Villa,24,1994,16.1,503,605,83.1,11925,3869,3,7,42.9,300,340,88.2,200,258,77.5,0,0.1,-0.1,1,46,1,1,38,Matches
131,Christian Eriksen\Christian-Eriksen,dk DEN,MFFW,Tottenham,27,1992,12.2,549,743,73.9,10139,2773,7,19,36.8,419,499,84.0,123,225,54.7,2,2.0,0.0,23,58,21,1,76,Matches
132,Jonny Evans\Jonny-Evans,nir NIR,DF,Leicester City,31,1988,36.6,2039,2314,88.1,46022,13393,6,14,42.9,1324,1425,92.9,709,875,81.0,1,0.6,+0.4,7,141,5,1,123,Matches
133,Łukasz Fabiański\Lukasz-Fabianski,pl POL,GK,West Ham,34,1985,21.5,339,612,55.4,15833,12516,1,3,33.3,66,67,98.5,272,542,50.2,0,0.0,0.0,0,7,0,0,0,Matches
134,Fabinho\Fabinho,br BRA,MF,Liverpool,25,1993,22.1,1288,1472,87.5,26186,5171,17,32,53.1,928,1016,91.3,343,424,80.9,3,1.8,+1.2,18,124,21,2,98,Matches
135,Ralf Fährmann\Ralf-Fahrmann,de GER,GK,Norwich City,30,1988,0.2,7,10,70.0,129,81,0,0,,5,5,100.0,2,5,40.0,0,0.0,0.0,0,0,0,0,0,Matches
136,Kiko Femenía\Kiko-Femenia,es ESP,DF,Watford,28,1991,24.4,944,1226,77.0,15398,6328,21,47,44.7,787,942,83.5,136,237,57.4,0,1.6,-1.6,18,54,26,16,152,Matches
137,Bruno Fernandes\Bruno-Fernandes,pt POR,MF,Manchester Utd,24,1994,11.2,515,726,70.9,10029,2784,2,25,8.0,391,481,81.3,122,220,55.5,7,2.4,+4.6,30,58,22,2,88,Matches
138,Gedson Fernandes\Gedson-Fernandes,pt POR,MFDF,Tottenham,20,1999,0.8,40,51,78.4,576,169,3,5,60.0,32,36,88.9,5,10,50.0,0,0.1,-0.1,2,1,3,1,8,Matches
139,Federico Fernández\Federico-Fernandez,ar ARG,DF,Newcastle Utd,30,1989,28.1,893,1163,76.8,19747,7917,13,37,35.1,588,680,86.5,292,446,65.5,2,0.3,+1.7,3,41,7,4,74,Matches
140,Fernandinho\Fernandinho,br BRA,DF,Manchester City,34,1985,26.1,1934,2137,90.5,42981,13845,12,28,42.9,1275,1367,93.3,647,742,87.2,1,0.6,+0.4,7,215,11,1,161,Matches
141,Roberto Firmino\Roberto-Firmino,br BRA,FW,Liverpool,27,1991,31.9,896,1125,79.6,13785,3438,38,96,39.6,740,886,83.5,118,143,82.5,7,5.7,+1.3,46,65,35,0,98,Matches
142,John Fleck\John-Fleck,sco SCO,MF,Sheffield Utd,27,1991,27.0,842,1142,73.7,15036,4921,31,77,40.3,652,759,85.9,159,306,52.0,2,3.3,-1.3,37,89,33,7,129,Matches
143,Phil Foden\Phil-Foden,eng ENG,FWMF,Manchester City,19,2000,9.5,354,411,86.1,5605,1088,9,17,52.9,298,330,90.3,47,64,73.4,2,1.7,+0.3,15,26,8,1,28,Matches
144,Pablo Fornals\Pablo-Fornals,es ESP,MFFW,West Ham,23,1996,22.4,630,826,76.3,10120,2797,28,69,40.6,511,600,85.2,91,157,58.0,5,2.2,+2.8,18,46,27,6,74,Matches
145,Ben Foster\Ben-Foster,eng ENG,GK,Watford,36,1983,37.0,512,1151,44.5,23694,19261,1,1,100.0,123,126,97.6,388,1024,37.9,0,0.0,0.0,0,29,2,0,3,Matches
146,Timothy Fosu-Mensah\Timothy-Fosu-Mensah,nl NED,DF,Manchester Utd,21,1998,1.0,49,54,90.7,875,226,2,2,100.0,37,42,88.1,10,10,100.0,0,0.1,-0.1,2,1,0,0,5,Matches
147,Dimitri Foulquier\Dimitri-Foulquier,fr FRA,MFDF,Watford,26,1993,0.7,10,13,76.9,172,63,1,2,50.0,6,6,100.0,3,5,60.0,0,0.0,0.0,1,1,0,0,2,Matches
148,Juan Foyth\Juan-Foyth,ar ARG,DF,Tottenham,21,1998,0.8,53,60,88.3,1027,341,0,0,,40,43,93.0,13,17,76.5,0,0.0,0.0,1,3,0,0,6,Matches
149,Simon Francis\Simon-Francis,eng ENG,DF,Bournemouth,34,1985,10.8,425,544,78.1,8941,3412,1,8,12.5,312,355,87.9,112,181,61.9,0,0.4,-0.4,4,26,5,4,36,Matches
150,Ryan Fraser\Ryan-Fraser,sco SCO,MFFW,Bournemouth,25,1994,23.0,648,950,68.2,11071,4285,16,54,29.6,537,650,82.6,95,246,38.6,4,4.0,0.0,43,55,41,7,142,Matches
151,Fred\Fred,br BRA,MF,Manchester Utd,26,1993,24.0,1463,1714,85.4,29437,7269,23,56,41.1,1045,1149,90.9,395,509,77.6,0,2.8,-2.8,37,155,15,3,150,Matches
152,Ryan Fredericks\Ryan-Fredericks,eng ENG,DF,West Ham,26,1992,23.9,746,1027,72.6,12117,5132,23,65,35.4,611,746,81.9,112,216,51.9,3,2.4,+0.6,25,42,25,15,103,Matches
153,Kieron Freeman\Kieron-Freeman,wal WAL,FW,Sheffield Utd,27,1992,0.1,2,2,100.0,28,6,0,0,,2,2,100.0,0,0,,0,0.0,0.0,0,0,0,0,0,Matches
154,Luke Freeman\Luke-Freeman,eng ENG,MF,Sheffield Utd,27,1992,4.1,110,150,73.3,1584,483,4,14,28.6,94,114,82.5,12,22,54.5,0,0.3,-0.3,3,7,4,3,15,Matches
155,Christian Fuchs\Christian-Fuchs,at AUT,DF,Leicester City,33,1986,8.6,510,630,81.0,9900,3725,6,17,35.3,397,435,91.3,107,178,60.1,0,0.1,-0.1,2,41,6,2,57,Matches
156,Eric García\Eric-Garcia,es ESP,DF,Manchester City,18,2001,8.3,556,584,95.2,11388,3005,3,7,42.9,395,411,96.1,158,166,95.2,0,0.1,-0.1,1,26,1,1,29,Matches
157,James Garner\James-Garner,eng ENG,MF,Manchester Utd,18,2001,0.1,15,15,100.0,253,44,0,0,,12,12,100.0,3,3,100.0,0,0.0,0.0,0,1,0,0,1,Matches
158,Dwight Gayle\Dwight-Gayle,eng ENG,FW,Newcastle Utd,28,1990,8.7,103,141,73.0,1603,218,7,11,63.6,80,103,77.7,16,27,59.3,2,0.9,+1.1,5,6,1,1,9,Matches
159,Paulo Gazzaniga\Paulo-Gazzaniga,ar ARG,GK,Tottenham,27,1992,17.9,319,516,61.8,9683,6264,0,0,,185,186,99.5,134,330,40.6,0,0.4,-0.4,1,6,0,0,0,Matches
160,Jean-Philippe Gbamin\Jean-Philippe-Gbamin,ci CIV,MF,Everton,23,1995,1.5,50,67,74.6,779,185,1,4,25.0,42,47,89.4,7,16,43.8,0,0.0,0.0,0,5,0,0,3,Matches
161,David de Gea\David-de-Gea,es ESP,GK,Manchester Utd,28,1990,36.0,685,885,77.4,17866,10470,0,4,0.0,426,429,99.3,259,452,57.3,0,0.0,0.0,0,5,0,0,0,Matches
162,Anwar El Ghazi\Anwar-El-Ghazi,nl NED,FWMF,Aston Villa,24,1995,22.8,402,615,65.4,6816,1948,15,56,26.8,313,407,76.9,74,152,48.7,4,2.8,+1.2,32,16,22,15,69,Matches
163,Morgan Gibbs-White\Morgan-Gibbs-White,eng ENG,MFFW,Wolves,19,2000,1.4,66,82,80.5,1160,293,0,1,0.0,55,63,87.3,11,18,61.1,0,0.1,-0.1,3,5,3,0,8,Matches
164,Billy Gilmour\Billy-Gilmour,sco SCO,MF,Chelsea,18,2001,2.2,151,169,89.3,2892,604,5,5,100.0,113,128,88.3,33,36,91.7,0,0.2,-0.2,4,6,0,0,8,Matches
165,Olivier Giroud\Olivier-Giroud,fr FRA,FW,Chelsea,32,1986,9.5,172,256,67.2,2081,269,10,24,41.7,156,216,72.2,6,16,37.5,0,1.1,-1.1,6,7,4,0,5,Matches
166,Ben Godfrey\Ben-Godfrey,eng ENG,DF,Norwich City,21,1998,28.4,1397,1581,88.4,29808,8561,11,28,39.3,968,1037,93.3,418,516,81.0,0,0.1,-0.1,3,76,2,0,62,Matches
167,André Gomes\Andre-Gomes,pt POR,MF,Everton,26,1993,15.2,623,749,83.2,14219,3629,7,19,36.8,410,455,90.1,206,275,74.9,1,0.8,+0.2,12,81,10,3,68,Matches
168,Angel Gomes\Angel-Gomes,eng ENG,MF,Manchester Utd,18,2000,0.2,11,13,84.6,235,83,1,1,100.0,7,9,77.8,3,3,100.0,0,0.2,-0.2,2,1,2,0,3,Matches
169,Joe Gomez\Joe-Gomez,eng ENG,DF,Liverpool,22,1997,20.3,1586,1779,89.2,35939,9444,12,21,57.1,1020,1097,93.0,554,661,83.8,0,0.2,-0.2,5,118,11,2,88,Matches
170,Anthony Gordon\Anthony-Gordon,eng ENG,MF,Everton,18,2001,4.5,82,105,78.1,1452,423,0,2,0.0,69,82,84.1,13,21,61.9,1,0.5,+0.5,6,5,1,0,7,Matches
171,Dan Gosling\Dan-Gosling,eng ENG,MF,Bournemouth,29,1990,13.0,379,476,79.6,6211,1445,14,36,38.9,307,356,86.2,58,84,69.0,1,1.1,-0.1,10,32,7,2,42,Matches
172,Andre Gray\Andre-Gray,eng ENG,FW,Watford,28,1991,8.4,102,155,65.8,1520,341,6,19,31.6,83,115,72.2,13,21,61.9,0,1.7,-1.7,8,8,6,1,10,Matches
173,Demarai Gray\Demarai-Gray,eng ENG,MFFW,Leicester City,23,1996,6.7,263,314,83.8,4199,794,6,22,27.3,222,243,91.4,35,49,71.4,3,1.6,+1.4,15,12,12,3,26,Matches
174,Jack Grealish\Jack-Grealish,eng ENG,FWMF,Aston Villa,23,1995,34.9,1166,1475,79.1,22205,6085,30,80,37.5,880,1005,87.6,256,390,65.6,6,6.5,-0.5,88,90,75,6,216,Matches
175,Mason Greenwood\Mason-Greenwood,eng ENG,FW,Manchester Utd,17,2001,12.8,355,416,85.3,5581,970,13,25,52.0,299,334,89.5,43,57,75.4,1,0.5,+0.5,11,17,6,1,21,Matches
176,Arnaut Groeneveld\Arnaut-Groeneveld,nl NED,MF,Bournemouth,22,1997,7.0,181,227,79.7,3152,765,5,16,31.3,141,168,83.9,35,43,81.4,0,0.3,-0.3,5,10,5,1,23,Matches
177,Pascal Groß\Pascal-Gross,de GER,FWMF,Brighton,28,1991,20.0,762,1028,74.1,14861,4611,10,45,22.2,582,669,87.0,170,314,54.1,4,5.4,-1.4,62,54,37,10,152,Matches
178,Vicente Guaita\Vicente-Guaita,es ESP,GK,Crystal Palace,32,1987,34.0,578,1031,56.1,21131,14952,5,6,83.3,234,234,100.0,339,791,42.9,0,0.0,0.0,0,14,0,0,0,Matches
179,Mattéo Guendouzi\Matteo-Guendouzi,fr FRA,MF,Arsenal,20,1999,19.4,1018,1144,89.0,20108,5472,15,41,36.6,746,802,93.0,257,301,85.4,1,1.1,-0.1,13,133,19,1,131,Matches
180,Frederic Guilbert\Frederic-Guilbert,fr FRA,DF,Aston Villa,24,1994,21.8,655,977,67.0,12638,5296,7,45,15.6,499,639,78.1,149,293,50.9,2,1.4,+0.6,13,67,23,14,140,Matches
181,İlkay Gündoğan\Ilkay-Gundogan,de GER,MF,Manchester City,28,1990,21.9,1754,1929,90.9,32931,6399,21,45,46.7,1337,1435,93.2,396,449,88.2,1,2.6,-1.6,34,167,33,1,153,Matches
182,Angus Gunn\Angus-Gunn,eng ENG,GK,Southampton,23,1996,10.0,111,256,43.4,4114,2955,0,0,,47,47,100.0,64,209,30.6,0,0.0,0.0,0,6,1,0,0,Matches
183,Sébastien Haller\Sebastien-Haller,fr FRA,FW,West Ham,25,1994,24.5,503,743,67.7,7101,1466,25,57,43.9,429,603,71.1,49,83,59.0,1,2.0,-1.0,24,47,14,2,47,Matches
184,Grant Hanley\Grant-Hanley,sco SCO,DF,Norwich City,27,1991,14.0,538,639,84.2,11532,3184,7,12,58.3,360,390,92.3,171,237,72.2,0,0.0,0.0,1,20,0,0,16,Matches
185,Kortney Hause\Kortney-Hause,eng ENG,DF,Aston Villa,24,1995,17.0,590,788,74.9,12353,4892,8,24,33.3,420,497,84.5,162,267,60.7,0,0.2,-0.2,1,42,1,0,40,Matches
186,Isaac Hayden\Isaac-Hayden,eng ENG,MF,Newcastle Utd,24,1995,24.5,628,831,75.6,10867,2501,9,46,19.6,505,617,81.8,114,168,67.9,2,1.5,+0.5,15,40,13,7,55,Matches
187,Tom Heaton\Tom-Heaton,eng ENG,GK,Aston Villa,33,1986,19.9,350,614,57.0,12857,9485,2,2,100.0,159,159,100.0,189,453,41.7,0,0.0,0.0,0,8,0,0,1,Matches
188,Dean Henderson\Dean-Henderson,eng ENG,GK,Sheffield Utd,22,1997,35.0,411,1004,40.9,20419,16502,1,1,100.0,105,107,98.1,305,896,34.0,0,0.1,-0.1,1,48,1,0,0,Matches
189,Jordan Henderson\Jordan-Henderson,eng ENG,MF,Liverpool,29,1990,24.9,1582,1879,84.2,32654,7681,24,60,40.0,1119,1219,91.8,439,600,73.2,5,2.9,+2.1,22,181,32,6,181,Matches
190,Jeff Hendrick\Jeff-Hendrick,ie IRL,MF,Burnley,27,1992,21.5,420,575,73.0,6881,1712,9,45,20.0,344,406,84.7,67,124,54.0,2,0.8,+1.2,12,25,10,2,48,Matches
191,Wayne Hennessey\Wayne-Hennessey,wal WAL,GK,Crystal Palace,32,1987,3.0,44,103,42.7,2365,2024,0,0,,8,9,88.9,36,94,38.3,0,0.0,0.0,0,3,0,0,0,Matches
192,Javier Hernández\Javier-Hernandez,mx MEX,FW,West Ham,31,1988,1.2,19,22,86.4,312,50,3,4,75.0,14,16,87.5,2,2,100.0,0,0.0,0.0,0,2,1,0,3,Matches
193,Onel Hernández\Onel-Hernandez,cu CUB,FWMF,Norwich City,26,1993,14.4,238,320,74.4,3316,619,10,28,35.7,215,256,84.0,13,36,36.1,2,1.0,+1.0,18,6,10,3,18,Matches
194,Son Heung-min\Son-Heung-min,kr KOR,FWMF,Tottenham,27,1992,26.6,681,849,80.2,10774,2472,16,51,31.4,564,635,88.8,101,163,62.0,10,6.6,+3.4,43,44,26,3,83,Matches
195,George Hirst\George-Hirst,eng ENG,FW,Leicester City,20,1999,0.1,4,6,66.7,34,16,0,0,,4,6,66.7,0,0,,0,0.0,0.0,0,1,0,0,0,Matches
196,Rob Holding\Rob-Holding,eng ENG,DF,Arsenal,23,1995,5.5,179,210,85.2,3977,998,2,3,66.7,122,132,92.4,55,75,73.3,0,0.0,0.0,0,5,1,0,7,Matches
197,José Holebas\Jose-Holebas,gr GRE,DF,Watford,35,1984,11.4,431,608,70.9,8294,3850,11,20,55.0,316,374,84.5,104,214,48.6,0,0.7,-0.7,10,43,8,5,92,Matches
198,Mason Holgate\Mason-Holgate,eng ENG,DF,Everton,22,1996,22.8,855,991,86.3,20925,6091,5,18,27.8,484,528,91.7,366,445,82.2,3,0.5,+2.5,2,47,4,0,57,Matches
199,Nathan Holland\Nathan-Holland,eng ENG,MF,West Ham,21,1998,0.4,11,14,78.6,137,49,0,0,,11,13,84.6,0,1,0.0,0,0.0,0.0,0,0,0,0,0,Matches
200,Conor Hourihane\Conor-Hourihane,ie IRL,MF,Aston Villa,28,1991,16.2,501,656,76.4,9509,3016,15,34,44.1,370,426,86.9,116,196,59.2,5,5.0,0.0,35,47,13,5,77,Matches
201,Callum Hudson-Odoi\Callum-Hudson-Odoi,eng ENG,FW,Chelsea,18,2000,9.1,369,456,80.9,6851,1422,7,21,33.3,287,328,87.5,75,107,70.1,4,2.4,+1.6,20,15,30,10,53,Matches
202,Will Hughes\Will-Hughes,eng ENG,MFFW,Watford,24,1995,24.1,625,857,72.9,9665,3398,18,52,34.6,531,641,82.8,76,164,46.3,1,1.4,-0.4,20,58,21,3,87,Matches
203,Pierre Højbjerg\Pierre-Hojbjerg,dk DEN,MF,Southampton,23,1995,30.6,1413,1810,78.1,26872,6912,22,59,37.3,1074,1277,84.1,317,474,66.9,1,1.9,-0.9,30,144,33,5,145,Matches
204,Jordon Ibe\Jordon-Ibe,eng ENG,DF,Bournemouth,23,1995,0.6,17,22,77.3,329,144,0,2,0.0,14,17,82.4,3,3,100.0,0,0.0,0.0,0,2,1,0,5,Matches
205,Adam Idah\Adam-Idah,ie IRL,FWMF,Norwich City,18,2001,2.4,32,42,76.2,408,78,3,7,42.9,26,31,83.9,3,4,75.0,0,0.1,-0.1,1,5,0,0,4,Matches
206,Odion Ighalo\Odion-Ighalo,ng NGA,FW,Manchester Utd,30,1989,1.0,18,20,90.0,257,22,0,0,,16,18,88.9,2,2,100.0,0,0.2,-0.2,2,1,1,0,1,Matches
207,Kelechi Iheanacho\Kelechi-Iheanacho,ng NGA,FWMF,Leicester City,22,1996,10.0,191,241,79.3,2705,580,9,24,37.5,160,187,85.6,22,30,73.3,3,2.3,+0.7,15,10,7,0,23,Matches
208,Danny Ings\Danny-Ings,eng ENG,FW,Southampton,27,1992,30.2,413,643,64.2,6417,1737,22,53,41.5,329,458,71.8,62,132,47.0,2,2.5,-0.5,32,36,27,7,70,Matches
209,Alex Iwobi\Alex-Iwobi,ng NGA,MFFW,Everton,23,1996,17.7,462,614,75.2,9220,2938,8,36,22.2,337,408,82.6,117,170,68.8,0,2.4,-2.4,22,57,32,9,99,Matches
210,Phil Jagielka\Phil-Jagielka,eng ENG,DF,Sheffield Utd,36,1982,2.7,59,74,79.7,1224,349,0,0,,44,47,93.6,15,27,55.6,0,0.0,0.0,0,2,1,1,4,Matches
211,Alireza Jahanbakhsh\Alireza-Jahanbakhsh,ir IRN,FWMF,Brighton,25,1993,3.4,84,139,60.4,1170,377,2,9,22.2,73,100,73.0,9,30,30.0,0,0.1,-0.1,2,2,3,1,9,Matches
212,Daniel James\Daniel-James,wal WAL,FW,Manchester Utd,21,1997,25.4,586,803,73.0,9009,2143,19,77,24.7,504,610,82.6,63,116,54.3,6,4.0,+2.0,26,34,29,9,70,Matches
213,Matty James\Matty-James,eng ENG,MF,Leicester City,28,1991,0.1,6,6,100.0,87,21,0,0,,5,5,100.0,1,1,100.0,0,0.0,0.0,0,0,0,0,1,Matches
214,Reece James\Reece-James,eng ENG,DF,Chelsea,19,1999,14.8,965,1149,84.0,17781,5200,14,38,36.8,758,834,90.9,193,277,69.7,2,2.5,-0.5,20,52,26,11,112,Matches
215,Daryl Janmaat\Daryl-Janmaat,nl NED,DF,Watford,30,1989,6.7,257,341,75.4,4290,1698,7,18,38.9,213,238,89.5,37,85,43.5,1,0.4,+0.6,7,23,10,5,47,Matches
216,Gabriel Jesus\Gabriel-Jesus,br BRA,FW,Manchester City,22,1997,21.6,480,550,87.3,6835,766,26,42,61.9,409,452,90.5,45,56,80.4,7,3.1,+3.9,26,17,12,1,23,Matches
217,Raúl Jiménez\Raul-Jimenez,mx MEX,FW,Wolves,28,1991,35.0,722,981,73.6,11632,2666,29,95,30.5,569,696,81.8,124,190,65.3,6,5.6,+0.4,42,62,23,4,83,Matches
218,Joelinton\Joelinton,br BRA,FW,Newcastle Utd,22,1996,29.3,633,790,80.1,9394,1691,25,54,46.3,531,634,83.8,77,102,75.5,2,2.5,-0.5,28,43,12,2,54,Matches
219,Ben Johnson\Ben-Johnson,eng ENG,DF,West Ham,19,2000,1.0,15,31,48.4,322,154,0,2,0.0,12,20,60.0,3,9,33.3,0,0.0,0.0,0,1,0,0,4,Matches
220,Curtis Jones\Curtis-Jones,eng ENG,MF,Liverpool,18,2001,1.1,99,110,90.0,1672,439,1,3,33.3,89,96,92.7,9,11,81.8,0,0.0,0.0,0,10,3,0,12,Matches
221,Phil Jones\Phil-Jones,eng ENG,DF,Manchester Utd,27,1992,1.5,79,89,88.8,1388,398,2,3,66.7,60,66,90.9,17,20,85.0,0,0.0,0.0,0,6,0,0,1,Matches
222,Jorginho\Jorginho,it ITA,MF,Chelsea,27,1991,24.5,1820,2072,87.8,34850,8514,32,52,61.5,1378,1510,91.3,410,510,80.4,2,2.2,-0.2,22,219,31,1,181,Matches
223,Jota\Jota,es ESP,FWMF,Aston Villa,28,1991,3.7,73,98,74.5,1408,627,1,4,25.0,56,68,82.4,16,26,61.5,1,0.6,+0.4,5,11,6,0,19,Matches
224,Diogo Jota\Diogo-Jota,pt POR,FWMF,Wolves,22,1996,24.5,659,829,79.5,10863,2067,21,54,38.9,547,660,82.9,91,115,79.1,1,3.9,-2.9,32,39,21,6,64,Matches
225,James Justin\James-Justin,eng ENG,DF,Leicester City,21,1998,10.2,594,735,80.8,9895,3248,8,37,21.6,508,559,90.9,78,139,56.1,1,0.8,+0.2,11,38,13,6,70,Matches
226,Christian Kabasele\Christian-Kabasele,be BEL,DF,Watford,28,1991,24.0,447,591,75.6,10149,3711,8,17,47.1,283,325,87.1,156,249,62.7,2,0.5,+1.5,3,35,0,0,34,Matches
227,Harry Kane\Harry-Kane,eng ENG,FW,Tottenham,26,1993,27.7,385,579,66.5,6770,1816,13,49,26.5,290,392,74.0,82,138,59.4,2,2.4,-0.4,24,47,16,3,66,Matches
228,N'Golo Kanté\NGolo-Kante,fr FRA,MF,Chelsea,28,1991,19.2,973,1139,85.4,17297,4148,29,60,48.3,761,861,88.4,183,218,83.9,0,2.0,-2.0,26,103,28,8,105,Matches
229,Moise Kean\Moise-Kean,it ITA,FW,Everton,19,2000,8.7,96,131,73.3,1285,279,10,23,43.5,77,94,81.9,9,14,64.3,2,0.6,+1.4,5,5,5,1,12,Matches
230,Michael Keane\Michael-Keane,eng ENG,DF,Everton,26,1993,27.4,1077,1283,83.9,25165,8083,11,24,45.8,661,739,89.4,405,520,77.9,0,0.6,-0.6,6,65,3,0,73,Matches
231,Naby Keïta\Naby-Keita,gn GUI,MF,Liverpool,24,1995,7.4,506,569,88.9,8142,2141,11,23,47.8,432,462,93.5,63,84,75.0,3,2.4,+0.6,15,61,16,2,62,Matches
232,Lloyd Kelly\Lloyd-Kelly,eng ENG,DF,Bournemouth,20,1998,6.1,156,208,75.0,3417,1267,3,7,42.9,92,108,85.2,61,93,65.6,0,0.2,-0.2,2,5,0,0,11,Matches
233,Martin Kelly\Martin-Kelly,eng ENG,DF,Crystal Palace,29,1990,17.2,493,669,73.7,9627,4222,8,25,32.0,365,439,83.1,120,205,58.5,1,0.9,+0.1,6,26,7,6,52,Matches
234,Max Kilman\Max-Kilman,eng ENG,DF,Wolves,22,1997,2.1,72,90,80.0,1391,547,1,3,33.3,55,62,88.7,16,25,64.0,0,0.0,0.0,0,4,0,0,9,Matches
235,Joshua King\Joshua-King,no NOR,FWMF,Bournemouth,27,1992,21.4,341,469,72.7,5130,1141,12,43,27.9,286,365,78.4,43,61,70.5,3,3.6,-0.6,26,19,18,4,40,Matches
236,Timm Klose\Timm-Klose,ch SUI,DF,Norwich City,31,1988,6.5,330,389,84.8,6613,1809,2,8,25.0,244,265,92.1,84,116,72.4,0,0.0,0.0,0,9,1,0,15,Matches
237,Jonathan Kodjia\Jonathan-Kodjia,ci CIV,FWMF,Aston Villa,29,1989,1.3,19,30,63.3,307,8,0,1,0.0,16,25,64.0,3,4,75.0,0,0.0,0.0,0,1,0,0,0,Matches
238,Sead Kolašinac\Sead-Kolasinac,ba BIH,DF,Arsenal,26,1993,18.5,783,930,84.2,12820,4011,7,29,24.1,682,765,89.2,94,136,69.1,2,1.0,+1.0,9,43,15,4,78,Matches
239,Ezri Konsa\Ezri-Konsa,eng ENG,DF,Aston Villa,21,1998,21.7,632,797,79.3,12968,4747,7,18,38.9,456,524,87.0,169,255,66.3,2,0.4,+1.6,8,44,5,2,66,Matches
240,Cheikhou Kouyaté\Cheikhou-Kouyate,sn SEN,MFDF,Crystal Palace,29,1989,27.1,620,817,75.9,9850,3026,24,57,42.1,501,617,81.2,95,143,66.4,1,0.9,+0.1,8,39,8,1,56,Matches
241,Mateo Kovačić\Mateo-Kovacic,hr CRO,MF,Chelsea,25,1994,21.1,1571,1743,90.1,30612,7590,22,37,59.5,1165,1237,94.2,384,469,81.9,3,2.0,+1.0,29,169,25,2,165,Matches
242,Emil Krafth\Emil-Krafth,se SWE,DF,Newcastle Utd,24,1994,11.3,316,433,73.0,5629,2656,4,20,20.0,262,314,83.4,50,99,50.5,1,0.4,+0.6,1,23,4,2,50,Matches
243,Tim Krul\Tim-Krul,nl NED,GK,Norwich City,31,1988,35.0,1014,1500,67.6,31693,18462,1,5,20.0,460,463,99.4,553,1032,53.6,0,0.0,0.0,0,11,0,0,3,Matches
244,Alexandre Lacazette\Alexandre-Lacazette,fr FRA,FW,Arsenal,28,1991,20.2,363,466,77.9,5516,994,20,44,45.5,286,334,85.6,57,88,64.8,4,2.9,+1.1,22,26,23,6,35,Matches
245,Adam Lallana\Adam-Lallana,eng ENG,MFFW,Liverpool,31,1988,4.2,229,270,84.8,3400,791,6,15,40.0,203,222,91.4,20,33,60.6,1,0.6,+0.4,5,23,4,0,18,Matches
246,Érik Lamela\Erik-Lamela,ar ARG,MFFW,Tottenham,27,1992,13.5,469,596,78.7,7262,1413,20,44,45.5,385,437,88.1,64,115,55.7,1,1.6,-0.6,17,27,19,1,51,Matches
247,Tariq Lamptey\Tariq-Lamptey,eng ENG,DF,Chelsea,18,2000,0.4,12,14,85.7,235,80,0,1,0.0,9,10,90.0,3,3,100.0,0,0.1,-0.1,1,0,1,0,2,Matches
248,Tariq Lamptey\Tariq-Lamptey,eng ENG,DF,Brighton,18,2000,5.5,150,204,73.5,2582,713,1,8,12.5,122,153,79.7,27,43,62.8,1,0.2,+0.8,1,9,3,2,23,Matches
249,Henri Lansbury\Henri-Lansbury,eng ENG,MF,Aston Villa,28,1990,2.2,60,81,74.1,1315,254,1,3,33.3,37,49,75.5,22,29,75.9,0,0.1,-0.1,2,9,0,0,6,Matches
250,Manuel Lanzini\Manuel-Lanzini,ar ARG,MFFW,West Ham,26,1993,15.1,662,784,84.4,10776,3077,28,42,66.7,529,590,89.7,105,152,69.1,2,2.3,-0.3,30,65,15,3,87,Matches
251,Aymeric Laporte\Aymeric-Laporte,fr FRA,DF,Manchester City,25,1994,11.2,888,951,93.4,19074,5751,3,11,27.3,608,626,97.1,277,314,88.2,0,0.1,-0.1,1,86,0,0,66,Matches
252,Jamaal Lascelles\Jamaal-Lascelles,eng ENG,DF,Newcastle Utd,25,1993,23.1,669,811,82.5,14591,3589,10,22,45.5,433,505,85.7,226,284,79.6,0,0.1,-0.1,2,25,2,0,20,Matches
253,Valentino Lazaro\Valentino-Lazaro,at AUT,DFMF,Newcastle Utd,23,1996,4.3,138,167,82.6,2260,860,5,7,71.4,111,120,92.5,22,40,55.0,0,0.2,-0.2,6,7,4,1,12,Matches
254,Moritz Leitner\Moritz-Leitner,de GER,MF,Norwich City,26,1992,7.6,472,553,85.4,7841,1732,12,23,52.2,390,430,90.7,70,100,70.0,0,0.4,-0.4,8,46,16,2,45,Matches
255,Florian Lejeune\Florian-Lejeune,fr FRA,DF,Newcastle Utd,28,1991,4.9,136,187,72.7,2876,1077,0,3,0.0,97,117,82.9,39,67,58.2,0,0.1,-0.1,1,9,0,0,13,Matches
256,Aaron Lennon\Aaron-Lennon,eng ENG,MF,Burnley,32,1987,5.5,92,131,70.2,1435,349,3,14,21.4,75,92,81.5,14,25,56.0,0,0.1,-0.1,2,5,2,1,8,Matches
257,Bernd Leno\Bernd-Leno,de GER,GK,Arsenal,27,1992,29.4,742,990,74.9,18293,9806,5,6,83.3,486,491,99.0,251,493,50.9,0,0.0,0.0,0,3,0,0,0,Matches
258,Jefferson Lerma\Jefferson-Lerma,co COL,MF,Bournemouth,24,1994,29.0,1072,1353,79.2,21569,6334,16,39,41.0,784,918,85.4,272,396,68.7,2,1.9,+0.1,12,115,16,0,121,Matches
