,,,,,,,,,SCA,SCA,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,GCA,GCA,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,SCA,SCA90,PassLive,PassDead,Drib,Sh,Fld,GCA,GCA90,PassLive,PassDead,Drib,Sh,Fld,OG,Matches
1290,Moussa Konaté\Moussa-Konate,sn SEN,FW,Amiens,fr Ligue 1,26,1993,6.8,10,1.47,8,0,1,1,0,1,0.15,0,0,0,1,0,0,Matches
1291,Geoffrey Kondogbia\Geoffrey-Kondogbia,cf CTA,MF,Valencia,es La Liga,26,1993,20.1,18,0.90,15,0,1,1,1,1,0.05,1,0,0,0,0,0,Matches
1292,Kouadio Koné\Kouadio-Kone,fr FRA,MF,Toulouse,fr Ligue 1,18,2001,9.7,15,1.54,13,0,1,0,1,2,0.21,2,0,0,0,0,0,Matches
1293,Lamine Koné\Lamine-Kone,ci CIV,DF,Strasbourg,fr Ligue 1,30,1989,16.4,6,0.37,5,0,0,1,0,0,0.00,0,0,0,0,0,0,Matches
1294,Moussa Koné\Moussa-Kone,sn SEN,FW,Nîmes,fr Ligue 1,22,1996,1.6,5,3.21,2,0,1,1,1,0,0.00,0,0,0,0,0,0,Matches
1295,Youssouf Koné\Youssouf-Kone,ml MLI,DF,Lyon,fr Ligue 1,24,1995,9.1,16,1.76,14,1,1,0,0,0,0.00,0,0,0,0,0,0,Matches
1296,Ezri Konsa\Ezri-Konsa,eng ENG,DF,Aston Villa,eng Premier League,21,1998,22.7,14,0.62,9,0,1,2,2,2,0.09,1,0,0,1,0,0,Matches
1297,Pascal Köpke\Pascal-Kopke,de GER,FW,Hertha BSC,de Bundesliga,23,1995,1.3,3,2.23,0,1,0,2,0,0,0.00,0,0,0,0,0,0,Matches
1298,Laurent Koscielny\Laurent-Koscielny,fr FRA,DF,Bordeaux,fr Ligue 1,33,1985,24.3,13,0.54,13,0,0,0,0,1,0.04,1,0,0,0,0,0,Matches
1299,Filip Kostić\Filip-Kostic,rs SRB,DFMF,Eint Frankfurt,de Bundesliga,26,1992,32.9,140,4.26,65,46,10,13,6,20,0.61,9,8,0,3,0,0,Matches
1300,Christian Kouamé\Christian-Kouame,ci CIV,FW,Fiorentina,it Serie A,21,1997,2.9,9,3.36,5,0,2,1,1,1,0.37,0,0,0,1,0,0,Matches
1301,Christian Kouamé\Christian-Kouame,ci CIV,FW,Genoa,it Serie A,21,1997,10.2,29,2.85,21,1,1,1,5,6,0.59,3,0,1,0,2,0,Matches
1302,Nianzou Kouassi\Nianzou-Kouassi,fr FRA,DFMF,Paris S-G,fr Ligue 1,17,2002,5.0,4,0.80,3,0,0,0,1,0,0.00,0,0,0,0,0,0,Matches
1303,Tomáš Koubek\Tomas-Koubek,cz CZE,GK,Augsburg,de Bundesliga,26,1992,24.0,2,0.08,2,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
1304,Kalidou Koulibaly\Kalidou-Koulibaly,sn SEN,DF,Napoli,it Serie A,28,1991,22.4,20,0.94,17,0,1,1,1,1,0.05,0,0,0,0,1,0,Matches
1305,Efthimis Koulouris\Efthimis-Koulouris,gr GRE,FW,Toulouse,fr Ligue 1,23,1996,17.1,31,1.81,28,0,0,1,2,4,0.23,4,0,0,0,0,0,Matches
1306,Jules Koundé\Jules-Kounde,fr FRA,DF,Sevilla,es La Liga,20,1998,25.7,14,0.55,10,1,2,1,0,3,0.12,2,0,0,1,0,0,Matches
1307,Leonardo Koutris\Leonardo-Koutris,gr GRE,DF,Mallorca,es La Liga,24,1995,1.0,4,3.87,3,1,0,0,0,0,0.00,0,0,0,0,0,0,Matches
1308,Cheikhou Kouyaté\Cheikhou-Kouyate,sn SEN,MFDF,Crystal Palace,eng Premier League,29,1989,28.1,16,0.57,14,0,1,1,0,1,0.04,1,0,0,0,0,0,Matches
1309,Mateo Kovačić\Mateo-Kovacic,hr CRO,MF,Chelsea,eng Premier League,25,1994,23.0,64,2.78,60,0,2,1,1,7,0.30,7,0,0,0,0,0,Matches
1310,Dawid Kownacki\Dawid-Kownacki,pl POL,FWMF,Düsseldorf,de Bundesliga,22,1997,12.1,33,2.72,20,1,6,3,3,2,0.16,1,0,0,0,1,0,Matches
1311,İsmail Köybaşı\Ismail-Koybasi,tr TUR,DFFW,Granada,es La Liga,30,1989,2.6,5,1.95,5,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
1312,Thomas Kraft\Thomas-Kraft,de GER,GK,Hertha BSC,de Bundesliga,31,1988,4.0,0,0.00,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
1313,Emil Krafth\Emil-Krafth,se SWE,DF,Newcastle Utd,eng Premier League,24,1994,11.3,4,0.35,4,0,0,0,0,1,0.09,1,0,0,0,0,0,Matches
1314,Andrej Kramarić\Andrej-Kramaric,hr CRO,FWMF,Hoffenheim,de Bundesliga,28,1991,15.8,51,3.23,31,2,5,6,6,10,0.63,6,0,2,1,0,1,Matches
1315,Christoph Kramer\Christoph-Kramer,de GER,MF,M'gladbach,de Bundesliga,28,1991,16.3,22,1.35,18,2,0,1,1,3,0.18,2,1,0,0,0,0,Matches
1316,Tom Krauß\Tom-Krauss,de GER,MF,RB Leipzig,de Bundesliga,18,2001,0.0,0,0.00,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
1317,Ladislav Krejčí\Ladislav-Krejci,cz CZE,DF,Bologna,it Serie A,27,1992,11.7,26,2.23,22,1,2,0,1,1,0.09,0,0,1,0,0,0,Matches
1318,Rene Krhin\Rene-Krhin,si SVN,DFMF,Nantes,fr Ligue 1,29,1990,3.6,1,0.28,1,0,0,0,0,1,0.28,1,0,0,0,0,0,Matches
1319,Felix Kroos\Felix-Kroos,de GER,MF,Union Berlin,de Bundesliga,28,1991,4.2,8,1.90,4,1,0,2,1,0,0.00,0,0,0,0,0,0,Matches
1320,Toni Kroos\Toni-Kroos,de GER,MF,Real Madrid,es La Liga,29,1990,29.5,102,3.46,60,32,2,5,3,7,0.24,4,3,0,0,0,0,Matches
1321,Tim Krul\Tim-Krul,nl NED,GK,Norwich City,eng Premier League,31,1988,36.0,2,0.06,1,1,0,0,0,1,0.03,1,0,0,0,0,0,Matches
1322,Rade Krunić\Rade-Krunic,ba BIH,MF,Milan,it Serie A,25,1993,6.0,21,3.52,18,0,1,0,2,2,0.34,2,0,0,0,0,0,Matches
1323,Lukas Kübler\Lukas-Kubler,de GER,DF,Freiburg,de Bundesliga,26,1992,2.3,1,0.43,1,0,0,0,0,1,0.43,1,0,0,0,0,0,Matches
1324,Takefusa Kubo\Takefusa-Kubo,jp JPN,MFFW,Mallorca,es La Liga,18,2001,25.7,89,3.46,58,4,12,3,12,18,0.70,12,0,2,1,3,0,Matches
1325,Juraj Kucka\Juraj-Kucka,sk SVK,MFFW,Parma,it Serie A,32,1987,21.5,42,2.05,33,0,3,3,3,10,0.49,5,0,2,2,1,0,Matches
1326,Dejan Kulusevski\Dejan-Kulusevski,se SWE,FWMF,Parma,it Serie A,19,2000,31.8,127,4.13,100,2,13,7,5,15,0.49,9,0,3,2,1,0,Matches
1327,Marash Kumbulla\Marash-Kumbulla,al ALB,DF,Hellas Verona,it Serie A,19,2000,21.7,10,0.46,8,0,0,1,1,2,0.09,0,0,0,1,1,0,Matches
1328,Pierre Kunde\Pierre-Kunde,cm CMR,MF,Mainz 05,de Bundesliga,24,1995,20.7,31,1.50,24,1,5,0,1,4,0.19,2,0,2,0,0,0,Matches
1329,Jasmin Kurtić\Jasmin-Kurtic,si SVN,MF,SPAL,it Serie A,30,1989,15.7,51,3.26,29,8,4,5,5,0,0.00,0,0,0,0,0,0,Matches
1330,Jasmin Kurtić\Jasmin-Kurtic,si SVN,MFFW,Parma,it Serie A,30,1989,17.5,32,1.94,19,11,0,1,1,2,0.12,2,0,0,0,0,0,Matches
1331,Layvin Kurzawa\Layvin-Kurzawa,fr FRA,DF,Paris S-G,fr Ligue 1,26,1992,9.5,12,1.26,8,1,1,0,2,3,0.31,1,0,1,0,1,0,Matches
1332,Dereck Kutesa\Dereck-Kutesa,ch SUI,FWMF,Reims,fr Ligue 1,21,1997,5.9,7,1.19,5,0,1,0,1,2,0.34,1,0,1,0,0,0,Matches
1333,Ahmed Kutucu\Ahmed-Kutucu,tr TUR,FWMF,Schalke 04,de Bundesliga,19,2000,7.5,18,2.39,11,0,3,3,1,4,0.53,4,0,0,0,0,0,Matches
1334,Enock Kwateng\Enock-Kwateng,fr FRA,DF,Bordeaux,fr Ligue 1,22,1997,10.9,15,1.37,13,1,0,1,0,2,0.18,1,0,0,1,0,0,Matches
1335,Antonino La Gumina\Antonino-La-Gumina,it ITA,FW,Sampdoria,it Serie A,23,1996,2.1,3,1.45,2,0,0,0,1,0,0.00,0,0,0,0,0,0,Matches
1336,Andrea La Mantia\Andrea-La-Mantia,it ITA,FW,Lecce,it Serie A,28,1991,6.1,12,1.95,8,0,0,4,0,1,0.16,0,0,0,1,0,0,Matches
1337,Gaëtan Laborde\Gaetan-Laborde,fr FRA,FW,Montpellier,fr Ligue 1,25,1994,24.9,62,2.49,47,0,3,4,8,9,0.36,8,0,0,0,1,0,Matches
1338,Alexandre Lacazette\Alexandre-Lacazette,fr FRA,FW,Arsenal,eng Premier League,28,1991,20.8,58,2.79,36,0,5,9,8,13,0.62,5,0,3,4,1,0,Matches
1339,Riccardo Ladinetti\Riccardo-Ladinetti,it ITA,MF,Cagliari,it Serie A,18,2000,1.1,3,2.76,3,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
1340,Alban Lafont\Alban-Lafont,fr FRA,GK,Nantes,fr Ligue 1,20,1999,27.0,4,0.15,2,2,0,0,0,0,0.00,0,0,0,0,0,0,Matches
1341,Víctor Laguardia\Victor-Laguardia,es ESP,DF,Alavés,es La Liga,29,1989,29.5,15,0.51,15,0,0,0,0,3,0.10,3,0,0,0,0,0,Matches
1342,Jack Lahne\Jack-Lahne,se SWE,FW,Amiens,fr Ligue 1,17,2001,0.1,0,0.00,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
1343,Konrad Laimer\Konrad-Laimer,at AUT,MF,RB Leipzig,de Bundesliga,22,1997,23.5,50,2.13,41,0,6,0,3,17,0.72,13,0,4,0,0,0,Matches
1344,Stefan Lainer\Stefan-Lainer,at AUT,DF,M'gladbach,de Bundesliga,26,1992,30.1,60,1.99,54,2,2,0,2,7,0.23,5,0,0,0,2,0,Matches
1345,Diego Lainez\Diego-Lainez,mx MEX,MFFW,Betis,es La Liga,19,2000,3.9,4,1.03,4,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
1346,Kenny Lala\Kenny-Lala,fr FRA,DF,Strasbourg,fr Ligue 1,27,1991,22.7,51,2.25,37,10,2,1,1,1,0.04,0,1,0,0,0,0,Matches
1347,Adam Lallana\Adam-Lallana,eng ENG,MFFW,Liverpool,eng Premier League,31,1988,4.2,9,2.12,7,0,1,0,1,1,0.24,1,0,0,0,0,0,Matches
1348,Érik Lamela\Erik-Lamela,ar ARG,MFFW,Tottenham,eng Premier League,27,1992,13.5,47,3.48,27,5,3,4,7,9,0.67,3,1,0,3,1,1,Matches
1349,Tariq Lamptey\Tariq-Lamptey,eng ENG,DF,Chelsea,eng Premier League,18,2000,0.4,1,2.81,1,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
1350,Tariq Lamptey\Tariq-Lamptey,eng ENG,DF,Brighton,eng Premier League,18,2000,6.5,10,1.53,6,1,1,1,1,2,0.31,1,1,0,0,0,0,Matches
1351,Loïck Landre\Loick-Landre,fr FRA,DF,Nîmes,fr Ligue 1,27,1992,10.3,4,0.39,3,0,0,1,0,1,0.10,1,0,0,0,0,0,Matches
1352,Michael Lang\Michael-Lang,ch SUI,DF,Werder Bremen,de Bundesliga,28,1991,6.0,6,0.99,4,0,1,0,1,0,0.00,0,0,0,0,0,0,Matches
1353,Sebastian Langkamp\Sebastian-Langkamp,de GER,DF,Werder Bremen,de Bundesliga,31,1988,3.5,1,0.29,1,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
1354,Henri Lansbury\Henri-Lansbury,eng ENG,MF,Aston Villa,eng Premier League,28,1990,2.2,2,0.92,2,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
1355,Manuel Lanzini\Manuel-Lanzini,ar ARG,MFFW,West Ham,eng Premier League,26,1993,15.3,57,3.72,39,11,1,1,5,5,0.33,2,0,0,0,3,0,Matches
1356,Gianluca Lapadula\Gianluca-Lapadula,it ITA,FW,Lecce,it Serie A,29,1990,18.8,46,2.57,30,0,6,1,9,6,0.33,3,0,1,0,2,0,Matches
1357,Aymeric Laporte\Aymeric-Laporte,fr FRA,DF,Manchester City,eng Premier League,25,1994,12.2,8,0.66,7,0,0,1,0,0,0.00,0,0,0,0,0,0,Matches
1358,Danilo Larangeira\Danilo-Larangeira,br BRA,DF,Bologna,it Serie A,35,1984,28.3,16,0.58,16,0,0,0,0,1,0.04,1,0,0,0,0,0,Matches
1359,Larra\Larra,es ESP,FWMF,Athletic Club,es La Liga,21,1997,2.8,4,1.44,0,1,0,1,2,1,0.36,0,0,0,0,1,0,Matches
1360,Gautier Larsonneur\Gautier-Larsonneur,fr FRA,GK,Brest,fr Ligue 1,22,1997,26.6,2,0.08,2,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
1361,Kevin Lasagna\Kevin-Lasagna,it ITA,FW,Udinese,it Serie A,26,1992,27.5,47,1.73,38,0,3,2,4,3,0.11,1,0,2,0,0,0,Matches
1362,Jamaal Lascelles\Jamaal-Lascelles,eng ENG,DF,Newcastle Utd,eng Premier League,25,1993,23.1,7,0.30,5,0,0,1,1,0,0.00,0,0,0,0,0,0,Matches
1363,Paul Lasne\Paul-Lasne,fr FRA,MFFW,Brest,fr Ligue 1,30,1989,13.6,31,2.28,26,0,1,1,3,2,0.15,2,0,0,0,0,0,Matches
1364,Toni Lato\Toni-Lato,es ESP,DFMF,Osasuna,es La Liga,21,1997,5.2,7,1.34,7,0,0,0,0,1,0.19,1,0,0,0,0,0,Matches
1365,Danny Latza\Danny-Latza,de GER,MF,Mainz 05,de Bundesliga,29,1989,15.3,32,2.10,27,0,1,1,3,4,0.26,2,0,1,0,1,0,Matches
1366,Vincent Laurini\Vincent-Laurini,fr FRA,DF,Parma,it Serie A,30,1989,9.2,12,1.30,11,0,0,0,1,2,0.22,2,0,0,0,0,0,Matches
1367,Wesley Lautoa\Wesley-Lautoa,nc NCL,MFDF,Dijon,fr Ligue 1,31,1987,20.8,16,0.77,15,0,1,0,0,2,0.10,2,0,0,0,0,0,Matches
1368,Diego Laxalt\Diego-Laxalt,uy URU,DFMF,Torino,it Serie A,26,1993,6.6,8,1.21,7,1,0,0,0,1,0.15,1,0,0,0,0,0,Matches
1369,Diego Laxalt\Diego-Laxalt,uy URU,DF,Milan,it Serie A,26,1993,1.9,6,3.14,5,1,0,0,0,1,0.52,1,0,0,0,0,0,Matches
1370,Valentino Lazaro\Valentino-Lazaro,at AUT,DFMF,Newcastle Utd,eng Premier League,23,1996,5.3,8,1.50,4,2,1,1,0,0,0.00,0,0,0,0,0,0,Matches
1371,Valentino Lazaro\Valentino-Lazaro,at AUT,DFMF,Inter,it Serie A,23,1996,3.6,14,3.90,9,3,0,1,1,1,0.28,1,0,0,0,0,0,Matches
1372,Darko Lazović\Darko-Lazovic,rs SRB,DF,Hellas Verona,it Serie A,28,1990,35.0,97,2.85,74,5,12,5,1,17,0.50,14,0,2,1,0,0,Matches
1373,Manuel Lazzari\Manuel-Lazzari,it ITA,DF,Lazio,it Serie A,25,1993,27.4,57,2.13,50,1,1,2,3,6,0.22,4,0,0,2,0,0,Matches
1374,Mickaël Le Bihan\Mickael-Le-Bihan,fr FRA,FW,Nice,fr Ligue 1,29,1990,1.1,2,1.80,1,0,0,1,0,1,0.90,0,0,0,1,0,0,Matches
1375,Robin Le Normand\Robin-Le-Normand,fr FRA,DF,Real Sociedad,es La Liga,22,1996,26.6,10,0.38,10,0,0,0,0,1,0.04,1,0,0,0,0,0,Matches
1376,Damien Le Tallec\Damien-Le-Tallec,fr FRA,MFDF,Montpellier,fr Ligue 1,29,1990,27.3,26,0.95,22,1,0,0,2,3,0.11,2,0,0,0,0,1,Matches
1377,James Lea Siliki\James-Lea-Siliki,fr FRA,MF,Rennes,fr Ligue 1,23,1996,12.0,23,1.92,17,0,1,0,5,2,0.17,2,0,0,0,0,0,Matches
1378,Rafael Leão\Rafael-Leao,pt POR,FW,Milan,it Serie A,20,1999,15.2,52,3.54,38,0,11,1,2,6,0.41,3,0,2,0,1,0,Matches
1379,Adrien Lebeau\Adrien-Lebeau,fr FRA,MF,Strasbourg,fr Ligue 1,20,1999,0.1,0,0.00,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
1380,Mathew Leckie\Mathew-Leckie,au AUS,DFFW,Hertha BSC,de Bundesliga,28,1991,2.2,2,0.92,1,0,0,0,1,0,0.00,0,0,0,0,0,0,Matches
1381,Benjamin Lecomte\Benjamin-Lecomte,fr FRA,GK,Monaco,fr Ligue 1,28,1991,28.0,2,0.07,1,1,0,0,0,1,0.04,1,0,0,0,0,0,Matches
1382,Pierre Lees-Melou\Pierre-Lees-Melou,fr FRA,MF,Nice,fr Ligue 1,26,1993,25.0,61,2.44,47,1,6,5,2,8,0.32,7,0,0,1,0,0,Matches
1383,Jordan Lefort\Jordan-Lefort,fr FRA,DF,Amiens,fr Ligue 1,25,1993,9.4,7,0.75,4,0,3,0,0,2,0.21,1,0,1,0,0,0,Matches
1384,Wu Lei\Wu-Lei,cn CHN,FWMF,Espanyol,es La Liga,27,1991,19.1,25,1.31,17,0,4,3,1,2,0.10,1,0,0,1,0,0,Matches
1385,Toni Leistner\Toni-Leistner,de GER,DF,Köln,de Bundesliga,28,1990,11.2,5,0.44,5,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
1386,Moritz Leitner\Moritz-Leitner,de GER,MF,Norwich City,eng Premier League,26,1992,7.6,16,2.10,14,1,0,0,1,0,0.00,0,0,0,0,0,0,Matches
1387,Lucas Leiva\Lucas-Leiva,br BRA,MF,Lazio,it Serie A,32,1987,20.1,36,1.79,33,1,0,2,0,2,0.10,2,0,0,0,0,0,Matches
1388,Florian Lejeune\Florian-Lejeune,fr FRA,DF,Newcastle Utd,eng Premier League,28,1991,4.9,1,0.20,1,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
1389,Iñigo Lekue\Inigo-Lekue,es ESP,FWDF,Athletic Club,es La Liga,26,1993,6.9,14,2.02,8,1,4,1,0,2,0.29,1,0,1,0,0,0,Matches
1390,Nicolas Lemaître\Nicolas-Lemaitre,fr FRA,GK,Reims,fr Ligue 1,22,1997,1.0,1,1.00,1,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
1391,Thomas Lemar\Thomas-Lemar,fr FRA,MF,Atlético Madrid,es La Liga,23,1995,10.3,19,1.85,10,4,2,3,0,1,0.10,1,0,0,0,0,0,Matches
1392,Tim Lemperle\Tim-Lemperle,de GER,FWMF,Köln,de Bundesliga,17,2002,0.2,0,0.00,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
1393,Clément Lenglet\Clement-Lenglet,fr FRA,DF,Barcelona,es La Liga,24,1995,26.9,14,0.52,14,0,0,0,0,3,0.11,3,0,0,0,0,0,Matches
1394,Aaron Lennon\Aaron-Lennon,eng ENG,MF,Burnley,eng Premier League,32,1987,5.5,7,1.27,6,0,0,0,1,1,0.18,1,0,0,0,0,0,Matches
1395,Bernd Leno\Bernd-Leno,de GER,GK,Arsenal,eng Premier League,27,1992,29.4,1,0.03,1,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
1396,Christopher Lenz\Christopher-Lenz,de GER,DF,Union Berlin,de Bundesliga,24,1994,25.2,42,1.67,32,5,3,2,0,4,0.16,4,0,0,0,0,0,Matches
1397,Donovan Léon\Donovan-Leon,gf GUF,GK,Brest,fr Ligue 1,26,1992,1.4,1,0.73,0,1,0,0,0,0,0.00,0,0,0,0,0,0,Matches
1398,Pedro León\Pedro-Leon,es ESP,MFFW,Eibar,es La Liga,32,1986,21.1,65,3.09,31,26,4,3,1,5,0.24,3,2,0,0,0,0,Matches
1399,Sergio León\Sergio-Leon,es ESP,FW,Levante,es La Liga,30,1989,7.5,7,0.94,3,0,0,3,1,1,0.13,0,0,0,1,0,0,Matches
1400,Lukas Lerager\Lukas-Lerager,dk DEN,MF,Genoa,it Serie A,26,1993,14.4,25,1.86,23,0,0,1,1,2,0.15,2,0,0,0,0,0,Matches
1401,Mehdi Léris\Mehdi-Leris,fr FRA,MFFW,Sampdoria,it Serie A,21,1998,4.9,14,3.17,9,1,2,1,1,1,0.23,1,0,0,0,0,0,Matches
1402,Jefferson Lerma\Jefferson-Lerma,co COL,MF,Bournemouth,eng Premier League,24,1994,30.0,34,1.13,28,0,2,0,4,2,0.07,2,0,0,0,0,0,Matches
1403,Karlo Letica\Karlo-Letica,hr CRO,GK,SPAL,it Serie A,22,1997,10.0,0,0.00,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
1404,Robert Lewandowski\Robert-Lewandowski,pl POL,FW,Bayern Munich,de Bundesliga,30,1988,30.7,100,3.26,68,0,12,10,10,15,0.49,9,0,4,0,2,0,Matches
1405,Jamal Lewis\Jamal-Lewis,nir NIR,DF,Norwich City,eng Premier League,21,1998,25.6,32,1.25,26,2,3,0,1,1,0.04,1,0,0,0,0,0,Matches
1406,Aaron Leya Iseka\Aaron-Leya-Iseka,be BEL,FW,Toulouse,fr Ligue 1,21,1997,8.6,19,2.20,13,0,1,1,4,1,0.12,0,0,0,0,1,0,Matches
1407,Stephan Lichtsteiner\Stephan-Lichtsteiner,ch SUI,DF,Augsburg,de Bundesliga,35,1984,14.9,18,1.21,12,5,0,0,1,2,0.13,2,0,0,0,0,0,Matches
1408,Dimitri Liénard\Dimitri-Lienard,fr FRA,MF,Strasbourg,fr Ligue 1,31,1988,16.5,64,3.87,38,20,3,2,1,10,0.60,6,3,1,0,0,0,Matches
1409,Philipp Lienhart\Philipp-Lienhart,at AUT,DF,Freiburg,de Bundesliga,23,1996,20.2,8,0.40,6,0,0,1,1,2,0.10,2,0,0,0,0,0,Matches
1410,Matthijs de Ligt\Matthijs-de-Ligt,nl NED,DF,Juventus,it Serie A,19,1999,27.2,9,0.33,8,0,0,0,1,2,0.07,1,0,0,0,1,0,Matches
1411,Isaac Lihadji\Isaac-Lihadji,fr FRA,DFMF,Marseille,fr Ligue 1,17,2002,0.3,1,3.60,1,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
1412,Lillo\Lillo,es ESP,DF,Osasuna,es La Liga,30,1989,2.2,3,1.38,3,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
1413,Anderson Lima\Anderson-Lima,br BRA,MF,Lazio,it Serie A,19,1999,0.6,6,9.31,2,1,2,1,0,1,1.55,1,0,0,0,0,0,Matches
1414,Lucas Lima\Lucas-Lima,br BRA,FWDF,Nantes,fr Ligue 1,27,1991,3.0,9,3.00,5,4,0,0,0,0,0.00,0,0,0,0,0,0,Matches
1415,Anthony Limbombe\Anthony-Limbombe,be BEL,FWMF,Nantes,fr Ligue 1,25,1994,1.7,3,1.79,0,2,0,1,0,0,0.00,0,0,0,0,0,0,Matches
1416,Victor Lindelöf\Victor-Lindelof,se SWE,DF,Manchester Utd,eng Premier League,25,1994,34.4,17,0.49,15,1,0,1,0,2,0.06,2,0,0,0,0,0,Matches
1417,Karol Linetty\Karol-Linetty,pl POL,MF,Sampdoria,it Serie A,24,1995,22.2,61,2.85,54,3,0,2,2,9,0.42,8,0,0,1,0,0,Matches
1418,Jesse Lingard\Jesse-Lingard,eng ENG,MFFW,Manchester Utd,eng Premier League,26,1992,10.4,38,3.66,33,0,2,1,2,3,0.29,3,0,0,0,0,0,Matches
1419,Pol Lirola\Pol-Lirola,es ESP,DF,Fiorentina,it Serie A,21,1997,28.4,62,2.20,52,2,5,3,0,3,0.11,2,0,1,0,0,0,Matches
1420,Diego Llorente\Diego-Llorente,es ESP,DF,Real Sociedad,es La Liga,25,1993,25.9,14,0.54,13,0,0,0,1,2,0.08,1,0,0,0,1,0,Matches
1421,Fernando Llorente\Fernando-Llorente,es ESP,FW,Napoli,it Serie A,34,1985,5.6,19,3.41,14,0,0,4,1,2,0.36,1,0,0,1,0,0,Matches
1422,Marcos Llorente\Marcos-Llorente,es ESP,MFFW,Atlético Madrid,es La Liga,24,1995,15.2,27,1.78,21,0,4,0,2,7,0.46,3,0,2,0,2,0,Matches
1423,Gautier Lloris\Gautier-Lloris,fr FRA,DF,Nice,fr Ligue 1,24,1995,3.0,2,0.67,2,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
1424,Hugo Lloris\Hugo-Lloris,fr FRA,GK,Tottenham,eng Premier League,32,1986,20.1,1,0.05,0,1,0,0,0,0,0.00,0,0,0,0,0,0,Matches
1425,Giovani Lo Celso\Giovani-Lo-Celso,ar ARG,MFFW,Tottenham,eng Premier League,23,1996,16.6,59,3.56,44,9,2,1,3,6,0.36,5,0,0,1,0,0,Matches
1426,Stanislav Lobotka\Stanislav-Lobotka,sk SVK,MF,Celta Vigo,es La Liga,24,1994,15.4,25,1.63,22,0,0,1,2,2,0.13,2,0,0,0,0,0,Matches
1427,Stanislav Lobotka\Stanislav-Lobotka,sk SVK,MF,Napoli,it Serie A,24,1994,7.5,15,2.00,13,0,1,0,1,1,0.13,1,0,0,0,0,0,Matches
1428,Jürgen Locadia\Jurgen-Locadia,nl NED,MFFW,Brighton,eng Premier League,25,1993,1.0,1,1.05,1,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
1429,Jürgen Locadia\Jurgen-Locadia,nl NED,FW,Hoffenheim,de Bundesliga,25,1993,5.9,10,1.70,4,0,2,3,1,2,0.34,0,0,1,1,0,0,Matches
1430,Manuel Locatelli\Manuel-Locatelli,it ITA,MF,Sassuolo,it Serie A,21,1998,28.0,87,3.20,73,7,2,2,3,8,0.29,8,0,0,0,0,0,Matches
1431,Renan Lodi\Renan-Lodi,br BRA,DF,Atlético Madrid,es La Liga,21,1998,26.6,31,1.16,28,0,0,1,2,2,0.08,2,0,0,0,0,0,Matches
1432,Ruben Loftus-Cheek\Ruben-Loftus-Cheek,eng ENG,MFFW,Chelsea,eng Premier League,23,1996,2.3,2,0.87,2,0,0,0,0,1,0.43,1,0,0,0,0,0,Matches
1433,Enzo Loiodice\Enzo-Loiodice,fr FRA,MF,Dijon,fr Ligue 1,18,2000,2.1,1,0.47,1,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
1434,Kevin Long\Kevin-Long,ie IRL,DF,Burnley,eng Premier League,28,1990,6.3,3,0.48,1,1,0,1,0,1,0.16,0,1,0,0,0,0,Matches
1435,Shane Long\Shane-Long,ie IRL,FW,Southampton,eng Premier League,32,1987,15.5,31,2.00,25,0,1,4,1,3,0.19,1,0,0,2,0,0,Matches
1436,Matthew Longstaff\Matthew-Longstaff,eng ENG,MF,Newcastle Utd,eng Premier League,19,2000,6.4,6,0.94,6,0,0,0,0,1,0.16,1,0,0,0,0,0,Matches
1437,Sean Longstaff\Sean-Longstaff,eng ENG,MF,Newcastle Utd,eng Premier League,21,1997,15.3,31,2.02,19,7,1,2,2,2,0.13,1,0,0,1,0,0,Matches
1438,Ademola Lookman\Ademola-Lookman,eng ENG,MFFW,RB Leipzig,de Bundesliga,21,1997,3.4,13,3.79,10,0,1,2,0,0,0.00,0,0,0,0,0,0,Matches
