,,,,,,,,,SCA,SCA,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,GCA,GCA,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,SCA,SCA90,PassLive,PassDead,Drib,Sh,Fld,GCA,GCA90,PassLive,PassDead,Drib,Sh,Fld,OG,Matches
187,Antonín Barák\Antonin-Barak,cz CZE,MF,Lecce,it Serie A,24,1994,14.2,35,2.65,32,0,1,1,1,4,0.30,3,0,1,0,0,0,Matches
188,Federico Barba\Federico-Barba,it ITA,DF,Valladolid,es La Liga,25,1993,5.0,3,0.60,2,0,0,0,1,1,0.20,1,0,0,0,0,0,Matches
189,Danilo Barbosa\Danilo-Barbosa,br BRA,DFMF,Nice,fr Ligue 1,23,1996,12.5,17,1.36,16,0,0,0,1,1,0.08,1,0,0,0,0,0,Matches
190,Melvin Bard\Melvin-Bard,fr FRA,DF,Lyon,fr Ligue 1,18,2000,0.5,2,4.00,2,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
191,Enis Bardhi\Enis-Bardhi,mk MKD,MF,Levante,es La Liga,24,1995,23.5,66,2.81,40,11,7,5,3,9,0.38,4,0,2,2,1,0,Matches
192,Phil Bardsley\Phil-Bardsley,sco SCO,DF,Burnley,eng Premier League,34,1985,21.0,16,0.76,11,3,0,2,0,0,0.00,0,0,0,0,0,0,Matches
193,Nicolò Barella\Nicolo-Barella,it ITA,MF,Inter,it Serie A,22,1997,21.4,54,2.65,46,0,3,2,3,4,0.20,3,0,0,0,1,0,Matches
194,Philipp Bargfrede\Philipp-Bargfrede,de GER,MF,Werder Bremen,de Bundesliga,30,1989,6.5,5,0.77,5,0,0,0,0,1,0.15,1,0,0,0,0,0,Matches
195,Antonino Barillà\Antonino-Barilla,it ITA,MF,Parma,it Serie A,31,1988,17.8,18,1.07,12,3,0,0,2,2,0.12,1,0,0,0,0,1,Matches
196,Kike Barja\Kike-Barja,es ESP,MFFW,Osasuna,es La Liga,22,1997,3.5,10,2.88,8,0,1,1,0,2,0.58,2,0,0,0,0,0,Matches
197,Ross Barkley\Ross-Barkley,eng ENG,MF,Chelsea,eng Premier League,25,1993,12.3,46,3.75,31,1,6,5,3,5,0.41,4,0,0,1,0,0,Matches
198,Aymen Barkok\Aymen-Barkok,de GER,FWMF,Düsseldorf,de Bundesliga,21,1998,0.9,0,0.00,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
