,,,,,,,,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Expected,Expected,Expected,Expected,Expected,
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,PK,PKatt,Sh,SoT,FK,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
457,Kieran Tierney\Kieran-Tierney,sco SCO,DF,Arsenal,22,1997,7.7,0,0,0,3,1,0,33.3,0.39,0.13,0.00,0.00,0.1,0.1,0.03,-0.1,-0.1,Matches
458,James Tomkins\James-Tomkins,eng ENG,DF,Crystal Palace,30,1989,17.6,1,0,0,9,2,0,22.2,0.51,0.11,0.11,0.50,1.3,1.3,0.15,-0.3,-0.3,Matches
459,Fikayo Tomori\Fikayo-Tomori,eng ENG,DF,Chelsea,21,1997,14.3,1,0,0,7,3,0,42.9,0.49,0.21,0.14,0.33,0.6,0.6,0.08,+0.4,+0.4,Matches
460,Lucas Torreira\Lucas-Torreira,uy URU,MF,Arsenal,23,1996,15.5,1,0,0,20,6,0,30.0,1.29,0.39,0.05,0.17,1.6,1.6,0.08,-0.6,-0.6,Matches
461,Cenk Tosun\Cenk-Tosun,tr TUR,FW,Crystal Palace,28,1991,2.0,1,0,0,4,2,0,50.0,2.03,1.02,0.25,0.50,0.8,0.8,0.19,+0.2,+0.2,Matches
462,Cenk Tosun\Cenk-Tosun,tr TUR,FW,Everton,28,1991,3.2,1,0,0,11,3,0,27.3,3.40,0.93,0.09,0.33,0.8,0.8,0.07,+0.2,+0.2,Matches
463,Andros Townsend\Andros-Townsend,eng ENG,MF,Crystal Palace,28,1991,11.1,1,0,0,8,4,0,50.0,0.72,0.36,0.13,0.25,0.3,0.3,0.03,+0.7,+0.7,Matches
464,Adama Traoré\Adama-Traore,es ESP,FWMF,Wolves,23,1996,26.3,4,0,0,38,10,0,26.3,1.44,0.38,0.11,0.40,2.8,2.8,0.07,+1.2,+1.2,Matches
465,Mark Travers\Mark-Travers,ie IRL,GK,Bournemouth,20,1999,1.0,0,0,0,0,0,0,,0.00,0.00,,,0.0,0.0,,0.0,0.0,Matches
466,Trézéguet\Trezeguet,eg EGY,FWMF,Aston Villa,24,1994,17.0,3,0,0,41,11,3,26.8,2.41,0.65,0.07,0.27,3.0,3.0,0.07,0.0,0.0,Matches
467,Leandro Trossard\Leandro-Trossard,be BEL,FWMF,Brighton,24,1994,19.7,5,0,0,35,11,0,31.4,1.77,0.56,0.14,0.45,3.1,3.1,0.09,+0.9,+0.9,Matches
468,Tom Trybull\Tom-Trybull,de GER,MF,Norwich City,26,1993,12.6,0,0,0,11,2,0,18.2,0.88,0.16,0.00,0.00,0.4,0.4,0.04,-0.4,-0.4,Matches
469,Axel Tuanzebe\Axel-Tuanzebe,eng ENG,DF,Manchester Utd,21,1997,2.1,0,0,0,0,0,0,,0.00,0.00,,,0.0,0.0,,0.0,0.0,Matches
470,Yan Valery\Yan-Valery,fr FRA,DF,Southampton,20,1999,8.7,0,0,0,3,2,0,66.7,0.35,0.23,0.00,0.00,0.3,0.3,0.09,-0.3,-0.3,Matches
471,Jesús Vallejo\Jesus-Vallejo,es ESP,DF,Wolves,22,1997,1.8,0,0,0,0,0,0,,0.00,0.00,,,0.0,0.0,,0.0,0.0,Matches
472,Jamie Vardy\Jamie-Vardy,eng ENG,FW,Leicester City,32,1987,29.7,22,4,5,70,35,0,50.0,2.36,1.18,0.26,0.51,17.0,13.2,0.20,+5.0,+4.8,Matches
473,Indiana Vassilev\Indiana-Vassilev,us USA,FWMF,Aston Villa,18,2001,0.5,0,0,0,1,0,0,0.0,2.05,0.00,0.00,,0.0,0.0,0.03,0.0,0.0,Matches
474,Jan Vertonghen\Jan-Vertonghen,be BEL,DF,Tottenham,32,1987,17.3,1,0,0,4,2,0,50.0,0.23,0.12,0.25,0.50,0.4,0.4,0.11,+0.6,+0.6,Matches
475,Jannik Vestergaard\Jannik-Vestergaard,dk DEN,DF,Southampton,26,1992,13.6,1,0,0,8,4,0,50.0,0.59,0.29,0.13,0.25,0.8,0.8,0.10,+0.2,+0.2,Matches
476,Rúben Vinagre\Ruben-Vinagre,pt POR,DF,Wolves,20,1999,6.0,0,0,0,5,0,0,0.0,0.84,0.00,0.00,,0.4,0.4,0.08,-0.4,-0.4,Matches
477,Mario Vrančić\Mario-Vrancic,ba BIH,MF,Norwich City,30,1989,6.0,1,0,0,11,3,1,27.3,1.82,0.50,0.09,0.33,1.6,1.6,0.15,-0.6,-0.6,Matches
478,Matěj Vydra\Matej-Vydra,cz CZE,FW,Burnley,27,1992,8.1,2,0,0,17,9,0,52.9,2.10,1.11,0.12,0.22,3.1,3.1,0.18,-1.1,-1.1,Matches
479,Theo Walcott\Theo-Walcott,eng ENG,MFFW,Everton,30,1989,11.8,1,0,0,25,8,0,32.0,2.12,0.68,0.04,0.13,2.3,2.3,0.09,-1.3,-1.3,Matches
480,Kyle Walker\Kyle-Walker,eng ENG,DF,Manchester City,29,1990,23.4,1,0,0,13,3,1,23.1,0.56,0.13,0.08,0.33,0.8,0.8,0.06,+0.2,+0.2,Matches
481,Kyle Walker-Peters\Kyle-Walker-Peters,eng ENG,DF,Southampton,22,1997,3.3,0,0,0,0,0,0,,0.00,0.00,,,0.0,0.0,,0.0,0.0,Matches
482,Kyle Walker-Peters\Kyle-Walker-Peters,eng ENG,DF,Tottenham,22,1997,2.7,0,0,0,1,0,0,0.0,0.37,0.00,0.00,,0.0,0.0,0.03,0.0,0.0,Matches
483,Aaron Wan-Bissaka\Aaron-Wan-Bissaka,eng ENG,DF,Manchester Utd,21,1997,29.9,0,0,0,7,1,0,14.3,0.23,0.03,0.00,0.00,0.4,0.4,0.06,-0.4,-0.4,Matches
484,Victor Wanyama\Victor-Wanyama,ke KEN,MF,Tottenham,28,1991,0.3,0,0,0,0,0,0,,0.00,0.00,,,0.0,0.0,,0.0,0.0,Matches
485,Joel Ward\Joel-Ward,eng ENG,DF,Crystal Palace,29,1989,22.5,0,0,0,4,1,0,25.0,0.18,0.04,0.00,0.00,0.2,0.2,0.04,-0.2,-0.2,Matches
486,James Ward-Prowse\James-Ward-Prowse,eng ENG,MFDF,Southampton,24,1994,33.0,5,1,2,44,20,21,45.5,1.33,0.61,0.09,0.20,5.4,3.7,0.08,-0.4,+0.3,Matches
487,Adam Webster\Adam-Webster,eng ENG,DF,Brighton,24,1995,25.6,3,0,0,14,6,0,42.9,0.55,0.23,0.21,0.50,1.1,1.1,0.08,+1.9,+1.9,Matches
488,Danny Welbeck\Danny-Welbeck,eng ENG,FWMF,Watford,28,1990,5.9,1,0,0,9,5,0,55.6,1.52,0.84,0.11,0.20,1.2,1.2,0.13,-0.2,-0.2,Matches
489,Ashley Westwood\Ashley-Westwood,eng ENG,MF,Burnley,29,1990,31.0,2,0,0,13,3,2,23.1,0.42,0.10,0.15,0.67,1.1,1.1,0.09,+0.9,+0.9,Matches
490,Connor Wickham\Connor-Wickham,eng ENG,FWMF,Crystal Palace,26,1993,1.1,1,0,0,4,2,0,50.0,3.75,1.87,0.25,0.50,1.4,1.4,0.35,-0.4,-0.4,Matches
491,Georginio Wijnaldum\Georginio-Wijnaldum,nl NED,MF,Liverpool,28,1990,29.1,3,0,0,31,13,0,41.9,1.07,0.45,0.10,0.23,2.4,2.4,0.08,+0.6,+0.6,Matches
492,Jetro Willems\Jetro-Willems,nl NED,DF,Newcastle Utd,25,1994,16.6,2,0,0,14,6,0,42.9,0.84,0.36,0.14,0.33,0.6,0.6,0.04,+1.4,+1.4,Matches
493,Brandon Williams\Brandon-Williams,eng ENG,DF,Manchester Utd,18,2000,8.7,1,0,0,6,2,0,33.3,0.69,0.23,0.17,0.50,0.6,0.6,0.10,+0.4,+0.4,Matches
494,Neco Williams\Neco-Williams,wal WAL,DF,Liverpool,18,2001,0.9,0,0,0,3,1,0,33.3,3.46,1.15,0.00,0.00,0.1,0.1,0.03,-0.1,-0.1,Matches
495,Willian\Willian,br BRA,FW,Chelsea,30,1988,26.2,9,4,4,64,24,7,37.5,2.44,0.91,0.08,0.21,6.7,3.7,0.06,+2.3,+1.3,Matches
496,Joe Willock\Joe-Willock,eng ENG,MFFW,Arsenal,19,1999,8.3,1,0,0,12,4,0,33.3,1.44,0.48,0.08,0.25,2.0,2.0,0.16,-1.0,-1.0,Matches
497,Jack Wilshere\Jack-Wilshere,eng ENG,MF,West Ham,27,1992,2.2,0,0,0,0,0,0,,0.00,0.00,,,0.0,0.0,,0.0,0.0,Matches
498,Callum Wilson\Callum-Wilson,eng ENG,FW,Bournemouth,27,1992,28.1,8,0,0,43,19,0,44.2,1.53,0.68,0.19,0.42,9.2,9.2,0.21,-1.2,-1.2,Matches
499,Harry Wilson\Harry-Wilson,wal WAL,MFFW,Bournemouth,22,1997,17.3,7,0,0,47,16,12,34.0,2.71,0.92,0.15,0.44,3.6,3.6,0.08,+3.4,+3.4,Matches
500,Harry Winks\Harry-Winks,eng ENG,MF,Tottenham,23,1996,19.7,0,0,0,12,2,0,16.7,0.61,0.10,0.00,0.00,0.5,0.5,0.04,-0.5,-0.5,Matches
501,Chris Wood\Chris-Wood,nz NZL,FW,Burnley,27,1991,23.5,11,0,0,55,26,0,47.3,2.34,1.11,0.20,0.42,10.0,10.0,0.18,+1.0,+1.0,Matches
502,Granit Xhaka\Granit-Xhaka,ch SUI,MF,Arsenal,26,1992,25.2,1,0,0,11,3,0,27.3,0.44,0.12,0.09,0.33,0.4,0.4,0.03,+0.6,+0.6,Matches
503,Andriy Yarmolenko\Andriy-Yarmolenko,ua UKR,MF,West Ham,29,1989,10.3,4,0,0,24,12,1,50.0,2.33,1.17,0.17,0.33,1.8,1.8,0.08,+2.2,+2.2,Matches
504,DeAndre Yedlin\DeAndre-Yedlin,us USA,DF,Newcastle Utd,26,1993,9.8,1,0,0,1,1,0,100.0,0.10,0.10,1.00,1.00,0.7,0.7,0.68,+0.3,+0.3,Matches
505,Maya Yoshida\Maya-Yoshida,jp JPN,DF,Southampton,30,1988,6.2,0,0,0,4,3,0,75.0,0.64,0.48,0.00,0.00,0.6,0.6,0.14,-0.6,-0.6,Matches
506,Ashley Young\Ashley-Young,eng ENG,DF,Manchester Utd,34,1985,10.6,0,0,0,3,0,0,0.0,0.28,0.00,0.00,,0.1,0.1,0.04,-0.1,-0.1,Matches
507,Pablo Zabaleta\Pablo-Zabaleta,ar ARG,DF,West Ham,34,1985,6.6,0,0,0,1,0,0,0.0,0.15,0.00,0.00,,0.1,0.1,0.06,-0.1,-0.1,Matches
508,Wilfried Zaha\Wilfried-Zaha,ci CIV,MFFW,Crystal Palace,26,1992,32.4,4,0,0,51,12,0,23.5,1.57,0.37,0.08,0.33,4.6,4.6,0.09,-0.6,-0.6,Matches
509,Christoph Zimmermann\Christoph-Zimmermann,de GER,DF,Norwich City,26,1993,14.4,0,0,0,6,1,0,16.7,0.42,0.07,0.00,0.00,0.4,0.4,0.07,-0.4,-0.4,Matches
510,Oleksandr Zinchenko\Oleksandr-Zinchenko,ua UKR,DF,Manchester City,22,1996,13.4,0,0,0,16,3,0,18.8,1.19,0.22,0.00,0.00,0.4,0.4,0.03,-0.4,-0.4,Matches
511,Richairo Živković\Richairo-Zivkovic,nl NED,FW,Sheffield Utd,22,1996,0.7,0,0,0,1,0,0,0.0,1.41,0.00,0.00,,0.0,0.0,0.00,0.0,0.0,Matches
512,Kurt Zouma\Kurt-Zouma,fr FRA,DF,Chelsea,24,1994,22.0,0,0,0,14,5,0,35.7,0.64,0.23,0.00,0.00,0.8,0.8,0.06,-0.8,-0.8,Matches
