,,,,,,,,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Expected,Expected,Expected,Expected,Expected,
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,PK,PKatt,Sh,SoT,FK,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
139,Fernandinho\Fernandinho,br BRA,DF,Manchester City,34,1985,24.9,0,0,0,14,2,0,14.3,0.56,0.08,0.00,0.00,0.9,0.9,0.07,-0.9,-0.9,Matches
140,Roberto Firmino\Roberto-Firmino,br BRA,FW,Liverpool,27,1991,30.3,8,0,0,95,36,0,37.9,3.14,1.19,0.08,0.22,12.9,12.9,0.14,-4.9,-4.9,Matches
141,John Fleck\John-Fleck,sco SCO,MF,Sheffield Utd,27,1991,26.1,5,0,0,32,12,0,37.5,1.23,0.46,0.16,0.42,3.4,3.4,0.11,+1.6,+1.6,Matches
142,Phil Foden\Phil-Foden,eng ENG,FWMF,Manchester City,19,2000,7.2,4,0,0,22,11,0,50.0,3.05,1.53,0.18,0.36,1.9,1.9,0.08,+2.1,+2.1,Matches
143,Pablo Fornals\Pablo-Fornals,es ESP,MFFW,West Ham,23,1996,20.7,2,0,0,36,12,0,33.3,1.74,0.58,0.06,0.17,2.8,2.8,0.08,-0.8,-0.8,Matches
144,Ben Foster\Ben-Foster,eng ENG,GK,Watford,36,1983,34.0,0,0,0,1,1,0,100.0,0.03,0.03,0.00,0.00,0.1,0.1,0.07,-0.1,-0.1,Matches
145,Dimitri Foulquier\Dimitri-Foulquier,fr FRA,MFDF,Watford,26,1993,0.7,0,0,0,0,0,0,,0.00,0.00,,,0.0,0.0,,0.0,0.0,Matches
146,Juan Foyth\Juan-Foyth,ar ARG,DF,Tottenham,21,1998,0.8,0,0,0,0,0,0,,0.00,0.00,,,0.0,0.0,,0.0,0.0,Matches
147,Simon Francis\Simon-Francis,eng ENG,DF,Bournemouth,34,1985,10.8,0,0,0,3,0,0,0.0,0.28,0.00,0.00,,0.2,0.2,0.06,-0.2,-0.2,Matches
148,Ryan Fraser\Ryan-Fraser,sco SCO,MFFW,Bournemouth,25,1994,23.0,1,0,0,27,12,2,44.4,1.18,0.52,0.04,0.08,3.3,3.3,0.12,-2.3,-2.3,Matches
149,Fred\Fred,br BRA,MF,Manchester Utd,26,1993,23.5,0,0,0,39,10,3,25.6,1.66,0.43,0.00,0.00,1.8,1.8,0.05,-1.8,-1.8,Matches
150,Ryan Fredericks\Ryan-Fredericks,eng ENG,DF,West Ham,26,1992,22.9,0,0,0,1,0,0,0.0,0.04,0.00,0.00,,0.0,0.0,0.02,0.0,0.0,Matches
151,Kieron Freeman\Kieron-Freeman,wal WAL,FW,Sheffield Utd,27,1992,0.1,0,0,0,0,0,0,,0.00,0.00,,,0.0,0.0,,0.0,0.0,Matches
152,Luke Freeman\Luke-Freeman,eng ENG,MF,Sheffield Utd,27,1992,4.1,0,0,0,3,0,0,0.0,0.74,0.00,0.00,,0.1,0.1,0.02,-0.1,-0.1,Matches
153,Christian Fuchs\Christian-Fuchs,at AUT,DF,Leicester City,33,1986,7.6,0,0,0,5,1,2,20.0,0.66,0.13,0.00,0.00,0.1,0.1,0.03,-0.1,-0.1,Matches
154,Eric García\Eric-Garcia,es ESP,DF,Manchester City,18,2001,6.0,0,0,0,0,0,0,,0.00,0.00,,,0.0,0.0,,0.0,0.0,Matches
155,James Garner\James-Garner,eng ENG,MF,Manchester Utd,18,2001,0.1,0,0,0,0,0,0,,0.00,0.00,,,0.0,0.0,,0.0,0.0,Matches
156,Dwight Gayle\Dwight-Gayle,eng ENG,FW,Newcastle Utd,28,1990,6.3,2,0,0,14,7,1,50.0,2.24,1.12,0.14,0.29,2.9,2.9,0.20,-0.9,-0.9,Matches
157,Paulo Gazzaniga\Paulo-Gazzaniga,ar ARG,GK,Tottenham,27,1992,17.9,0,0,0,0,0,0,,0.00,0.00,,,0.0,0.0,,0.0,0.0,Matches
158,Jean-Philippe Gbamin\Jean-Philippe-Gbamin,ci CIV,MF,Everton,23,1995,1.5,0,0,0,0,0,0,,0.00,0.00,,,0.0,0.0,,0.0,0.0,Matches
159,David de Gea\David-de-Gea,es ESP,GK,Manchester Utd,28,1990,33.0,0,0,0,0,0,0,,0.00,0.00,,,0.0,0.0,,0.0,0.0,Matches
160,Anwar El Ghazi\Anwar-El-Ghazi,nl NED,FWMF,Aston Villa,24,1995,21.8,4,1,1,48,19,5,39.6,2.20,0.87,0.06,0.16,5.7,4.9,0.10,-1.7,-1.9,Matches
161,Morgan Gibbs-White\Morgan-Gibbs-White,eng ENG,MFFW,Wolves,19,2000,1.4,0,0,0,2,0,0,0.0,1.40,0.00,0.00,,0.1,0.1,0.04,-0.1,-0.1,Matches
162,Billy Gilmour\Billy-Gilmour,sco SCO,MF,Chelsea,18,2001,2.2,0,0,0,1,0,0,0.0,0.46,0.00,0.00,,0.1,0.1,0.06,-0.1,-0.1,Matches
163,Olivier Giroud\Olivier-Giroud,fr FRA,FW,Chelsea,32,1986,8.3,5,0,0,25,13,1,52.0,3.01,1.56,0.20,0.38,3.5,3.5,0.14,+1.5,+1.5,Matches
164,Ben Godfrey\Ben-Godfrey,eng ENG,DF,Norwich City,21,1998,25.4,0,0,0,12,4,0,33.3,0.47,0.16,0.00,0.00,0.6,0.6,0.05,-0.6,-0.6,Matches
165,André Gomes\Andre-Gomes,pt POR,MF,Everton,26,1993,12.7,0,0,0,4,0,0,0.0,0.31,0.00,0.00,,0.3,0.3,0.07,-0.3,-0.3,Matches
166,Angel Gomes\Angel-Gomes,eng ENG,MF,Manchester Utd,18,2000,0.2,0,0,0,0,0,0,,0.00,0.00,,,0.0,0.0,,0.0,0.0,Matches
167,Joe Gomez\Joe-Gomez,eng ENG,DF,Liverpool,22,1997,18.3,0,0,0,1,0,0,0.0,0.05,0.00,0.00,,0.0,0.0,0.02,0.0,0.0,Matches
168,Anthony Gordon\Anthony-Gordon,eng ENG,MFFW,Everton,18,2001,2.7,0,0,0,4,1,0,25.0,1.48,0.37,0.00,0.00,0.2,0.2,0.06,-0.2,-0.2,Matches
169,Dan Gosling\Dan-Gosling,eng ENG,MF,Bournemouth,29,1990,10.7,3,0,0,9,5,0,55.6,0.84,0.47,0.33,0.60,2.0,2.0,0.22,+1.0,+1.0,Matches
170,Andre Gray\Andre-Gray,eng ENG,FW,Watford,28,1991,8.1,2,0,0,19,6,0,31.6,2.34,0.74,0.11,0.33,2.8,2.8,0.15,-0.8,-0.8,Matches
171,Demarai Gray\Demarai-Gray,eng ENG,MFFW,Leicester City,23,1996,6.0,1,0,1,13,4,0,30.8,2.15,0.66,0.08,0.25,2.0,1.2,0.09,-1.0,-0.2,Matches
172,Jack Grealish\Jack-Grealish,eng ENG,FWMF,Aston Villa,23,1995,30.9,7,0,1,58,18,0,31.0,1.88,0.58,0.12,0.39,5.8,5.0,0.09,+1.2,+2.0,Matches
173,Mason Greenwood\Mason-Greenwood,eng ENG,FWMF,Manchester Utd,17,2001,10.4,8,0,0,30,16,0,53.3,2.90,1.55,0.27,0.50,2.7,2.7,0.09,+5.3,+5.3,Matches
174,Arnaut Groeneveld\Arnaut-Groeneveld,nl NED,MF,Bournemouth,22,1997,6.5,0,0,0,13,4,1,30.8,2.00,0.62,0.00,0.00,0.9,0.9,0.07,-0.9,-0.9,Matches
175,Pascal Groß\Pascal-Gross,de GER,FWMF,Brighton,28,1991,18.3,2,0,0,27,9,4,33.3,1.48,0.49,0.07,0.22,1.8,1.8,0.07,+0.2,+0.2,Matches
176,Vicente Guaita\Vicente-Guaita,es ESP,GK,Crystal Palace,32,1987,31.0,0,0,0,0,0,0,,0.00,0.00,,,0.0,0.0,,0.0,0.0,Matches
177,Mattéo Guendouzi\Matteo-Guendouzi,fr FRA,MF,Arsenal,20,1999,19.4,0,0,0,11,5,0,45.5,0.57,0.26,0.00,0.00,0.6,0.6,0.05,-0.6,-0.6,Matches
178,Frederic Guilbert\Frederic-Guilbert,fr FRA,DF,Aston Villa,24,1994,21.1,0,0,0,7,3,0,42.9,0.33,0.14,0.00,0.00,0.3,0.3,0.04,-0.3,-0.3,Matches
179,İlkay Gündoğan\Ilkay-Gundogan,de GER,MF,Manchester City,28,1990,21.2,2,1,2,30,6,2,20.0,1.42,0.28,0.03,0.17,4.5,2.9,0.10,-2.5,-1.9,Matches
180,Angus Gunn\Angus-Gunn,eng ENG,GK,Southampton,23,1996,10.0,0,0,0,0,0,0,,0.00,0.00,,,0.0,0.0,,0.0,0.0,Matches
181,Sébastien Haller\Sebastien-Haller,fr FRA,FW,West Ham,25,1994,24.2,7,0,0,52,26,0,50.0,2.15,1.08,0.13,0.27,7.0,7.0,0.14,0.0,0.0,Matches
182,Grant Hanley\Grant-Hanley,sco SCO,DF,Norwich City,27,1991,14.0,0,0,0,7,2,0,28.6,0.50,0.14,0.00,0.00,0.5,0.5,0.07,-0.5,-0.5,Matches
183,Kortney Hause\Kortney-Hause,eng ENG,DF,Aston Villa,24,1995,16.0,1,0,0,19,3,0,15.8,1.19,0.19,0.05,0.33,2.1,2.1,0.12,-1.1,-1.1,Matches
184,Isaac Hayden\Isaac-Hayden,eng ENG,MF,Newcastle Utd,24,1995,24.5,1,0,0,17,3,0,17.6,0.69,0.12,0.06,0.33,1.1,1.1,0.06,-0.1,-0.1,Matches
185,Tom Heaton\Tom-Heaton,eng ENG,GK,Aston Villa,33,1986,19.9,0,0,0,0,0,0,,0.00,0.00,,,0.0,0.0,,0.0,0.0,Matches
186,Dean Henderson\Dean-Henderson,eng ENG,GK,Sheffield Utd,22,1997,32.0,0,0,0,1,0,0,0.0,0.03,0.00,0.00,,0.0,0.0,0.05,0.0,0.0,Matches
187,Jordan Henderson\Jordan-Henderson,eng ENG,MF,Liverpool,29,1990,24.9,4,0,0,20,8,0,40.0,0.80,0.32,0.20,0.50,1.3,1.3,0.07,+1.7,+1.7,Matches
188,Jeff Hendrick\Jeff-Hendrick,ie IRL,MF,Burnley,27,1992,21.5,2,0,0,22,6,1,27.3,1.03,0.28,0.09,0.33,1.7,1.7,0.08,+0.3,+0.3,Matches
189,Wayne Hennessey\Wayne-Hennessey,wal WAL,GK,Crystal Palace,32,1987,3.0,0,0,0,0,0,0,,0.00,0.00,,,0.0,0.0,,0.0,0.0,Matches
190,Javier Hernández\Javier-Hernandez,mx MEX,FW,West Ham,31,1988,1.2,1,0,0,3,2,1,66.7,2.52,1.68,0.33,0.50,0.7,0.7,0.25,+0.3,+0.3,Matches
191,Onel Hernández\Onel-Hernandez,cu CUB,FWMF,Norwich City,26,1993,11.8,1,0,0,26,6,0,23.1,2.20,0.51,0.04,0.17,1.7,1.7,0.06,-0.7,-0.7,Matches
192,Son Heung-min\Son-Heung-min,kr KOR,FW,Tottenham,27,1992,23.2,9,0,1,72,34,1,47.2,3.11,1.47,0.13,0.26,7.5,6.7,0.09,+1.5,+2.3,Matches
193,Rob Holding\Rob-Holding,eng ENG,DF,Arsenal,23,1995,3.5,0,0,0,0,0,0,,0.00,0.00,,,0.0,0.0,,0.0,0.0,Matches
194,José Holebas\Jose-Holebas,gr GRE,DF,Watford,35,1984,11.4,0,0,0,6,3,1,50.0,0.53,0.26,0.00,0.00,0.4,0.4,0.07,-0.4,-0.4,Matches
195,Mason Holgate\Mason-Holgate,eng ENG,DF,Everton,22,1996,22.7,0,0,0,12,5,0,41.7,0.53,0.22,0.00,0.00,2.3,2.3,0.19,-2.3,-2.3,Matches
196,Nathan Holland\Nathan-Holland,eng ENG,MF,West Ham,21,1998,0.4,0,0,0,1,1,0,100.0,2.73,2.73,0.00,0.00,0.0,0.0,0.04,0.0,0.0,Matches
197,Conor Hourihane\Conor-Hourihane,ie IRL,MF,Aston Villa,28,1991,13.2,3,0,0,22,8,2,36.4,1.67,0.61,0.14,0.38,1.3,1.3,0.06,+1.7,+1.7,Matches
198,Callum Hudson-Odoi\Callum-Hudson-Odoi,eng ENG,FW,Chelsea,18,2000,8.8,1,0,0,22,4,0,18.2,2.50,0.45,0.05,0.25,2.0,2.0,0.09,-1.0,-1.0,Matches
199,Will Hughes\Will-Hughes,eng ENG,MFFW,Watford,24,1995,21.1,1,0,0,24,2,0,8.3,1.14,0.09,0.04,0.50,2.7,2.7,0.11,-1.7,-1.7,Matches
200,Pierre Højbjerg\Pierre-Hojbjerg,dk DEN,MF,Southampton,23,1995,29.2,0,0,0,42,8,0,19.0,1.44,0.27,0.00,0.00,2.3,2.3,0.05,-2.3,-2.3,Matches
201,Jordon Ibe\Jordon-Ibe,eng ENG,DF,Bournemouth,23,1995,0.6,0,0,0,0,0,0,,0.00,0.00,,,0.0,0.0,,0.0,0.0,Matches
202,Adam Idah\Adam-Idah,ie IRL,FWMF,Norwich City,18,2001,1.9,0,0,0,5,1,0,20.0,2.57,0.51,0.00,0.00,0.9,0.9,0.19,-0.9,-0.9,Matches
203,Odion Ighalo\Odion-Ighalo,ng NGA,FW,Manchester Utd,30,1989,0.9,0,0,0,6,3,0,50.0,6.59,3.29,0.00,0.00,1.4,1.4,0.24,-1.4,-1.4,Matches
204,Kelechi Iheanacho\Kelechi-Iheanacho,ng NGA,FWMF,Leicester City,22,1996,9.2,5,0,0,28,14,0,50.0,3.05,1.53,0.18,0.36,4.4,4.4,0.16,+0.6,+0.6,Matches
205,Danny Ings\Danny-Ings,eng ENG,FW,Southampton,27,1992,26.2,18,0,0,77,31,0,40.3,2.94,1.18,0.23,0.58,12.6,12.6,0.17,+5.4,+5.4,Matches
206,Alex Iwobi\Alex-Iwobi,ng NGA,MFFW,Everton,23,1996,16.2,1,0,0,21,8,0,38.1,1.30,0.49,0.05,0.13,2.1,2.1,0.10,-1.1,-1.1,Matches
207,Phil Jagielka\Phil-Jagielka,eng ENG,DF,Sheffield Utd,36,1982,2.5,0,0,0,0,0,0,,0.00,0.00,,,0.0,0.0,,0.0,0.0,Matches
208,Alireza Jahanbakhsh\Alireza-Jahanbakhsh,ir IRN,FWMF,Brighton,25,1993,3.2,2,0,0,11,2,0,18.2,3.43,0.62,0.18,1.00,0.5,0.5,0.05,+1.5,+1.5,Matches
209,Daniel James\Daniel-James,wal WAL,FW,Manchester Utd,21,1997,25.2,3,0,0,41,19,0,46.3,1.63,0.75,0.07,0.16,3.3,3.3,0.08,-0.3,-0.3,Matches
210,Matty James\Matty-James,eng ENG,MF,Leicester City,28,1991,0.1,0,0,0,0,0,0,,0.00,0.00,,,0.0,0.0,,0.0,0.0,Matches
211,Reece James\Reece-James,eng ENG,DF,Chelsea,19,1999,13.9,0,0,0,15,2,0,13.3,1.08,0.14,0.00,0.00,0.7,0.7,0.04,-0.7,-0.7,Matches
212,Daryl Janmaat\Daryl-Janmaat,nl NED,DF,Watford,30,1989,6.7,0,0,0,4,0,0,0.0,0.59,0.00,0.00,,0.3,0.3,0.07,-0.3,-0.3,Matches
213,Gabriel Jesus\Gabriel-Jesus,br BRA,FW,Manchester City,22,1997,19.0,11,0,1,83,37,0,44.6,4.37,1.95,0.13,0.30,15.0,14.2,0.17,-5.0,-4.2,Matches
214,Raúl Jiménez\Raul-Jimenez,mx MEX,FW,Wolves,28,1991,32.2,15,3,3,104,35,0,33.7,3.23,1.09,0.12,0.34,13.7,11.4,0.11,+1.3,+0.6,Matches
215,Joelinton\Joelinton,br BRA,FW,Newcastle Utd,22,1996,28.7,2,0,0,50,15,0,30.0,1.74,0.52,0.04,0.13,4.8,4.8,0.10,-2.8,-2.8,Matches
216,Curtis Jones\Curtis-Jones,eng ENG,MF,Liverpool,18,2001,0.3,1,0,0,3,1,0,33.3,10.00,3.33,0.33,1.00,0.4,0.4,0.13,+0.6,+0.6,Matches
217,Phil Jones\Phil-Jones,eng ENG,DF,Manchester Utd,27,1992,1.5,0,0,0,2,1,0,50.0,1.33,0.67,0.00,0.00,0.2,0.2,0.11,-0.2,-0.2,Matches
218,Jorginho\Jorginho,it ITA,MF,Chelsea,27,1991,22.5,4,3,3,10,1,0,10.0,0.45,0.04,0.10,1.00,3.5,1.2,0.12,+0.5,-0.2,Matches
219,Jota\Jota,es ESP,FWMF,Aston Villa,28,1991,3.7,0,0,0,6,1,0,16.7,1.61,0.27,0.00,0.00,0.3,0.3,0.05,-0.3,-0.3,Matches
220,Diogo Jota\Diogo-Jota,pt POR,FWMF,Wolves,22,1996,23.0,6,0,0,64,23,0,35.9,2.78,1.00,0.09,0.26,8.9,8.9,0.14,-2.9,-2.9,Matches
221,James Justin\James-Justin,eng ENG,DF,Leicester City,21,1998,7.2,0,0,0,5,0,0,0.0,0.69,0.00,0.00,,0.3,0.3,0.06,-0.3,-0.3,Matches
222,Christian Kabasele\Christian-Kabasele,be BEL,DF,Watford,28,1991,21.0,0,0,0,6,1,0,16.7,0.29,0.05,0.00,0.00,0.9,0.9,0.16,-0.9,-0.9,Matches
223,Harry Kane\Harry-Kane,eng ENG,FW,Tottenham,26,1993,23.8,13,2,2,65,25,6,38.5,2.74,1.05,0.17,0.44,8.9,7.4,0.12,+4.1,+3.6,Matches
224,N'Golo Kanté\NGolo-Kante,fr FRA,MF,Chelsea,28,1991,19.2,3,0,0,18,6,0,33.3,0.94,0.31,0.17,0.50,1.6,1.6,0.09,+1.4,+1.4,Matches
225,Moise Kean\Moise-Kean,it ITA,FWMF,Everton,19,2000,7.9,1,0,0,25,10,0,40.0,3.15,1.26,0.04,0.10,3.1,3.1,0.12,-2.1,-2.1,Matches
226,Michael Keane\Michael-Keane,eng ENG,DF,Everton,26,1993,23.4,2,0,0,12,4,0,33.3,0.51,0.17,0.17,0.50,1.6,1.6,0.13,+0.4,+0.4,Matches
227,Naby Keïta\Naby-Keita,gn GUI,MF,Liverpool,24,1995,6.8,1,0,0,8,5,0,62.5,1.17,0.73,0.13,0.20,1.4,1.4,0.18,-0.4,-0.4,Matches
228,Lloyd Kelly\Lloyd-Kelly,eng ENG,DF,Bournemouth,20,1998,2.1,0,0,0,0,0,0,,0.00,0.00,,,0.0,0.0,,0.0,0.0,Matches
229,Martin Kelly\Martin-Kelly,eng ENG,DF,Crystal Palace,29,1990,17.2,0,0,0,3,0,0,0.0,0.17,0.00,0.00,,0.1,0.1,0.03,-0.1,-0.1,Matches
230,Max Kilman\Max-Kilman,eng ENG,DF,Wolves,22,1997,2.1,0,0,0,0,0,0,,0.00,0.00,,,0.0,0.0,,0.0,0.0,Matches
231,Joshua King\Joshua-King,no NOR,FWMF,Bournemouth,27,1992,18.8,5,2,2,19,8,0,42.1,1.01,0.43,0.16,0.38,5.7,4.2,0.22,-0.7,-1.2,Matches
232,Timm Klose\Timm-Klose,ch SUI,DF,Norwich City,31,1988,4.0,0,0,0,3,0,0,0.0,0.75,0.00,0.00,,0.4,0.4,0.13,-0.4,-0.4,Matches
233,Jonathan Kodjia\Jonathan-Kodjia,ci CIV,FWMF,Aston Villa,29,1989,1.3,0,0,0,2,0,0,0.0,1.54,0.00,0.00,,0.1,0.1,0.03,-0.1,-0.1,Matches
234,Sead Kolašinac\Sead-Kolasinac,ba BIH,DF,Arsenal,26,1993,16.5,0,0,0,3,0,0,0.0,0.18,0.00,0.00,,0.7,0.7,0.24,-0.7,-0.7,Matches
235,Ezri Konsa\Ezri-Konsa,eng ENG,DF,Aston Villa,21,1998,17.7,0,0,0,9,2,0,22.2,0.51,0.11,0.00,0.00,0.6,0.6,0.07,-0.6,-0.6,Matches
236,Cheikhou Kouyaté\Cheikhou-Kouyate,sn SEN,MF,Crystal Palace,29,1989,25.6,1,0,0,22,5,0,22.7,0.86,0.20,0.05,0.20,1.8,1.8,0.08,-0.8,-0.8,Matches
237,Mateo Kovačić\Mateo-Kovacic,hr CRO,MF,Chelsea,25,1994,20.1,1,0,0,21,5,0,23.8,1.04,0.25,0.05,0.20,1.2,1.2,0.06,-0.2,-0.2,Matches
238,Emil Krafth\Emil-Krafth,se SWE,DF,Newcastle Utd,24,1994,9.2,0,0,0,3,0,0,0.0,0.33,0.00,0.00,,0.2,0.2,0.08,-0.2,-0.2,Matches
239,Tim Krul\Tim-Krul,nl NED,GK,Norwich City,31,1988,32.0,0,0,0,0,0,0,,0.00,0.00,,,0.0,0.0,,0.0,0.0,Matches
240,Alexandre Lacazette\Alexandre-Lacazette,fr FRA,FW,Arsenal,28,1991,17.6,8,0,0,51,24,3,47.1,2.90,1.37,0.16,0.33,7.4,7.4,0.15,+0.6,+0.6,Matches
241,Adam Lallana\Adam-Lallana,eng ENG,MFFW,Liverpool,31,1988,4.2,1,0,0,5,1,0,20.0,1.18,0.24,0.20,1.00,1.1,1.1,0.21,-0.1,-0.1,Matches
242,Érik Lamela\Erik-Lamela,ar ARG,MFFW,Tottenham,27,1992,12.0,2,0,0,25,7,4,28.0,2.08,0.58,0.08,0.29,2.3,2.3,0.10,-0.3,-0.3,Matches
243,Tariq Lamptey\Tariq-Lamptey,eng ENG,DFMF,Brighton,18,2000,3.5,0,0,0,1,0,0,0.0,0.29,0.00,0.00,,0.0,0.0,0.00,0.0,0.0,Matches
244,Tariq Lamptey\Tariq-Lamptey,eng ENG,DF,Chelsea,18,2000,0.4,0,0,0,0,0,0,,0.00,0.00,,,0.0,0.0,,0.0,0.0,Matches
245,Henri Lansbury\Henri-Lansbury,eng ENG,MF,Aston Villa,28,1990,2.2,0,0,0,2,0,0,0.0,0.93,0.00,0.00,,0.1,0.1,0.05,-0.1,-0.1,Matches
246,Manuel Lanzini\Manuel-Lanzini,ar ARG,MFFW,West Ham,26,1993,15.1,0,0,0,22,7,2,31.8,1.46,0.46,0.00,0.00,1.9,1.9,0.09,-1.9,-1.9,Matches
247,Aymeric Laporte\Aymeric-Laporte,fr FRA,DF,Manchester City,25,1994,9.4,0,0,0,3,0,0,0.0,0.32,0.00,0.00,,0.2,0.2,0.08,-0.2,-0.2,Matches
248,Jamaal Lascelles\Jamaal-Lascelles,eng ENG,DF,Newcastle Utd,25,1993,22.1,1,0,0,9,2,0,22.2,0.41,0.09,0.11,0.50,0.4,0.4,0.04,+0.6,+0.6,Matches
249,Valentino Lazaro\Valentino-Lazaro,at AUT,DFFW,Newcastle Utd,23,1996,3.8,1,0,0,3,1,0,33.3,0.78,0.26,0.33,1.00,0.4,0.4,0.15,+0.6,+0.6,Matches
250,Moritz Leitner\Moritz-Leitner,de GER,MF,Norwich City,26,1992,7.6,0,0,0,8,0,0,0.0,1.05,0.00,0.00,,0.2,0.2,0.03,-0.2,-0.2,Matches
251,Florian Lejeune\Florian-Lejeune,fr FRA,DF,Newcastle Utd,28,1991,4.9,2,0,0,4,3,0,75.0,0.81,0.61,0.50,0.67,0.7,0.7,0.17,+1.3,+1.3,Matches
252,Aaron Lennon\Aaron-Lennon,eng ENG,MF,Burnley,32,1987,5.5,0,0,0,1,0,0,0.0,0.18,0.00,0.00,,0.0,0.0,0.03,0.0,0.0,Matches
253,Bernd Leno\Bernd-Leno,de GER,GK,Arsenal,27,1992,29.4,0,0,0,0,0,0,,0.00,0.00,,,0.0,0.0,,0.0,0.0,Matches
254,Jefferson Lerma\Jefferson-Lerma,co COL,MF,Bournemouth,24,1994,25.1,1,0,0,26,2,0,7.7,1.03,0.08,0.04,0.50,1.0,1.0,0.04,0.0,0.0,Matches
255,Jamal Lewis\Jamal-Lewis,nir NIR,DF,Norwich City,21,1998,21.6,1,0,0,8,4,0,50.0,0.37,0.19,0.13,0.25,0.3,0.3,0.04,+0.7,+0.7,Matches
256,Victor Lindelöf\Victor-Lindelof,se SWE,DF,Manchester Utd,25,1994,29.4,1,0,0,6,1,0,16.7,0.20,0.03,0.17,1.00,0.4,0.4,0.06,+0.6,+0.6,Matches
257,Jesse Lingard\Jesse-Lingard,eng ENG,MFFW,Manchester Utd,26,1992,9.9,0,0,0,20,5,0,25.0,2.02,0.50,0.00,0.00,1.9,1.9,0.09,-1.9,-1.9,Matches
258,Hugo Lloris\Hugo-Lloris,fr FRA,GK,Tottenham,32,1986,15.1,0,0,0,0,0,0,,0.00,0.00,,,0.0,0.0,,0.0,0.0,Matches
259,Giovani Lo Celso\Giovani-Lo-Celso,ar ARG,MFFW,Tottenham,23,1996,13.0,0,0,0,15,2,1,13.3,1.16,0.15,0.00,0.00,1.1,1.1,0.07,-1.1,-1.1,Matches
260,Jürgen Locadia\Jurgen-Locadia,nl NED,MFFW,Brighton,25,1993,1.0,0,0,0,2,1,0,50.0,2.09,1.05,0.00,0.00,0.4,0.4,0.19,-0.4,-0.4,Matches
261,Ruben Loftus-Cheek\Ruben-Loftus-Cheek,eng ENG,MFFW,Chelsea,23,1996,1.4,0,0,0,3,0,0,0.0,2.20,0.00,0.00,,0.5,0.5,0.16,-0.5,-0.5,Matches
262,Kevin Long\Kevin-Long,ie IRL,DF,Burnley,28,1990,2.3,0,0,0,0,0,0,,0.00,0.00,,,0.0,0.0,,0.0,0.0,Matches
263,Shane Long\Shane-Long,ie IRL,FW,Southampton,32,1987,14.2,2,0,0,32,12,0,37.5,2.26,0.85,0.06,0.17,4.7,4.7,0.15,-2.7,-2.7,Matches
264,Matthew Longstaff\Matthew-Longstaff,eng ENG,MF,Newcastle Utd,19,2000,6.3,2,0,0,4,2,0,50.0,0.63,0.32,0.50,1.00,0.3,0.3,0.09,+1.7,+1.7,Matches
265,Sean Longstaff\Sean-Longstaff,eng ENG,MF,Newcastle Utd,21,1997,14.8,1,0,0,25,6,3,24.0,1.68,0.40,0.04,0.17,1.0,1.0,0.04,0.0,0.0,Matches
266,Dejan Lovren\Dejan-Lovren,hr CRO,DF,Liverpool,30,1989,8.6,0,0,0,5,1,0,20.0,0.58,0.12,0.00,0.00,0.4,0.4,0.07,-0.4,-0.4,Matches
267,Matthew Lowton\Matthew-Lowton,eng ENG,DF,Burnley,30,1989,17.0,0,0,0,0,0,0,,0.00,0.00,,,0.0,0.0,,0.0,0.0,Matches
268,David Luiz\David-Luiz,br BRA,DF,Arsenal,32,1987,27.6,2,0,0,22,7,7,31.8,0.80,0.25,0.09,0.29,1.8,1.8,0.08,+0.2,+0.2,Matches
269,Douglas Luiz\Douglas-Luiz,br BRA,MF,Aston Villa,21,1998,24.1,3,0,0,35,12,2,34.3,1.45,0.50,0.09,0.25,2.2,2.2,0.06,+0.8,+0.8,Matches
270,John Lundstram\John-Lundstram,eng ENG,MF,Sheffield Utd,25,1994,25.3,4,0,0,41,9,0,22.0,1.62,0.36,0.10,0.44,4.4,4.4,0.11,-0.4,-0.4,Matches
271,Alexis Mac Allister\Alexis-Mac-Allister,ar ARG,MFFW,Brighton,20,1998,2.6,0,0,0,4,0,1,0.0,1.56,0.00,0.00,,0.1,0.1,0.03,-0.1,-0.1,Matches
272,James Maddison\James-Maddison,eng ENG,MF,Leicester City,22,1996,29.2,6,0,0,74,18,14,24.3,2.54,0.62,0.08,0.33,5.0,5.0,0.07,+1.0,+1.0,Matches
273,Harry Maguire\Harry-Maguire,eng ENG,DF,Manchester Utd,26,1993,33.0,1,0,0,29,8,0,27.6,0.88,0.24,0.03,0.13,2.0,2.0,0.07,-1.0,-1.0,Matches
274,Riyad Mahrez\Riyad-Mahrez,dz ALG,FWMF,Manchester City,28,1991,19.6,10,1,1,63,29,6,46.0,3.21,1.48,0.14,0.31,5.4,4.7,0.07,+3.6,+3.3,Matches
275,Ainsley Maitland-Niles\Ainsley-Maitland-Niles,eng ENG,DF,Arsenal,21,1997,14.2,0,0,0,3,0,0,0.0,0.21,0.00,0.00,,0.2,0.2,0.07,-0.2,-0.2,Matches
276,Sadio Mané\Sadio-Mane,sn SEN,FW,Liverpool,27,1992,27.3,16,0,0,65,31,0,47.7,2.38,1.14,0.25,0.52,12.2,12.2,0.20,+3.8,+3.8,Matches
