,,,,,,,,Total,Total,Total,Total,Total,Short,Short,Short,Medium,Medium,Medium,Long,Long,Long,,,,,,,,,
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xA,A-xA,KP,1/3,PPA,CrsPA,Prog,Matches
408,Davinson Sánchez\Davinson-Sanchez,co COL,DF,Tottenham,22,1996,21.6,1289,1424,90.5,27790,7391,7,18,38.9,846,901,93.9,436,505,86.3,1,0.0,+1.0,1,42,0,0,52,Matches
409,Leroy Sané\Leroy-Sane,de GER,FW,Manchester City,22,1996,20.7,750,954,78.6,10896,2395,17,50,34.0,671,777,86.4,62,127,48.8,10,6.7,+3.3,36,26,39,2,93,Matches
410,Fabian Schär\Fabian-Schar,ch SUI,DF,Newcastle Utd,26,1991,22.2,699,1029,67.9,18070,8149,2,20,10.0,402,488,82.4,295,521,56.6,1,0.6,+0.4,11,86,9,1,77,Matches
411,Christopher Schindler\Christopher-Schindler,de GER,DF,Huddersfield,28,1990,36.2,1271,1501,84.7,28298,8473,8,20,40.0,811,919,88.2,452,562,80.4,0,0.3,-0.3,1,74,2,0,71,Matches
412,Jeffrey Schlupp\Jeffrey-Schlupp,gh GHA,MFFW,Crystal Palace,25,1992,18.6,484,646,74.9,7386,2273,13,32,40.6,421,521,80.8,50,93,53.8,1,1.4,-0.4,17,49,12,3,60,Matches
413,Kasper Schmeichel\Kasper-Schmeichel,dk DEN,GK,Leicester City,31,1986,38.0,825,1208,68.3,30971,19665,1,2,50.0,267,269,99.3,557,937,59.4,0,0.4,-0.4,1,10,0,0,3,Matches
414,Morgan Schneiderlin\Morgan-Schneiderlin,fr FRA,MF,Everton,28,1989,9.3,484,544,89.0,8828,2093,3,6,50.0,380,414,91.8,101,124,81.5,1,0.7,+0.3,9,48,4,0,29,Matches
415,André Schürrle\Andre-Schurrle,de GER,FWMF,Fulham,27,1990,18.2,426,571,74.6,6862,1662,4,27,14.8,364,434,83.9,58,110,52.7,0,1.8,-1.8,21,33,26,9,52,Matches
416,Ken Sema\Ken-Sema,se SWE,FWMF,Watford,24,1993,8.4,186,261,71.3,2729,583,3,20,15.0,174,216,80.6,9,25,36.0,2,0.4,+1.6,7,11,5,0,20,Matches
417,Jean Seri\Jean-Seri,ci CIV,MF,Fulham,27,1991,24.9,1433,1712,83.7,27643,7130,19,39,48.7,1073,1190,90.2,341,483,70.6,2,3.7,-1.7,55,124,24,5,172,Matches
418,Ryan Sessegnon\Ryan-Sessegnon,eng ENG,FWDF,Fulham,18,2000,25.6,582,829,70.2,9632,3688,3,30,10.0,506,633,79.9,73,166,44.0,6,4.9,+1.1,30,34,16,4,91,Matches
419,Xherdan Shaqiri\Xherdan-Shaqiri,ch SUI,FWMF,Liverpool,26,1991,11.8,545,695,78.4,9989,2667,5,18,27.8,434,496,87.5,106,181,58.6,3,1.7,+1.3,19,49,36,7,80,Matches
420,Luke Shaw\Luke-Shaw,eng ENG,DF,Manchester Utd,23,1995,28.8,1657,1984,83.5,25802,11131,25,70,35.7,1444,1612,89.6,188,302,62.3,4,3.4,+0.6,33,122,36,9,238,Matches
421,Jonjo Shelvey\Jonjo-Shelvey,eng ENG,MF,Newcastle Utd,26,1992,10.5,458,678,67.6,11182,4414,4,10,40.0,286,345,82.9,168,323,52.0,1,1.6,-0.6,24,79,20,6,99,Matches
422,Gylfi Sigurðsson\Gylfi-Sigurdsson,is ISL,MF,Everton,28,1989,34.6,830,1231,67.4,14768,5597,18,73,24.7,633,781,81.0,179,377,47.5,6,7.2,-1.2,72,99,48,8,190,Matches
423,Adrien Silva\Adrien-Silva,pt POR,MF,Leicester City,29,1989,1.0,70,79,88.6,1225,319,0,2,0.0,58,63,92.1,12,14,85.7,0,0.0,0.0,0,9,1,0,6,Matches
424,Bernardo Silva\Bernardo-Silva,pt POR,MFFW,Manchester City,23,1994,31.7,1513,1798,84.1,25650,5777,27,71,38.0,1248,1388,89.9,238,339,70.2,7,7.3,-0.3,70,96,57,5,168,Matches
425,David Silva\David-Silva,es ESP,MF,Manchester City,32,1986,26.7,1783,2083,85.6,29033,6374,17,50,34.0,1532,1715,89.3,234,318,73.6,8,9.1,-1.1,73,136,84,5,204,Matches
426,Xande Silva\Xande-Silva,pt POR,FW,West Ham,21,1997,0.2,3,5,60.0,35,2,0,0,,3,4,75.0,0,1,0.0,0,0.0,0.0,1,0,0,0,0,Matches
427,Danny Simpson\Danny-Simpson,eng ENG,DF,Leicester City,31,1987,3.2,108,154,70.1,2075,913,4,6,66.7,80,108,74.1,24,40,60.0,0,0.0,0.0,1,5,0,0,21,Matches
428,Jack Simpson\Jack-Simpson,eng ENG,DF,Bournemouth,21,1997,4.5,191,225,84.9,4173,1490,2,4,50.0,125,144,86.8,64,77,83.1,0,0.1,-0.1,1,12,1,0,10,Matches
429,Josh Sims\Josh-Sims,eng ENG,FWMF,Southampton,21,1997,2.4,36,46,78.3,532,153,2,3,66.7,30,37,81.1,4,6,66.7,1,0.5,+0.5,2,1,2,2,3,Matches
430,Moussa Sissoko\Moussa-Sissoko,fr FRA,MF,Tottenham,28,1989,25.9,1205,1397,86.3,20391,4909,32,58,55.2,987,1096,90.1,186,243,76.5,3,2.4,+0.6,23,106,13,3,102,Matches
431,Oliver Skipp\Oliver-Skipp,eng ENG,MFFW,Tottenham,17,2000,2.4,116,137,84.7,2054,451,2,7,28.6,89,102,87.3,25,28,89.3,0,0.0,0.0,1,7,0,0,5,Matches
432,Callum Slattery\Callum-Slattery,eng ENG,MF,Southampton,19,1999,1.2,21,32,65.6,363,92,1,3,33.3,14,18,77.8,6,11,54.5,0,0.0,0.0,0,3,1,0,3,Matches
433,Chris Smalling\Chris-Smalling,eng ENG,DF,Manchester Utd,28,1989,23.6,800,924,86.6,16968,4212,10,17,58.8,535,590,90.7,255,317,80.4,0,0.5,-0.5,3,21,1,0,38,Matches
434,Adam Smith\Adam-Smith,eng ENG,DF,Bournemouth,27,1991,23.0,860,1072,80.2,14416,5450,8,31,25.8,726,843,86.1,126,198,63.6,1,0.8,+0.2,10,73,16,3,116,Matches
435,Tommy Smith\Tommy-Smith,eng ENG,DF,Huddersfield,26,1992,12.7,470,618,76.1,8737,3011,4,15,26.7,353,419,84.2,113,184,61.4,0,0.6,-0.6,9,32,7,4,57,Matches
436,Robert Snodgrass\Robert-Snodgrass,sco SCO,MFFW,West Ham,30,1987,24.7,875,1156,75.7,14746,4474,58,87,66.7,650,771,84.3,167,298,56.0,5,5.0,0.0,61,81,31,6,138,Matches
437,Cédric Soares\Cedric-Soares,pt POR,DF,Southampton,26,1991,16.6,577,822,70.2,10022,4230,5,30,16.7,473,566,83.6,99,226,43.8,2,1.1,+0.9,13,50,20,10,91,Matches
438,Ramadan Sobhi\Ramadan-Sobhi,eg EGY,FW,Huddersfield,21,1997,0.9,37,44,84.1,456,165,3,3,100.0,33,37,89.2,1,4,25.0,0,0.3,-0.3,4,0,3,1,7,Matches
439,Dominic Solanke\Dominic-Solanke,eng ENG,FW,Bournemouth,20,1997,3.9,73,101,72.3,894,185,5,13,38.5,66,79,83.5,2,9,22.2,1,0.6,+0.4,8,3,2,0,6,Matches
440,Pape Souaré\Pape-Souare,sn SEN,DF,Crystal Palace,28,1990,0.0,3,3,100.0,88,0,0,0,,2,2,100.0,1,1,100.0,0,0.0,0.0,0,0,0,0,0,Matches
441,Çağlar Söyüncü\Caglar-Soyuncu,tr TUR,DF,Leicester City,22,1996,4.1,183,215,85.1,3477,1215,4,6,66.7,133,143,93.0,46,66,69.7,0,0.0,0.0,0,11,2,1,16,Matches
442,Julián Speroni\Julian-Speroni,ar ARG,GK,Crystal Palace,39,1979,1.0,16,36,44.4,809,687,0,0,,1,1,100.0,15,35,42.9,0,0.0,0.0,0,2,0,0,0,Matches
443,Junior Stanislas\Junior-Stanislas,eng ENG,MFFW,Bournemouth,28,1989,11.5,409,537,76.2,6607,2288,9,32,28.1,343,406,84.5,57,99,57.6,3,2.1,+0.9,15,30,29,5,66,Matches
444,Dale Stephens\Dale-Stephens,eng ENG,MF,Brighton,29,1989,27.6,1145,1369,83.6,25024,6533,10,32,31.3,793,899,88.2,342,438,78.1,1,0.8,+0.2,21,140,11,0,126,Matches
445,Jack Stephens\Jack-Stephens,eng ENG,DF,Southampton,24,1994,18.9,599,793,75.5,12501,5043,7,14,50.0,418,491,85.1,174,288,60.4,0,0.1,-0.1,4,51,4,0,60,Matches
446,Raheem Sterling\Raheem-Sterling,eng ENG,FW,Manchester City,23,1994,30.8,1099,1337,82.2,15362,3204,17,61,27.9,1026,1157,88.7,56,119,47.1,9,9.1,-0.1,58,22,52,5,100,Matches
447,John Stones\John-Stones,eng ENG,DF,Manchester City,24,1994,19.6,1646,1741,94.5,33895,9566,8,10,80.0,1177,1223,96.2,461,508,90.7,0,0.2,-0.2,5,111,5,0,86,Matches
448,Daniel Sturridge\Daniel-Sturridge,eng ENG,FWMF,Liverpool,28,1989,5.7,148,188,78.7,2544,746,4,11,36.4,120,145,82.8,24,32,75.0,1,1.3,-0.3,8,13,11,0,31,Matches
449,Denis Suárez\Denis-Suarez,es ESP,FW,Arsenal,24,1994,0.8,32,35,91.4,444,69,2,3,66.7,26,28,92.9,4,4,100.0,0,0.0,0.0,0,2,1,0,2,Matches
450,Isaac Success\Isaac-Success,ng NGA,FWMF,Watford,22,1996,11.7,262,369,71.0,4137,885,10,30,33.3,208,275,75.6,44,64,68.8,1,2.1,-1.1,19,14,22,4,35,Matches
451,Ki Sung-yueng\Ki-Sung-yueng,kr KOR,MF,Newcastle Utd,29,1989,14.5,520,644,80.7,11230,3045,6,13,46.2,353,399,88.5,161,232,69.4,1,1.0,0.0,15,52,8,0,82,Matches
452,Andrew Surman\Andrew-Surman,eng ENG,MF,Bournemouth,31,1986,16.0,725,839,86.4,13930,3962,10,18,55.6,543,604,89.9,172,217,79.3,0,0.6,-0.6,9,66,18,1,85,Matches
453,Sam Surridge\Sam-Surridge,eng ENG,FWDF,Bournemouth,20,1998,0.1,3,5,60.0,34,0,0,0,,3,5,60.0,0,0,,0,0.1,-0.1,1,0,0,0,0,Matches
454,Alexander Sørloth\Alexander-Sorloth,no NOR,FWMF,Crystal Palace,22,1995,2.1,41,62,66.1,575,126,3,5,60.0,35,52,67.3,3,5,60.0,0,0.5,-0.5,3,2,1,0,5,Matches
455,Matt Targett\Matt-Targett,eng ENG,DFMF,Southampton,22,1995,13.2,456,688,66.3,8192,4023,7,28,25.0,359,467,76.9,90,193,46.6,3,2.3,+0.7,22,34,14,8,107,Matches
456,James Tarkowski\James-Tarkowski,eng ENG,DF,Burnley,25,1992,34.3,790,1117,70.7,19562,7659,4,15,26.7,487,611,79.7,299,491,60.9,1,0.2,+0.8,6,91,13,0,102,Matches
457,Charlie Taylor\Charlie-Taylor,eng ENG,DF,Burnley,24,1993,36.0,1224,1707,71.7,22327,9588,8,60,13.3,971,1156,84.0,245,491,49.9,1,1.0,0.0,12,66,22,13,163,Matches
458,Youri Tielemans\Youri-Tielemans,be BEL,MF,Leicester City,21,1997,12.1,542,645,84.0,10283,2343,11,32,34.4,402,451,89.1,129,162,79.6,4,2.4,+1.6,19,65,13,3,71,Matches
459,James Tomkins\James-Tomkins,eng ENG,DF,Crystal Palace,29,1989,28.4,915,1089,84.0,21711,6868,9,16,56.3,529,581,91.0,377,492,76.6,1,1.0,0.0,6,62,1,0,51,Matches
460,Lucas Torreira\Lucas-Torreira,uy URU,MF,Arsenal,22,1996,26.5,1420,1623,87.5,26416,6358,24,44,54.5,1107,1215,91.1,289,364,79.4,2,1.3,+0.7,16,104,18,1,137,Matches
461,Cenk Tosun\Cenk-Tosun,tr TUR,FW,Everton,27,1991,11.8,190,255,74.5,2712,511,9,20,45.0,161,207,77.8,20,28,71.4,3,0.5,+2.5,11,9,9,1,18,Matches
462,Andros Townsend\Andros-Townsend,eng ENG,FWMF,Crystal Palace,27,1991,33.4,895,1237,72.4,14634,3903,23,77,29.9,749,899,83.3,123,261,47.1,4,5.4,-1.4,64,56,44,21,134,Matches
463,Adama Traoré\Adama-Traore,es ESP,FWDF,Wolves,22,1996,10.0,240,334,71.9,4012,1228,9,26,34.6,191,249,76.7,40,59,67.8,1,1.6,-0.6,17,17,20,13,45,Matches
464,Mark Travers\Mark-Travers,ie IRL,GK,Bournemouth,19,1999,2.0,43,57,75.4,1271,698,0,0,,23,24,95.8,20,33,60.6,0,0.0,0.0,0,0,0,0,1,Matches
465,Kieran Trippier\Kieran-Trippier,eng ENG,DF,Tottenham,27,1990,25.3,1515,2000,75.8,29627,11796,10,47,21.3,1130,1301,86.9,375,652,57.5,3,4.1,-1.1,48,94,65,30,262,Matches
466,Antonio Valencia\Antonio-Valencia,ec ECU,DFMF,Manchester Utd,32,1985,5.2,275,321,85.7,4635,1872,3,10,30.0,233,248,94.0,39,63,61.9,0,0.8,-0.8,7,23,7,4,40,Matches
467,Yan Valery\Yan-Valery,fr FRA,DFMF,Southampton,19,1999,19.0,380,621,61.2,6565,2881,5,30,16.7,314,424,74.1,61,167,36.5,1,0.2,+0.8,5,31,7,3,83,Matches
468,Jamie Vardy\Jamie-Vardy,eng ENG,FW,Leicester City,31,1987,30.3,286,443,64.6,4490,864,7,32,21.9,246,348,70.7,33,63,52.4,4,4.3,-0.3,29,13,17,5,38,Matches
469,Jan Vertonghen\Jan-Vertonghen,be BEL,DF,Tottenham,31,1987,21.2,1338,1535,87.2,28046,8789,8,27,29.6,959,1038,92.4,371,470,78.9,0,0.3,-0.3,3,121,7,3,93,Matches
470,Jannik Vestergaard\Jannik-Vestergaard,dk DEN,DF,Southampton,25,1992,22.5,671,887,75.6,13485,5150,5,18,27.8,495,583,84.9,171,286,59.8,0,0.6,-0.6,6,66,2,0,73,Matches
471,Luciano Vietto\Luciano-Vietto,ar ARG,FWMF,Fulham,24,1993,11.0,334,435,76.8,5212,1208,7,24,29.2,286,343,83.4,41,68,60.3,4,2.4,+1.6,23,16,12,4,30,Matches
472,Rúben Vinagre\Ruben-Vinagre,pt POR,DFMF,Wolves,19,1999,7.9,301,424,71.0,4792,1804,2,18,11.1,263,330,79.7,36,76,47.4,0,0.8,-0.8,6,18,7,6,50,Matches
473,Sam Vokes\Sam-Vokes,wal WAL,FW,Burnley,28,1989,10.2,151,259,58.3,1987,492,3,15,20.0,142,225,63.1,6,19,31.6,0,0.5,-0.5,6,18,4,1,21,Matches
474,Michel Vorm\Michel-Vorm,nl NED,GK,Tottenham,34,1983,2.0,51,59,86.4,1224,603,0,0,,34,34,100.0,17,25,68.0,0,0.0,0.0,0,0,0,0,0,Matches
475,Matěj Vydra\Matej-Vydra,cz CZE,FWMF,Burnley,26,1992,3.5,46,77,59.7,626,83,2,5,40.0,40,61,65.6,4,11,36.4,1,0.2,+0.8,1,0,4,0,4,Matches
476,Theo Walcott\Theo-Walcott,eng ENG,FWMF,Everton,29,1989,23.5,447,631,70.8,6647,2053,13,37,35.1,381,489,77.9,53,105,50.5,2,2.4,-0.4,21,41,18,11,66,Matches
477,Kyle Walker\Kyle-Walker,eng ENG,DF,Manchester City,28,1990,30.9,2337,2655,88.0,46092,11890,17,43,39.5,1758,1890,93.0,562,722,77.8,1,1.7,-0.7,24,252,29,4,189,Matches
478,Kyle Walker-Peters\Kyle-Walker-Peters,eng ENG,DF,Tottenham,21,1997,4.2,186,226,82.3,2926,1001,2,15,13.3,163,183,89.1,21,28,75.0,3,0.6,+2.4,8,6,4,2,21,Matches
479,Aaron Wan-Bissaka\Aaron-Wan-Bissaka,eng ENG,DF,Crystal Palace,20,1997,34.8,1156,1537,75.2,17192,8382,23,79,29.1,1023,1220,83.9,110,238,46.2,3,1.8,+1.2,14,84,23,8,164,Matches
480,Victor Wanyama\Victor-Wanyama,ke KEN,MF,Tottenham,27,1991,5.7,259,314,82.5,4587,906,2,13,15.4,210,241,87.1,47,60,78.3,0,0.0,0.0,2,19,0,0,16,Matches
481,Danny Ward\Danny-Ward,eng ENG,FW,Cardiff City,26,1991,4.9,47,85,55.3,807,189,0,4,0.0,40,73,54.8,7,8,87.5,0,0.2,-0.2,4,5,1,0,8,Matches
482,Joel Ward\Joel-Ward,eng ENG,DF,Crystal Palace,28,1989,6.1,185,256,72.3,3043,1705,1,7,14.3,153,190,80.5,31,59,52.5,0,0.2,-0.2,3,19,3,1,28,Matches
483,Stephen Ward\Stephen-Ward,ie IRL,DF,Burnley,32,1985,2.5,112,154,72.7,2162,878,1,2,50.0,84,104,80.8,27,48,56.3,0,0.1,-0.1,1,9,2,1,16,Matches
484,James Ward-Prowse\James-Ward-Prowse,eng ENG,MFDF,Southampton,23,1994,21.6,622,913,68.1,11436,3571,8,29,27.6,485,582,83.3,129,302,42.7,0,3.1,-3.1,44,52,12,5,88,Matches
485,Danny Welbeck\Danny-Welbeck,eng ENG,FWMF,Arsenal,27,1990,1.7,41,54,75.9,671,266,1,1,100.0,33,44,75.0,7,9,77.8,1,0.6,+0.4,7,7,3,0,11,Matches
486,Ashley Westwood\Ashley-Westwood,eng ENG,MF,Burnley,28,1990,31.4,1111,1504,73.9,22653,7205,16,38,42.1,783,928,84.4,312,538,58.0,7,5.1,+1.9,43,142,41,10,200,Matches
487,Connor Wickham\Connor-Wickham,eng ENG,FW,Crystal Palace,25,1993,0.7,6,13,46.2,74,26,0,1,0.0,6,12,50.0,0,0,,1,0.2,+0.8,1,0,0,0,1,Matches
488,Georginio Wijnaldum\Georginio-Wijnaldum,nl NED,MF,Liverpool,27,1990,30.3,1620,1778,91.1,28561,6236,16,34,47.1,1338,1435,93.2,266,309,86.1,0,1.2,-1.2,21,191,18,2,131,Matches
489,Danny Williams\Danny-Williams,us USA,MF,Huddersfield,29,1989,1.1,20,26,76.9,339,88,0,0,,20,23,87.0,0,3,0.0,0,0.0,0.0,1,3,0,0,3,Matches
490,Willian\Willian,br BRA,FW,Chelsea,29,1988,23.3,1100,1414,77.8,19101,5127,14,61,23.0,895,1028,87.1,191,325,58.8,6,6.2,-0.2,82,62,52,13,186,Matches
491,Joe Willock\Joe-Willock,eng ENG,MF,Arsenal,18,1999,0.7,12,12,100.0,207,29,0,0,,10,10,100.0,2,2,100.0,0,0.0,0.0,0,2,0,0,0,Matches
492,Ben Wilmot\Ben-Wilmot,eng ENG,MF,Watford,18,1999,0.3,8,10,80.0,231,143,0,0,,4,5,80.0,4,5,80.0,0,0.0,0.0,0,2,0,0,1,Matches
493,Jack Wilshere\Jack-Wilshere,eng ENG,MF,West Ham,26,1992,4.4,190,208,91.3,3263,607,2,2,100.0,156,166,94.0,32,40,80.0,1,0.4,+0.6,5,20,2,0,11,Matches
494,Callum Wilson\Callum-Wilson,eng ENG,FW,Bournemouth,26,1992,28.1,319,456,70.0,4917,1214,10,38,26.3,272,364,74.7,37,54,68.5,9,4.2,+4.8,28,17,20,3,45,Matches
495,Harry Winks\Harry-Winks,eng ENG,MF,Tottenham,22,1996,17.7,1286,1398,92.0,23997,4992,20,34,58.8,971,1026,94.6,295,338,87.3,0,0.2,-0.2,6,136,13,0,85,Matches
496,Chris Wood\Chris-Wood,nz NZL,FW,Burnley,26,1991,28.8,406,614,66.1,5246,1004,15,45,33.3,359,505,71.1,32,64,50.0,2,2.0,0.0,15,19,10,1,26,Matches
497,Granit Xhaka\Granit-Xhaka,ch SUI,MFDF,Arsenal,25,1992,27.8,1955,2378,82.2,40479,11996,18,46,39.1,1403,1560,89.9,534,772,69.2,2,3.3,-1.3,38,229,36,10,272,Matches
498,Andriy Yarmolenko\Andriy-Yarmolenko,ua UKR,FWMF,West Ham,28,1989,5.1,168,214,78.5,2806,801,6,9,66.7,133,162,82.1,29,43,67.4,0,0.5,-0.5,5,8,10,1,20,Matches
499,DeAndre Yedlin\DeAndre-Yedlin,us USA,DF,Newcastle Utd,25,1993,27.5,784,1097,71.5,13744,6354,9,37,24.3,641,790,81.1,134,270,49.6,2,2.6,-0.6,29,47,31,13,156,Matches
500,Maya Yoshida\Maya-Yoshida,jp JPN,DF,Southampton,29,1988,16.9,424,543,78.1,8508,2929,8,12,66.7,295,342,86.3,121,189,64.0,1,0.4,+0.6,6,35,2,0,33,Matches
501,Ashley Young\Ashley-Young,eng ENG,DF,Manchester Utd,33,1985,28.5,1380,1904,72.5,27132,11875,19,72,26.4,1032,1207,85.5,329,625,52.6,2,3.4,-1.4,42,118,33,12,259,Matches
502,Pablo Zabaleta\Pablo-Zabaleta,ar ARG,DF,West Ham,33,1985,23.2,863,1146,75.3,13862,5935,21,55,38.2,740,860,86.0,102,231,44.2,1,0.7,+0.3,7,70,11,4,145,Matches
503,Wilfried Zaha\Wilfried-Zaha,ci CIV,FW,Crystal Palace,25,1992,33.7,839,1094,76.7,12534,3684,20,74,27.0,727,890,81.7,92,130,70.8,5,5.8,-0.8,54,61,68,10,147,Matches
504,Andre-Frank Zambo Anguissa\Andre-Frank-Zambo-Anguissa,cm CMR,MF,Fulham,22,1995,16.9,931,1063,87.6,15819,4580,12,23,52.2,783,868,90.2,136,172,79.1,0,0.3,-0.3,7,96,6,1,83,Matches
505,Davide Zappacosta\Davide-Zappacosta,it ITA,DF,Chelsea,26,1992,1.4,77,91,84.6,1256,350,0,2,0.0,69,77,89.6,8,12,66.7,0,0.1,-0.1,1,2,1,1,7,Matches
506,Oleksandr Zinchenko\Oleksandr-Zinchenko,ua UKR,DF,Manchester City,21,1996,12.8,1208,1338,90.3,21165,5392,6,16,37.5,998,1077,92.7,204,245,83.3,3,1.2,+1.8,12,131,21,4,117,Matches
507,Kenneth Zohore\Kenneth-Zohore,dk DEN,FW,Cardiff City,24,1994,8.4,101,153,66.0,1408,280,3,13,23.1,90,127,70.9,8,13,61.5,1,1.0,0.0,13,6,4,2,10,Matches
508,Kurt Zouma\Kurt-Zouma,fr FRA,DF,Everton,23,1994,29.0,1218,1429,85.2,26415,8401,9,23,39.1,805,889,90.6,404,517,78.1,2,0.4,+1.6,6,71,4,0,87,Matches
