,,,,,,,,Total,Total,Total,Total,Total,Short,Short,Short,Medium,Medium,Medium,Long,Long,Long,,,,,,,,,
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xA,A-xA,KP,1/3,PPA,CrsPA,Prog,Matches
257,Manuel Lanzini\Manuel-Lanzini,ar ARG,MF,West Ham,25,1993,7.6,408,471,86.6,5682,1754,19,27,70.4,359,393,91.3,30,51,58.8,1,0.9,+0.1,6,28,7,0,42,Matches
258,Aymeric Laporte\Aymeric-Laporte,fr FRA,DF,Manchester City,24,1994,34.0,2793,3028,92.2,59118,19695,11,21,52.4,1983,2079,95.4,799,928,86.1,3,1.2,+1.8,14,322,7,0,251,Matches
259,Jamaal Lascelles\Jamaal-Lascelles,eng ENG,DF,Newcastle Utd,24,1993,30.5,836,1087,76.9,18344,6066,7,22,31.8,553,673,82.2,276,392,70.4,1,0.3,+0.7,2,42,0,0,53,Matches
260,Maxime Le Marchand\Maxime-Le-Marchand,fr FRA,DF,Fulham,28,1989,25.0,1195,1448,82.5,23779,9349,5,24,20.8,915,1002,91.3,275,422,65.2,1,0.5,+0.5,7,57,9,3,87,Matches
261,Florian Lejeune\Florian-Lejeune,fr FRA,DF,Newcastle Utd,27,1991,11.7,427,554,77.1,10966,3864,0,8,0.0,258,309,83.5,169,237,71.3,0,0.2,-0.2,3,49,3,0,33,Matches
262,Mario Lemina\Mario-Lemina,ga GAB,MF,Southampton,24,1993,17.9,704,833,84.5,12903,3282,9,19,47.4,560,624,89.7,135,190,71.1,1,0.4,+0.6,11,67,12,1,71,Matches
263,Aaron Lennon\Aaron-Lennon,eng ENG,FWMF,Burnley,31,1987,13.5,235,316,74.4,3720,765,1,16,6.3,199,241,82.6,35,59,59.3,1,0.6,+0.4,7,7,7,2,19,Matches
264,Bernd Leno\Bernd-Leno,de GER,GK,Arsenal,26,1992,31.5,779,1102,70.7,22158,12515,4,7,57.1,408,412,99.0,367,683,53.7,0,0.0,0.0,0,4,0,0,2,Matches
265,Jefferson Lerma\Jefferson-Lerma,co COL,MF,Bournemouth,23,1994,27.8,1320,1566,84.3,24967,6790,15,38,39.5,1018,1147,88.8,287,381,75.3,0,0.9,-0.9,15,116,13,1,117,Matches
266,Stephan Lichtsteiner\Stephan-Lichtsteiner,ch SUI,DF,Arsenal,34,1984,10.4,460,600,76.7,8056,2628,3,30,10.0,385,435,88.5,72,135,53.3,0,0.0,0.0,2,22,7,1,47,Matches
267,Victor Lindelöf\Victor-Lindelof,se SWE,DF,Manchester Utd,24,1994,28.9,1323,1481,89.3,25954,9015,12,27,44.4,1015,1079,94.1,296,375,78.9,1,1.0,0.0,4,57,6,0,71,Matches
268,Jesse Lingard\Jesse-Lingard,eng ENG,FWMF,Manchester Utd,25,1992,18.5,668,788,84.8,9707,1844,30,49,61.2,564,636,88.7,74,103,71.8,2,2.1,-0.1,17,59,14,1,49,Matches
269,Fernando Llorente\Fernando-Llorente,es ESP,FW,Tottenham,33,1985,7.7,152,220,69.1,2050,282,6,11,54.5,133,185,71.9,13,24,54.2,4,1.3,+2.7,11,9,2,0,6,Matches
270,Hugo Lloris\Hugo-Lloris,fr FRA,GK,Tottenham,31,1986,33.0,890,1169,76.1,28106,16314,0,0,,408,413,98.8,482,756,63.8,0,0.0,0.0,1,10,0,0,0,Matches
271,Jürgen Locadia\Jurgen-Locadia,nl NED,FWMF,Brighton,24,1993,13.7,263,357,73.7,4464,995,5,16,31.3,217,280,77.5,41,61,67.2,0,1.1,-1.1,13,12,11,3,25,Matches
272,Ruben Loftus-Cheek\Ruben-Loftus-Cheek,eng ENG,MFFW,Chelsea,22,1996,11.1,549,624,88.0,8297,1589,12,29,41.4,480,527,91.1,57,68,83.8,2,1.4,+0.6,17,45,8,0,51,Matches
273,Kevin Long\Kevin-Long,ie IRL,DF,Burnley,27,1990,5.7,139,177,78.5,3437,1180,1,3,33.3,80,93,86.0,58,81,71.6,1,0.0,+1.0,0,8,0,0,10,Matches
274,Shane Long\Shane-Long,ie IRL,FWMF,Southampton,31,1987,14.1,211,329,64.1,2897,574,9,24,37.5,181,259,69.9,21,46,45.7,1,1.1,-0.1,13,13,5,2,23,Matches
275,Sean Longstaff\Sean-Longstaff,eng ENG,MF,Newcastle Utd,20,1997,7.6,236,295,80.0,4937,1046,1,5,20.0,167,191,87.4,68,99,68.7,0,0.5,-0.5,5,29,6,1,27,Matches
276,Ademola Lookman\Ademola-Lookman,eng ENG,FWMF,Everton,20,1997,6.9,221,273,81.0,3282,948,5,15,33.3,198,225,88.0,18,33,54.5,2,1.2,+0.8,9,18,11,4,33,Matches
277,Jonas Lössl\Jonas-Lossl,dk DEN,GK,Huddersfield,29,1989,30.9,693,1097,63.2,27674,20380,0,1,0.0,213,215,99.1,480,881,54.5,1,0.4,+0.6,3,21,0,0,1,Matches
278,Dejan Lovren\Dejan-Lovren,hr CRO,DF,Liverpool,29,1989,11.0,716,809,88.5,15081,4992,4,8,50.0,508,542,93.7,204,259,78.8,0,0.3,-0.3,1,32,2,1,29,Matches
279,Chris Löwe\Chris-Lowe,de GER,DFMF,Huddersfield,29,1989,22.9,747,1081,69.1,14723,4960,8,52,15.4,559,685,81.6,180,344,52.3,2,1.5,+0.5,18,40,28,18,99,Matches
